Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu02010:ABC transporters	7	31.818181818181817	4.155985405895519e-06	RV1970, RV1971, RV1964, RV1965, RV1966, RV1967, RV1968	9	84	1099	10.175925925925927	7.064940292844657e-05	7.480773730611933e-05	0.007480773730611933
GOTERM_BP_FAT	GO:0015914~phospholipid transport	2	9.090909090909092	0.008042189533277132	RV1964, RV1965	3	8	1986	165.5	0.09964948543547603	0.05227423196630136	5.227423196630136
GOTERM_BP_FAT	GO:0015748~organophosphate ester transport	2	9.090909090909092	0.008042189533277132	RV1964, RV1965	3	8	1986	165.5	0.09964948543547603	0.05227423196630136	5.227423196630136
GOTERM_MF_FAT	GO:0005548~phospholipid transporter activity	2	9.090909090909092	0.017181727665990625	RV1964, RV1965	6	8	2314	96.41666666666666	0.2805655641451251	0.28416748726850405	28.416748726850404
GOTERM_BP_FAT	GO:0006869~lipid transport	2	9.090909090909092	0.0200445942757661	RV1964, RV1965	3	20	1986	66.2	0.23143240691714395	0.05988782941534511	5.988782941534511
GOTERM_BP_FAT	GO:0010876~lipid localization	2	9.090909090909092	0.0200445942757661	RV1964, RV1965	3	20	1986	66.2	0.23143240691714395	0.05988782941534511	5.988782941534511
GOTERM_BP_FAT	GO:0015711~organic anion transport	2	9.090909090909092	0.023033780544363502	RV1964, RV1965	3	23	1986	57.565217391304344	0.26135780010658116	0.05988782941534511	5.988782941534511
GOTERM_MF_FAT	GO:0005319~lipid transporter activity	2	9.090909090909092	0.029912367080895164	RV1964, RV1965	6	14	2314	55.095238095238095	0.43842418892564916	0.28416748726850405	28.416748726850404
GOTERM_BP_FAT	GO:0006820~anion transport	2	9.090909090909092	0.04284500318345847	RV1964, RV1965	3	43	1986	30.790697674418603	0.43406113188133866	0.09283084023082668	9.283084023082667
GOTERM_BP_FAT	GO:0033036~macromolecule localization	2	9.090909090909092	0.05169384685240608	RV1964, RV1965	3	52	1986	25.46153846153846	0.49843018683404083	0.09600285844018272	9.600285844018272
GOTERM_BP_FAT	GO:0006811~ion transport	2	9.090909090909092	0.07605835305574019	RV1964, RV1965	3	77	1986	17.194805194805195	0.6424151870275765	0.1235948237155778	12.35948237155778
