Gene Cluster 6	EnrichmentScore: 5.277352882152629
LOCUS_TAG	Gene Name
Rv1362c	membrane protein(Rv1362c)
Rv2128	transmembrane protein(Rv2128)
Rv3500c	integral membrane protein(yrbE4B)
Rv0402c	transmembrane transport protein MmpL1(mmpL1)
Rv0783c	multidrug resistance protein EmrB(emrB)
Rv2316	sugar ABC transporter permease UspA(uspA)
Rv1283c	oligopeptide ABC transporter permease OppB(oppB)
Rv3078	hydroxylaminobenzene mutase(hab)
Rv3887c	ESX-2 secretion system protein EccD(eccD2)
Rv2199c	cytochrome c oxidase polypeptide 4(Rv2199c)
Rv3877	ESX-1 secretion system protein EccD1(eccD1)
Rv1979c	permease(Rv1979c)
Rv2039c	sugar ABC transporter permease(Rv2039c)
Rv3691	hypothetical protein(Rv3691)
Rv0205	transmembrane protein(Rv0205)
Rv0878c	PPE family protein PPE13(PPE13)
Rv2969c	hypothetical protein(Rv2969c)
Rv1550	fatty-acid--CoA ligase FadD11(fadD11)
Rv2127	L-asparagine permease(ansP1)
Rv3732	hypothetical protein(Rv3732)
Rv0517	acyltransferase(Rv0517)
Rv0204c	transmembrane protein(Rv0204c)
Rv0096	PPE family protein PPE1(PPE1)
Rv2040c	sugar ABC transporter permease(Rv2040c)
Rv1312	hypothetical protein(Rv1312)
Rv1069c	hypothetical protein(Rv1069c)
Rv1476	membrane protein(Rv1476)
Rv1078	hypothetical protein(Rv1078)
Rv0219	transmembrane protein(Rv0219)
Rv2433c	hypothetical protein(Rv2433c)
Rv1146	transmembrane transport protein(Rv1146)
Rv1318c	adenylate cyclase(Rv1318c)
Rv3821	integral membrane protein(Rv3821)
Rv2637	transmembrane protein DedA(dedA)
Rv3355c	integral membrane protein(Rv3355c)
Rv1417	membrane protein(Rv1417)
Rv0917	glycine betaine transport integral membrane protein BetP(betP)
Rv0010c	membrane protein(Rv0010c)
Rv1842c	hypothetical protein(Rv1842c)
Rv1254	acyltransferase(Rv1254)
Rv1823	hypothetical protein(Rv1823)
Rv3335c	integral membrane protein(Rv3335c)
Rv1924c	hypothetical protein(Rv1924c)
Rv3629c	integral membrane protein(Rv3629c)
Rv1418	lipoprotein LprH(lprH)
Rv0713	transmembrane protein(Rv0713)
Rv2599	membrane protein(Rv2599)
Rv3783	O-antigen/lipopolysaccharide ABC transporter permease RfbD(rfbD)
Rv0461	transmembrane protein(Rv0461)
Rv3789	GtrA family protein(Rv3789)
Rv1825	hypothetical protein(Rv1825)
Rv0463	membrane protein(Rv0463)
Rv2446c	integral membrane protein(Rv2446c)
Rv1816	HTH-type transcriptional regulator(Rv1816)
Rv1863c	integral membrane protein(Rv1863c)
Rv1591	transmembrane protein(Rv1591)
Rv3771c	hypothetical protein(Rv3771c)
Rv0507	transmembrane transport protein MmpL2(mmpL2)
Rv2120c	integral membrane protein(Rv2120c)
Rv3193c	transmembrane protein(Rv3193c)
Rv1824	hypothetical protein(Rv1824)
Rv3632	membrane protein(Rv3632)
Rv3476c	kgtP
Rv0364	transmembrane protein(Rv0364)
Rv1159	polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase(pimE)
Rv3492c	Mce associated protein(Rv3492c)
Rv2193	cytochrome C oxidase subunit III(ctaE)
Rv3493c	Mce associated protein(Rv3493c)
Rv1200	integral membrane transport protein(Rv1200)
Rv2403c	lipoprotein LppR(lppR)
Rv2746c	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase(pgsA3)
Rv2415c	hypothetical protein(Rv2415c)
Rv1508c	membrane protein(Rv1508c)
Rv0522	GABA permease GabP(gabP)
Rv0051	transmembrane protein(Rv0051)
Rv3498c	Mce family protein Mce4B(mce4B)
Rv2317	sugar ABC transporter permease UspB(uspB)
Rv3664c	dipeptide ABC transporter permease DppC(dppC)
Rv0401	transmembrane protein(Rv0401)
Rv3499c	Mce family protein Mce4A(mce4A)
Gene Cluster 4	EnrichmentScore: 2.665831922791842
LOCUS_TAG	Gene Name
Rv2200c	cytochrome C oxidase subunit II(ctaC)
Rv2196	ubiquinol-cytochrome C reductase cytochrome subunit B(qcrB)
Rv3043c	cytochrome C oxidase cytochrome 1(ctaD)
Rv2195	ubiquinol-cytochrome C reductase rieske iron-sulfur subunit(qcrA)
Rv2194	ubiquinol-cytochrome C reductase cytochrome subunit C(qcrC)
Gene Cluster 3	EnrichmentScore: 1.7503928017021677
LOCUS_TAG	Gene Name
Rv1309	ATP synthase subunit gamma(atpG)
Rv1308	ATP synthase subunit alpha(atpA)
Rv1311	ATP synthase subunit epsilon(atpC)
Rv1310	ATP synthase subunit beta(atpD)
Gene Cluster 5	EnrichmentScore: 0.9518801816776451
LOCUS_TAG	Gene Name
Rv3781	O-antigen/lipopolysaccharide ABC transporter ATP-binding protein RfbE(rfbE)
Rv1819c	vitamin B12 transport ATP-binding protein BacA(bacA)
Rv1687c	ABC transporter ATP-binding protein(Rv1687c)
Rv2038c	sugar ABC transporter ATP-binding protein(Rv2038c)
Rv2564	glutamine ABC transporter ATP-binding protein(glnQ)
Gene Cluster 2	EnrichmentScore: 0.5597147494528252
LOCUS_TAG	Gene Name
Rv1523	methyltransferase(Rv1523)
Rv2751	hypothetical protein(Rv2751)
Rv3263	DNA methylase(Rv3263)
Rv1506c	hypothetical protein(Rv1506c)
Gene Cluster 1	EnrichmentScore: 0.09405962938603664
LOCUS_TAG	Gene Name
Rv3575c	LacI family transcriptional regulator(Rv3575c)
Rv1474c	transcriptional regulator(Rv1474c)
Rv1685c	hypothetical protein(Rv1685c)
Rv2282c	LysR family HTH-type transcriptional regulator(Rv2282c)
