Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0015078~hydrogen ion transmembrane transporter activity	11	3.8194444444444446	3.1876055589728374e-08	RV2196, RV1310, RV3043C, RV1311, RV2199C, RV2200C, RV1307, RV2193, RV1308, RV2194, RV1309	143	19	2314	9.368421052631579	1.1570941413463487e-05	1.15710081790714e-05	0.0011220371567584387
GOTERM_MF_FAT	GO:0015077~monovalent inorganic cation transmembrane transporter activity	11	3.8194444444444446	8.185414621311628e-07	RV2196, RV1310, RV3043C, RV1311, RV2199C, RV2200C, RV1307, RV2193, RV1308, RV2194, RV1309	143	25	2314	7.120000000000001	0.0002970865334268602	0.00014856527537680605	0.014406329733508466
GOTERM_BP_FAT	GO:0055085~transmembrane transport	20	6.944444444444445	1.2564383708131585e-05	RV0783C, RV2434C, RV2564, RV3043C, RV1311, RV2127, RV2316, RV1283C, RV2317, RV1281C, RV1307, RV2039C, RV1308, RV1309, RV2040C, RV0205, RV0522, RV3301C, RV3664C, RV3273	138	95	1986	3.0297482837528604	0.009179920453092683	0.009222257641768584	0.9222257641768584
GOTERM_MF_FAT	GO:0022890~inorganic cation transmembrane transporter activity	12	4.166666666666666	5.2611365586424925e-05	RV2196, RV0103C, RV1310, RV3043C, RV1311, RV2199C, RV2200C, RV1307, RV2193, RV1308, RV2194, RV1309	143	45	2314	4.315151515151515	0.018917208634149363	0.006365975235957416	0.6173066895473858
KEGG_PATHWAY	mtu00190:Oxidative phosphorylation	12	4.166666666666666	5.284259477340391e-05	RV2196, RV0247C, RV1310, RV3043C, RV1311, RV2200C, RV1307, RV2193, RV1308, RV2194, RV2195, RV1309	66	48	1099	4.162878787878788	0.0037975383952357777	0.003857509418458485	0.3857509418458485
GOTERM_CC_FAT	GO:0033178~proton-transporting two-sector ATPase complex, catalytic domain	5	1.7361111111111112	0.0001204679223219408	RV1310, RV1311, RV1307, RV1308, RV1309	110	5	1514	13.763636363636364	0.0062451269391362585	0.0031321659803704607	0.31321659803704605
GOTERM_CC_FAT	GO:0045261~proton-transporting ATP synthase complex, catalytic core F(1)	5	1.7361111111111112	0.0001204679223219408	RV1310, RV1311, RV1307, RV1308, RV1309	110	5	1514	13.763636363636364	0.0062451269391362585	0.0031321659803704607	0.31321659803704605
GOTERM_MF_FAT	GO:0008324~cation transmembrane transporter activity	12	4.166666666666666	0.00021537147271847266	RV2196, RV0103C, RV1310, RV3043C, RV1311, RV2199C, RV2200C, RV1307, RV2193, RV1308, RV2194, RV1309	143	52	2314	3.7342657342657346	0.07520969517865517	0.019544961149201394	1.8952689599225594
GOTERM_BP_FAT	GO:0044255~cellular lipid metabolic process	33	11.458333333333332	0.00033888975608045355	RV2746C, RV1011, RV1550, RV1551, RV1254, RV0644C, RV3398C, RV2246, RV2247, RV1159, RV2941, RV2267C, RV0517, RV1618, RV0637, RV0636, RV1984C, RV0115, RV0035, RV0295C, RV0099, RV2482C, RV0098, RV1506C, RV1662, RV1664, RV0643C, RV2953, RV1524, RV0405, RV0404, RV0100, RV3239C	138	256	1986	1.8551290760869565	0.22025414480751404	0.12437254048152645	12.437254048152644
GOTERM_MF_FAT	GO:0044769~ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	5	1.7361111111111112	0.0007844723217276133	RV1310, RV1311, RV1307, RV1308, RV1309	143	8	2314	10.113636363636363	0.2478918927766256	0.03489682955791612	3.3839349874342908
GOTERM_MF_FAT	GO:0046933~proton-transporting ATP synthase activity, rotational mechanism	5	1.7361111111111112	0.0007844723217276133	RV1310, RV1311, RV1307, RV1308, RV1309	143	8	2314	10.113636363636363	0.2478918927766256	0.03489682955791612	3.3839349874342908
GOTERM_MF_FAT	GO:0015002~heme-copper terminal oxidase activity	4	1.3888888888888888	0.0008652106501962674	RV3043C, RV2199C, RV2200C, RV2193	143	4	2314	16.18181818181818	0.2696324755861199	0.03489682955791612	3.3839349874342908
GOTERM_MF_FAT	GO:0004129~cytochrome-c oxidase activity	4	1.3888888888888888	0.0008652106501962674	RV3043C, RV2199C, RV2200C, RV2193	143	4	2314	16.18181818181818	0.2696324755861199	0.03489682955791612	3.3839349874342908
GOTERM_MF_FAT	GO:0016676~oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	4	1.3888888888888888	0.0008652106501962674	RV3043C, RV2199C, RV2200C, RV2193	143	4	2314	16.18181818181818	0.2696324755861199	0.03489682955791612	3.3839349874342908
GOTERM_CC_FAT	GO:0045259~proton-transporting ATP synthase complex	5	1.7361111111111112	0.0014214256723833088	RV1310, RV1311, RV1307, RV1308, RV1309	110	8	1514	8.602272727272727	0.0712973962199831	0.018478533740983013	1.8478533740983012
GOTERM_CC_FAT	GO:0016469~proton-transporting two-sector ATPase complex	5	1.7361111111111112	0.0014214256723833088	RV1310, RV1311, RV1307, RV1308, RV1309	110	8	1514	8.602272727272727	0.0712973962199831	0.018478533740983013	1.8478533740983012
GOTERM_MF_FAT	GO:0016675~oxidoreductase activity, acting on a heme group of donors	4	1.3888888888888888	0.0020657257999768543	RV3043C, RV2199C, RV2200C, RV2193	143	5	2314	12.945454545454544	0.527932849090804	0.07498584653915981	7.271354815918528
GOTERM_BP_FAT	GO:0006631~fatty acid metabolic process	20	6.944444444444445	0.0023235631640935684	RV1550, RV1551, RV0644C, RV1662, RV2246, RV1664, RV0643C, RV2247, RV2941, RV1618, RV0637, RV0405, RV0636, RV0404, RV1984C, RV0035, RV0100, RV2482C, RV0099, RV0098	138	139	1986	2.0706912730685016	0.8186778236549433	0.40161870401942734	40.161870401942735
GOTERM_BP_FAT	GO:0006818~hydrogen transport	5	1.7361111111111112	0.0032829866813577167	RV3043C, RV1311, RV1307, RV1308, RV1309	138	10	1986	7.195652173913044	0.9105142987783994	0.40161870401942734	40.161870401942735
GOTERM_BP_FAT	GO:0015992~proton transport	5	1.7361111111111112	0.0032829866813577167	RV3043C, RV1311, RV1307, RV1308, RV1309	138	10	1986	7.195652173913044	0.9105142987783994	0.40161870401942734	40.161870401942735
GOTERM_BP_FAT	GO:1902600~hydrogen ion transmembrane transport	5	1.7361111111111112	0.0032829866813577167	RV3043C, RV1311, RV1307, RV1308, RV1309	138	10	1986	7.195652173913044	0.9105142987783994	0.40161870401942734	40.161870401942735
GOTERM_MF_FAT	GO:0022804~active transmembrane transporter activity	14	4.861111111111112	0.0036689150283032495	RV0103C, RV2564, RV1310, RV1311, RV2038C, RV1281C, RV1307, RV1308, RV2329C, RV1309, RV1687C, RV1819C, RV2193, RV3273	143	93	2314	2.4359726295210167	0.7366484132319935	0.11223528926070642	10.883421988916986
GOTERM_MF_FAT	GO:0015399~primary active transmembrane transporter activity	12	4.166666666666666	0.0037102574962217	RV1687C, RV0103C, RV2564, RV1310, RV1311, RV2038C, RV1281C, RV1819C, RV1307, RV2193, RV1308, RV1309	143	72	2314	2.6969696969696972	0.740585523090586	0.11223528926070642	10.883421988916986
GOTERM_BP_FAT	GO:0015985~energy coupled proton transport, down electrochemical gradient	4	1.3888888888888888	0.005505537054546065	RV1311, RV1307, RV1308, RV1309	138	6	1986	9.594202898550725	0.9826164219944236	0.4035177618490101	40.35177618490101
GOTERM_BP_FAT	GO:0015986~ATP synthesis coupled proton transport	4	1.3888888888888888	0.005505537054546065	RV1311, RV1307, RV1308, RV1309	138	6	1986	9.594202898550725	0.9826164219944236	0.4035177618490101	40.35177618490101
GOTERM_BP_FAT	GO:0008610~lipid biosynthetic process	25	8.680555555555555	0.0055777367394693736	RV2746C, RV1011, RV1551, RV1254, RV0644C, RV3398C, RV2246, RV2247, RV1159, RV2941, RV2267C, RV0517, RV0637, RV0115, RV0035, RV0295C, RV2482C, RV0098, RV1506C, RV1662, RV0643C, RV2953, RV0405, RV0404, RV0785	138	206	1986	1.746517517940059	0.9835185404439867	0.4035177618490101	40.35177618490101
GOTERM_MF_FAT	GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	11	3.8194444444444446	0.005967485940929179	RV1687C, RV0103C, RV2564, RV1310, RV1311, RV2038C, RV1281C, RV1819C, RV1307, RV1308, RV1309	143	66	2314	2.6969696969696972	0.886128721197688	0.14441315977048613	14.003700341380473
GOTERM_MF_FAT	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	11	3.8194444444444446	0.005967485940929179	RV1687C, RV0103C, RV2564, RV1310, RV1311, RV2038C, RV1281C, RV1819C, RV1307, RV1308, RV1309	143	66	2314	2.6969696969696972	0.886128721197688	0.14441315977048613	14.003700341380473
GOTERM_MF_FAT	GO:0043492~ATPase activity, coupled to movement of substances	11	3.8194444444444446	0.005967485940929179	RV1687C, RV0103C, RV2564, RV1310, RV1311, RV2038C, RV1281C, RV1819C, RV1307, RV1308, RV1309	143	66	2314	2.6969696969696972	0.886128721197688	0.14441315977048613	14.003700341380473
GOTERM_BP_FAT	GO:0006793~phosphorus metabolic process	33	11.458333333333332	0.005981697828850205	RV2746C, RV2899C, RV1011, RV1551, RV1211, RV3043C, RV3398C, RV1311, RV1159, RV1032C, RV2136C, RV3119, RV2914C, RV1618, RV1322A, RV3301C, RV3696C, RV0113, RV0295C, RV2482C, RV3246C, RV1318C, RV3262, RV3042C, RV0891C, RV1021, RV2200C, RV0809, RV1307, RV1308, RV1309, RV1448C, RV3239C	138	302	1986	1.572559746616758	0.9877686179218793	0.4035177618490101	40.35177618490101
GOTERM_BP_FAT	GO:0006796~phosphate-containing compound metabolic process	31	10.76388888888889	0.006047268910543748	RV2746C, RV2899C, RV1011, RV1551, RV1211, RV3043C, RV3398C, RV1311, RV1159, RV1032C, RV2136C, RV3119, RV2914C, RV3301C, RV3696C, RV0113, RV0295C, RV2482C, RV3246C, RV1318C, RV3262, RV3042C, RV0891C, RV1021, RV2200C, RV0809, RV1307, RV1308, RV1309, RV1448C, RV3239C	138	278	1986	1.6047857366280887	0.9883467565048584	0.4035177618490101	40.35177618490101
GOTERM_BP_FAT	GO:0006629~lipid metabolic process	35	12.152777777777777	0.0067747814338134215	RV2746C, RV1011, RV1550, RV2002, RV1551, RV1254, RV0644C, RV3398C, RV2246, RV2247, RV1159, RV2941, RV2267C, RV0517, RV1618, RV0637, RV0636, RV1984C, RV0115, RV0035, RV0295C, RV0099, RV2482C, RV0098, RV1506C, RV1662, RV1664, RV0643C, RV2953, RV1524, RV0405, RV0404, RV0785, RV0100, RV3239C	138	329	1986	1.5309898242368178	0.9931916840616317	0.4143907977015876	41.43907977015876
GOTERM_BP_FAT	GO:0006754~ATP biosynthetic process	4	1.3888888888888888	0.009151099317693244	RV1311, RV1307, RV1308, RV1309	138	7	1986	8.22360248447205	0.9988265759124989	0.5166851460912955	51.668514609129545
GOTERM_MF_FAT	GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity	11	3.8194444444444446	0.010028930198091302	RV1687C, RV0103C, RV2564, RV1310, RV1311, RV2038C, RV1281C, RV1819C, RV1307, RV1308, RV1309	143	71	2314	2.507042253521127	0.9742386457964999	0.2158164823213412	20.92765889176642
GOTERM_MF_FAT	GO:0042623~ATPase activity, coupled	12	4.166666666666666	0.010107107987500828	RV1687C, RV0103C, RV2564, RV1310, RV1311, RV0730, RV2038C, RV1281C, RV1819C, RV1307, RV1308, RV1309	143	82	2314	2.368070953436807	0.9749666656480918	0.2158164823213412	20.92765889176642
GOTERM_MF_FAT	GO:0019829~cation-transporting ATPase activity	6	2.083333333333333	0.011101152075526735	RV0103C, RV1310, RV1311, RV1307, RV1308, RV1309	143	23	2314	4.221343873517787	0.9826168231154391	0.22387323352312252	21.708919614363396
GOTERM_BP_FAT	GO:0034220~ion transmembrane transport	7	2.430555555555556	0.014435591558149123	RV3043C, RV1311, RV3301C, RV1307, RV3273, RV1308, RV1309	138	30	1986	3.3579710144927537	0.9999768368068201	0.7464165900150702	74.64165900150702
GOTERM_BP_FAT	GO:0015672~monovalent inorganic cation transport	5	1.7361111111111112	0.016270661362726327	RV3043C, RV1311, RV1307, RV1308, RV1309	138	15	1986	4.797101449275362	0.9999941019565529	0.7464165900150702	74.64165900150702
GOTERM_BP_FAT	GO:0098662~inorganic cation transmembrane transport	5	1.7361111111111112	0.016270661362726327	RV3043C, RV1311, RV1307, RV1308, RV1309	138	15	1986	4.797101449275362	0.9999941019565529	0.7464165900150702	74.64165900150702
GOTERM_MF_FAT	GO:0016887~ATPase activity	12	4.166666666666666	0.018195041756992738	RV1687C, RV0103C, RV2564, RV1310, RV1311, RV0730, RV2038C, RV1281C, RV1819C, RV1307, RV1308, RV1309	143	89	2314	2.1818181818181817	0.9987260416556113	0.3476210609362297	33.70870893927076
GOTERM_CC_FAT	GO:0070469~respiratory chain	5	1.7361111111111112	0.01867691390734041	RV2196, RV3043C, RV2200C, RV2194, RV2195	110	15	1514	4.587878787878788	0.6248328282015316	0.19423990463634028	19.423990463634027
GOTERM_MF_FAT	GO:0047617~acyl-CoA hydrolase activity	4	1.3888888888888888	0.019733263295672352	RV1618, RV2475C, RV0098, RV0163	143	10	2314	6.472727272727272	0.9992789447161577	0.35815872881645316	34.73054340038334
GOTERM_BP_FAT	GO:0032787~monocarboxylic acid metabolic process	23	7.986111111111111	0.020344946294625226	RV1550, RV1011, RV1551, RV0644C, RV1662, RV2246, RV1664, RV0643C, RV2247, RV2941, RV1618, RV0637, RV0405, RV0636, RV0404, RV1984C, RV1885C, RV0035, RV0100, RV2482C, RV0099, RV0098, RV3262	138	205	1986	1.6146341463414633	0.999999719639731	0.8382581183173231	83.82581183173231
GOTERM_BP_FAT	GO:0098655~cation transmembrane transport	5	1.7361111111111112	0.020556738596337623	RV3043C, RV1311, RV1307, RV1308, RV1309	138	16	1986	4.497282608695652	0.9999997607822251	0.8382581183173231	83.82581183173231
GOTERM_BP_FAT	GO:0033692~cellular polysaccharide biosynthetic process	7	2.430555555555556	0.022705849727230096	RV0517, RV3791, RV3782, RV1254, RV3465, RV0115, RV3789	138	33	1986	3.0527009222661396	0.9999999522943686	0.8771628263045731	87.71628263045731
GOTERM_BP_FAT	GO:0022904~respiratory electron transport chain	5	1.7361111111111112	0.025475769523841136	RV2196, RV0247C, RV3043C, RV2200C, RV2193	138	17	1986	4.232736572890025	0.9999999940598268	0.9349607415249698	93.49607415249697
GOTERM_BP_FAT	GO:1901135~carbohydrate derivative metabolic process	27	9.375	0.028778562898045132	RV1011, RV1551, RV1254, RV3043C, RV1311, RV1159, RV2267C, RV2136C, RV0517, RV0115, RV3696C, RV0113, RV0295C, RV2482C, RV1318C, RV1506C, RV3262, RV1021, RV0017C, RV3465, RV2200C, RV2953, RV0809, RV1307, RV1308, RV1309, RV1448C	138	261	1986	1.4887556221889058	0.9999999995084105	0.9679024202649684	96.79024202649684
GOTERM_BP_FAT	GO:0098660~inorganic ion transmembrane transport	6	2.083333333333333	0.029406341664680178	RV3043C, RV1311, RV3301C, RV1307, RV1308, RV1309	138	26	1986	3.321070234113712	0.9999999996941645	0.9679024202649684	96.79024202649684
GOTERM_BP_FAT	GO:0022900~electron transport chain	5	1.7361111111111112	0.031045413044979063	RV2196, RV0247C, RV3043C, RV2200C, RV2193	138	18	1986	3.9975845410628015	0.999999999911547	0.9679024202649684	96.79024202649684
GOTERM_MF_FAT	GO:0009055~electron carrier activity	6	2.083333333333333	0.033298502930039414	RV0247C, RV3198A, RV3043C, RV2199C, RV2200C, RV2193	143	30	2314	3.2363636363636363	0.9999954171252264	0.5494252983456503	53.277604688063064
GOTERM_MF_FAT	GO:0042625~ATPase coupled ion transmembrane transporter activity	6	2.083333333333333	0.033298502930039414	RV0103C, RV1310, RV1311, RV1307, RV1308, RV1309	143	30	2314	3.2363636363636363	0.9999954171252264	0.5494252983456503	53.277604688063064
GOTERM_BP_FAT	GO:0009145~purine nucleoside triphosphate biosynthetic process	4	1.3888888888888888	0.03517292962154368	RV1311, RV1307, RV1308, RV1309	138	11	1986	5.233201581027668	0.999999999996146	0.9679024202649684	96.79024202649684
GOTERM_BP_FAT	GO:0009206~purine ribonucleoside triphosphate biosynthetic process	4	1.3888888888888888	0.03517292962154368	RV1311, RV1307, RV1308, RV1309	138	11	1986	5.233201581027668	0.999999999996146	0.9679024202649684	96.79024202649684
GOTERM_BP_FAT	GO:0052646~alditol phosphate metabolic process	4	1.3888888888888888	0.03517292962154368	RV1551, RV3696C, RV2482C, RV3262	138	11	1986	5.233201581027668	0.999999999996146	0.9679024202649684	96.79024202649684
GOTERM_BP_FAT	GO:0006811~ion transport	11	3.8194444444444446	0.035604039982498836	RV3043C, RV0522, RV1311, RV3301C, RV2127, RV3500C, RV1307, RV3273, RV1308, RV2329C, RV1309	138	77	1986	2.0559006211180124	0.9999999999972238	0.9679024202649684	96.79024202649684
GOTERM_MF_FAT	GO:0022853~active ion transmembrane transporter activity	6	2.083333333333333	0.03780530292080267	RV0103C, RV1310, RV1311, RV1307, RV1308, RV1309	143	31	2314	3.131964809384164	0.9999991596617394	0.5965647507680432	57.84870310477995
GOTERM_MF_FAT	GO:0016790~thiolester hydrolase activity	4	1.3888888888888888	0.04108572663691758	RV1618, RV2475C, RV0098, RV0163	143	13	2314	4.979020979020979	0.9999997567452829	0.5965647507680432	57.84870310477995
GOTERM_MF_FAT	GO:0016289~CoA hydrolase activity	4	1.3888888888888888	0.04108572663691758	RV1618, RV2475C, RV0098, RV0163	143	13	2314	4.979020979020979	0.9999997567452829	0.5965647507680432	57.84870310477995
GOTERM_BP_FAT	GO:0000271~polysaccharide biosynthetic process	7	2.430555555555556	0.04266444913008875	RV0517, RV3791, RV3782, RV1254, RV3465, RV0115, RV3789	138	38	1986	2.651029748283753	0.9999999999999873	1.0	100.0
GOTERM_BP_FAT	GO:0046034~ATP metabolic process	6	2.083333333333333	0.04498965413768062	RV3043C, RV1311, RV2200C, RV1307, RV1308, RV1309	138	29	1986	2.977511244377811	0.9999999999999979	1.0	100.0
GOTERM_BP_FAT	GO:0044264~cellular polysaccharide metabolic process	7	2.430555555555556	0.04766309467033762	RV0517, RV3791, RV3782, RV1254, RV3465, RV0115, RV3789	138	39	1986	2.5830546265328875	0.9999999999999998	1.0	100.0
GOTERM_BP_FAT	GO:0009199~ribonucleoside triphosphate metabolic process	7	2.430555555555556	0.04766309467033762	RV1021, RV3043C, RV1311, RV2200C, RV1307, RV1308, RV1309	138	39	1986	2.5830546265328875	0.9999999999999998	1.0	100.0
GOTERM_BP_FAT	GO:0009144~purine nucleoside triphosphate metabolic process	7	2.430555555555556	0.04766309467033762	RV1021, RV3043C, RV1311, RV2200C, RV1307, RV1308, RV1309	138	39	1986	2.5830546265328875	0.9999999999999998	1.0	100.0
GOTERM_BP_FAT	GO:0016051~carbohydrate biosynthetic process	9	3.125	0.05040861028615297	RV0517, RV3791, RV3782, RV1254, RV1771, RV3465, RV0069C, RV0115, RV3789	138	60	1986	2.158695652173913	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0016462~pyrophosphatase activity	15	5.208333333333334	0.05127865703240264	RV0103C, RV1021, RV2564, RV1310, RV1311, RV2136C, RV2038C, RV1281C, RV1307, RV1308, RV1309, RV1687C, RV0730, RV0685, RV1819C	143	143	2314	1.697393515575334	0.9999999949726687	0.7159289424139292	69.42341259771435
KEGG_PATHWAY	mtu02010:ABC transporters	10	3.4722222222222223	0.052742618016984266	RV3781, RV3783, RV3499C, RV3498C, RV3664C, RV2038C, RV1283C, RV3500C, RV1281C, RV1819C	66	84	1099	1.9823232323232325	0.9797839694020507	1.0	100.0
GOTERM_BP_FAT	GO:0019637~organophosphate metabolic process	24	8.333333333333332	0.05313826073642201	RV0891C, RV1021, RV2746C, RV2899C, RV1011, RV1551, RV3398C, RV3043C, RV1311, RV1159, RV2200C, RV0809, RV3119, RV1307, RV1308, RV1309, RV1448C, RV3696C, RV0113, RV0295C, RV2482C, RV1318C, RV3262, RV3239C	138	238	1986	1.4512239678480086	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0052200~response to host defenses	14	4.861111111111112	0.05468785972509225	RV2109C, RV0017C, RV1146, RV1361C, RV3877, RV2336, RV2941, RV3869, RV0404, RV3887C, RV1886C, RV0432, RV1819C, RV1506C	138	117	1986	1.7220364176885916	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0052173~response to defenses of other organism involved in symbiotic interaction	14	4.861111111111112	0.05468785972509225	RV2109C, RV0017C, RV1146, RV1361C, RV3877, RV2336, RV2941, RV3869, RV0404, RV3887C, RV1886C, RV0432, RV1819C, RV1506C	138	117	1986	1.7220364176885916	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0009201~ribonucleoside triphosphate biosynthetic process	4	1.3888888888888888	0.05511021734542745	RV1311, RV1307, RV1308, RV1309	138	13	1986	4.4280936454849495	1.0	1.0	100.0
KEGG_PATHWAY	mtu00260:Glycine, serine and threonine metabolism	5	1.7361111111111112	0.05511852839200514	RV3042C, RV1077, RV0069C, RV0070C, RV1905C	66	25	1099	3.3303030303030305	0.9831279455435655	1.0	100.0
GOTERM_MF_FAT	GO:0016818~hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	15	5.208333333333334	0.05652649494325898	RV0103C, RV1021, RV2564, RV1310, RV1311, RV2136C, RV2038C, RV1281C, RV1307, RV1308, RV1309, RV1687C, RV0730, RV0685, RV1819C	143	145	2314	1.6739811912225706	0.99999999932875	0.7328256308715361	71.06187935723986
GOTERM_MF_FAT	GO:0016817~hydrolase activity, acting on acid anhydrides	15	5.208333333333334	0.05652649494325898	RV0103C, RV1021, RV2564, RV1310, RV1311, RV2136C, RV2038C, RV1281C, RV1307, RV1308, RV1309, RV1687C, RV0730, RV0685, RV1819C	143	145	2314	1.6739811912225706	0.99999999932875	0.7328256308715361	71.06187935723986
GOTERM_BP_FAT	GO:0034637~cellular carbohydrate biosynthetic process	7	2.430555555555556	0.06476654105088994	RV0517, RV3791, RV3782, RV1254, RV3465, RV0115, RV3789	138	42	1986	2.398550724637681	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0017111~nucleoside-triphosphatase activity	13	4.513888888888888	0.0700506738460139	RV0103C, RV2564, RV1310, RV1311, RV2038C, RV1281C, RV1307, RV1308, RV1309, RV1687C, RV0730, RV0685, RV1819C	143	123	2314	1.7102734663710273	0.999999999996446	0.8764422683766103	84.98834117591373
GOTERM_BP_FAT	GO:0006633~fatty acid biosynthetic process	11	3.8194444444444446	0.07211676379145252	RV0637, RV0405, RV0404, RV0644C, RV1662, RV2246, RV0643C, RV2247, RV2941, RV0035, RV0098	138	87	1986	1.819590204897551	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0016758~transferase activity, transferring hexosyl groups	6	2.083333333333333	0.07243324532038102	RV0017C, RV3782, RV1508C, RV1159, RV1524, RV0051	143	37	2314	2.6240786240786242	0.9999999999985995	0.8764422683766103	84.98834117591373
GOTERM_BP_FAT	GO:0005976~polysaccharide metabolic process	7	2.430555555555556	0.07794104008518019	RV0517, RV3791, RV3782, RV1254, RV3465, RV0115, RV3789	138	44	1986	2.2895256916996045	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0006072~glycerol-3-phosphate metabolic process	3	1.0416666666666665	0.07890285728562403	RV1551, RV3696C, RV2482C	138	7	1986	6.167701863354037	1.0	1.0	100.0
