Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0001666~response to hypoxia	14	18.91891891891892	6.313944162798081e-13	RV3130C, RV2032, RV3133C, RV3134C, RV2623, RV2005C, RV2007C, RV2626C, RV2629, RV0569, RV2031C, RV2484C, RV1737C, RV1736C	33	58	1986	14.526645768025078	2.1719603893188832e-10	2.1719967920025398e-10	2.1656828478397417e-08
GOTERM_BP_FAT	GO:0036293~response to decreased oxygen levels	14	18.91891891891892	1.2781627197302155e-12	RV3130C, RV2032, RV3133C, RV3134C, RV2623, RV2005C, RV2007C, RV2626C, RV2629, RV0569, RV2031C, RV2484C, RV1737C, RV1736C	33	61	1986	13.812220566318928	4.397007202783243e-10	2.1984398779359707e-10	2.1920490643373197e-08
GOTERM_BP_FAT	GO:0070482~response to oxygen levels	14	18.91891891891892	2.0008144250876577e-12	RV3130C, RV2032, RV3133C, RV3134C, RV2623, RV2005C, RV2007C, RV2626C, RV2629, RV0569, RV2031C, RV2484C, RV1737C, RV1736C	33	63	1986	13.373737373737374	6.882903136329332e-10	2.2942672074338476e-10	2.2875978260168885e-08
GOTERM_BP_FAT	GO:0009628~response to abiotic stimulus	14	18.91891891891892	7.431279593243767e-10	RV3130C, RV2032, RV3133C, RV3134C, RV2623, RV2005C, RV2007C, RV2626C, RV2629, RV0569, RV2031C, RV2484C, RV1737C, RV1736C	33	98	1986	8.597402597402597	2.5563600070110937e-07	6.39090045018964e-08	6.372322251206531e-06
GOTERM_CC_FAT	GO:0005618~cell wall	26	35.13513513513514	0.000445512248071856	RV2625C, RV3130C, RV3134C, RV3164C, RV3132C, RV2006, RV1996, RV2623, RV1997, RV2005C, RV2629, RV2030C, RV0079, RV0570, RV2032, RV3133C, RV2631, RV3127, RV2713, RV2004C, RV2028C, RV2626C, RV1829, RV0569, RV2031C, RV0142	33	728	1514	1.6385281385281385	0.01591402684397014	0.00868686222183618	0.868686222183618
GOTERM_CC_FAT	GO:0030312~external encapsulating structure	26	35.13513513513514	0.0004826034567686766	RV2625C, RV3130C, RV3134C, RV3164C, RV3132C, RV2006, RV1996, RV2623, RV1997, RV2005C, RV2629, RV2030C, RV0079, RV0570, RV2032, RV3133C, RV2631, RV3127, RV2713, RV2004C, RV2028C, RV2626C, RV1829, RV0569, RV2031C, RV0142	33	731	1514	1.6318036728433445	0.017227792962605126	0.00868686222183618	0.868686222183618
GOTERM_BP_FAT	GO:0022611~dormancy process	3	4.054054054054054	0.006631148081283885	RV3133C, RV0821C, RV2623	33	8	1986	22.56818181818182	0.8986029973340598	0.45622298799233124	45.48967583760744
GOTERM_MF_FAT	GO:0097367~carbohydrate derivative binding	15	20.27027027027027	0.007407060565552625	RV2624C, RV2176, RV3178, RV3134C, RV3164C, RV2631, RV3132C, RV1996, RV2623, RV1997, RV2005C, RV2636, RV2004C, RV2029C, RV0570	41	417	2314	2.030180733462011	0.7045569442388075	0.2942762983319807	29.24819306592247
GOTERM_MF_FAT	GO:0035639~purine ribonucleoside triphosphate binding	14	18.91891891891892	0.008593796015685017	RV2624C, RV2176, RV3134C, RV3164C, RV2631, RV3132C, RV1996, RV2623, RV1997, RV2005C, RV2636, RV2004C, RV2029C, RV0570	41	379	2314	2.0848188429113845	0.7571893701951322	0.2942762983319807	29.24819306592247
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	14	18.91891891891892	0.00960332383508315	RV2624C, RV2176, RV3134C, RV3164C, RV2631, RV3132C, RV1996, RV2623, RV1997, RV2005C, RV2636, RV2004C, RV2029C, RV0570	41	384	2314	2.0576727642276427	0.7945507491701527	0.2942762983319807	29.24819306592247
