Annotation Cluster 1	EnrichmentScore:2.4515107162669607
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu00620:Pyruvate metabolism	6	12.76595744680851	0.0001275524536793305	RV0458, RV1552, RV1553, RV1554, RV1555, RV0914C	14	48	1099	9.812499999999998	0.002929593891521143	0.003061258888303932	0.22959441662279492
GOTERM_CC_FAT	GO:0045274~plasma membrane respiratory chain complex II	3	6.382978723404255	0.00031237664396701	RV1553, RV1554, RV1555	17	3	1514	89.05882352941177	0.006849792251400588	0.002290762055758073	0.2290762055758073
GOTERM_CC_FAT	GO:0045283~fumarate reductase complex	3	6.382978723404255	0.00031237664396701	RV1553, RV1554, RV1555	17	3	1514	89.05882352941177	0.006849792251400588	0.002290762055758073	0.2290762055758073
GOTERM_CC_FAT	GO:0045284~plasma membrane fumarate reductase complex	3	6.382978723404255	0.00031237664396701	RV1553, RV1554, RV1555	17	3	1514	89.05882352941177	0.006849792251400588	0.002290762055758073	0.2290762055758073
KEGG_PATHWAY	mtu02020:Two-component system	6	12.76595744680851	0.00032051642096037487	RV1164, RV1552, RV1553, RV1554, RV1555, RV0914C	14	58	1099	8.120689655172415	0.0073459450159377715	0.003846197051524498	0.2884647788643374
GOTERM_CC_FAT	GO:0045273~respiratory chain complex II	3	6.382978723404255	0.0006208978720650603	RV1553, RV1554, RV1555	17	4	1514	66.79411764705883	0.013571066949979893	0.0034149382963578317	0.3414938296357832
GOTERM_MF_FAT	GO:0000104~succinate dehydrogenase activity	3	6.382978723404255	0.0012834455893894862	RV1552, RV1554, RV1555	28	5	2314	49.58571428571428	0.1591789617227216	0.17326515456758065	17.326515456758067
KEGG_PATHWAY	mtu00650:Butanoate metabolism	5	10.638297872340425	0.003069729449378653	RV1552, RV1553, RV1554, RV1555, RV0914C	14	56	1099	7.008928571428571	0.06827015003508408	0.023759835190377	1.781987639278275
GOTERM_CC_FAT	GO:0070470~plasma membrane respiratory chain	3	6.382978723404255	0.0036119450690931445	RV1553, RV1554, RV1555	17	9	1514	29.686274509803926	0.0765204703475948	0.015892558304009836	1.5892558304009836
KEGG_PATHWAY	mtu00020:Citrate cycle (TCA cycle)	4	8.51063829787234	0.0039599725317295	RV1552, RV1553, RV1554, RV1555	14	29	1099	10.827586206896552	0.08721980863643275	0.023759835190377	1.781987639278275
GOTERM_CC_FAT	GO:0098803~respiratory chain complex	3	6.382978723404255	0.004487117667432738	RV1553, RV1554, RV1555	17	10	1514	26.71764705882353	0.09420179535094786	0.016452764780586705	1.6452764780586704
GOTERM_CC_FAT	GO:0070469~respiratory chain	3	6.382978723404255	0.010151680869542821	RV1553, RV1554, RV1555	17	15	1514	17.811764705882354	0.20106711301650038	0.031905282732848865	3.1905282732848863
KEGG_PATHWAY	mtu00190:Oxidative phosphorylation	4	8.51063829787234	0.01643312764894518	RV1552, RV1553, RV1554, RV1555	14	48	1099	6.541666666666666	0.3168917443760013	0.07887901271493687	5.915925953620265
KEGG_PATHWAY	mtu01200:Carbon metabolism	5	10.638297872340425	0.02189372168235964	RV1552, RV1553, RV1554, RV1555, RV0914C	14	97	1099	4.046391752577319	0.3989936349534622	0.08176572676704293	6.1324295075282205
KEGG_PATHWAY	mtu01110:Biosynthesis of secondary metabolites	9	19.148936170212767	0.023848336973720855	RV3582C, RV0458, RV2740, RV1552, RV1553, RV1554, RV2402, RV1555, RV0914C	14	346	1099	2.041907514450867	0.4260185386670883	0.08176572676704293	6.1324295075282205
KEGG_PATHWAY	mtu01120:Microbial metabolism in diverse environments	7	14.893617021276595	0.02751793235272817	RV1164, RV0458, RV1552, RV1553, RV1554, RV1555, RV0914C	14	217	1099	2.532258064516129	0.4736473171564334	0.08255379705818451	6.191534779363838
KEGG_PATHWAY	mtu01100:Metabolic pathways	12	25.53191489361702	0.0890237103084002	RV3734C, RV1164, RV3582C, RV0458, RV1552, RV1553, RV1554, RV2402, RV1555, RV1425, RV0914C, RV3107C	14	695	1099	1.3553956834532375	0.882871470114421	0.23739656082240052	17.80474206168004
GOTERM_MF_FAT	GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors	3	6.382978723404255	0.17872136427672417	RV1552, RV1554, RV1555	28	66	2314	3.756493506493506	0.999999999997141	1.0	100.0
Annotation Cluster 2	EnrichmentScore:1.5196500872990852
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu02020:Two-component system	6	12.76595744680851	0.00032051642096037487	RV1164, RV1552, RV1553, RV1554, RV1555, RV0914C	14	58	1099	8.120689655172415	0.0073459450159377715	0.003846197051524498	0.2884647788643374
GOTERM_BP_FAT	GO:0009061~anaerobic respiration	3	6.382978723404255	0.004997188339619712	RV1164, RV1552, RV1553	23	10	1986	25.904347826086955	0.6577039359929641	1.0	100.0
KEGG_PATHWAY	mtu01120:Microbial metabolism in diverse environments	7	14.893617021276595	0.02751793235272817	RV1164, RV0458, RV1552, RV1553, RV1554, RV1555, RV0914C	14	217	1099	2.532258064516129	0.4736473171564334	0.08255379705818451	6.191534779363838
GOTERM_MF_FAT	GO:0009055~electron carrier activity	3	6.382978723404255	0.046669361148431926	RV1164, RV1552, RV1553	28	30	2314	8.264285714285714	0.9984228268495738	1.0	100.0
GOTERM_BP_FAT	GO:0055114~oxidation-reduction process	4	8.51063829787234	0.09531290850066257	RV1164, RV1552, RV1553, RV0914C	23	100	1986	3.4539130434782606	0.9999999995094806	1.0	100.0
GOTERM_BP_FAT	GO:0045333~cellular respiration	3	6.382978723404255	0.11138996287575592	RV1164, RV1552, RV1553	23	52	1986	4.981605351170568	0.999999999989427	1.0	100.0
GOTERM_BP_FAT	GO:0015980~energy derivation by oxidation of organic compounds	3	6.382978723404255	0.15266526005010284	RV1164, RV1552, RV1553	23	63	1986	4.111801242236025	0.9999999999999996	1.0	100.0
GOTERM_BP_FAT	GO:0006091~generation of precursor metabolites and energy	3	6.382978723404255	0.20885152035864452	RV1164, RV1552, RV1553	23	77	1986	3.3642010163749294	1.0	1.0	100.0
Annotation Cluster 3	EnrichmentScore:1.0644179712368063
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0016411~acylglycerol O-acyltransferase activity	3	6.382978723404255	0.03847020426421641	RV3734C, RV1425, RV2483C	28	27	2314	9.182539682539682	0.9949884646806891	1.0	100.0
GOTERM_BP_FAT	GO:0045017~glycerolipid biosynthetic process	3	6.382978723404255	0.04226074947589407	RV3734C, RV1425, RV2483C	23	30	1986	8.634782608695652	0.9999029670451156	1.0	100.0
GOTERM_BP_FAT	GO:0044255~cellular lipid metabolic process	7	14.893617021276595	0.05386168458584647	RV3734C, RV3582C, RV1425, RV2483C, RV0913C, RV1206, RV0914C	23	256	1986	2.3610733695652177	0.9999928502495334	1.0	100.0
GOTERM_MF_FAT	GO:0008374~O-acyltransferase activity	3	6.382978723404255	0.0554523871507463	RV3734C, RV1425, RV2483C	28	33	2314	7.512987012987012	0.999547914691643	1.0	100.0
GOTERM_BP_FAT	GO:0006629~lipid metabolic process	8	17.02127659574468	0.057804906845862404	RV3734C, RV3582C, RV3059, RV1425, RV2483C, RV0913C, RV1206, RV0914C	23	329	1986	2.0996431875247787	0.9999970749091158	1.0	100.0
GOTERM_BP_FAT	GO:0046486~glycerolipid metabolic process	3	6.382978723404255	0.11500077278074163	RV3734C, RV1425, RV2483C	23	53	1986	4.8876127973748975	0.9999999999955763	1.0	100.0
GOTERM_MF_FAT	GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups	4	8.51063829787234	0.16735569446136667	RV3734C, RV1425, RV2483C, RV0914C	28	122	2314	2.7096018735363	0.9999999999817175	1.0	100.0
GOTERM_BP_FAT	GO:0008610~lipid biosynthetic process	5	10.638297872340425	0.18763799168483053	RV3734C, RV3582C, RV1425, RV2483C, RV1206	23	206	1986	2.095821021528071	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0016746~transferase activity, transferring acyl groups	4	8.51063829787234	0.2596268822448081	RV3734C, RV1425, RV2483C, RV0914C	28	152	2314	2.174812030075188	1.0	1.0	100.0
Annotation Cluster 4	EnrichmentScore:0.9853598532045778
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu02020:Two-component system	6	12.76595744680851	0.00032051642096037487	RV1164, RV1552, RV1553, RV1554, RV1555, RV0914C	14	58	1099	8.120689655172415	0.0073459450159377715	0.003846197051524498	0.2884647788643374
KEGG_PATHWAY	mtu01120:Microbial metabolism in diverse environments	7	14.893617021276595	0.02751793235272817	RV1164, RV0458, RV1552, RV1553, RV1554, RV1555, RV0914C	14	217	1099	2.532258064516129	0.4736473171564334	0.08255379705818451	6.191534779363838
GOTERM_BP_FAT	GO:0055114~oxidation-reduction process	4	8.51063829787234	0.09531290850066257	RV1164, RV1552, RV1553, RV0914C	23	100	1986	3.4539130434782606	0.9999999995094806	1.0	100.0
GOTERM_BP_FAT	GO:0043436~oxoacid metabolic process	6	12.76595744680851	0.5555200719540548	RV1164, RV3582C, RV1553, RV1555, RV1206, RV0914C	23	439	1986	1.1801525205506584	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0006082~organic acid metabolic process	6	12.76595744680851	0.5600634664950386	RV1164, RV3582C, RV1553, RV1555, RV1206, RV0914C	23	441	1986	1.1748003549245785	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0032787~monocarboxylic acid metabolic process	3	6.382978723404255	0.6801410272537453	RV3582C, RV1206, RV0914C	23	205	1986	1.263626723223754	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0019752~carboxylic acid metabolic process	5	10.638297872340425	0.711749628927825	RV3582C, RV1553, RV1555, RV1206, RV0914C	23	418	1986	1.032868733097566	1.0	1.0	100.0
Annotation Cluster 5	EnrichmentScore:0.7426460869683975
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0003700~transcription factor activity, sequence-specific DNA binding	5	10.638297872340425	0.03750472221718559	RV0165C, RV0104, RV2884, RV1230C, RV0377	28	111	2314	3.7226512226512227	0.9942613200519573	1.0	100.0
GOTERM_MF_FAT	GO:0001071~nucleic acid binding transcription factor activity	5	10.638297872340425	0.039683371999738086	RV0165C, RV0104, RV2884, RV1230C, RV0377	28	113	2314	3.6567635903919093	0.9957737947342459	1.0	100.0
GOTERM_MF_FAT	GO:0003677~DNA binding	4	8.51063829787234	0.7668494339558436	RV0165C, RV2884, RV1230C, RV0377	28	332	2314	0.995697074010327	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0003676~nucleic acid binding	4	8.51063829787234	0.9375858177613962	RV0165C, RV2884, RV1230C, RV0377	28	475	2314	0.6959398496240601	1.0	1.0	100.0
Annotation Cluster 6	EnrichmentScore:0.43073926324678385
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0044262~cellular carbohydrate metabolic process	3	6.382978723404255	0.2503697392305113	RV3734C, RV2402, RV1425	23	87	1986	2.9775112443778107	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0044723~single-organism carbohydrate metabolic process	3	6.382978723404255	0.38764137327772175	RV3734C, RV2402, RV1425	23	120	1986	2.158695652173913	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0005975~carbohydrate metabolic process	3	6.382978723404255	0.5257390666579453	RV3734C, RV2402, RV1425	23	156	1986	1.660535117056856	1.0	1.0	100.0
Annotation Cluster 7	EnrichmentScore:0.31615538925600056
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0052564~response to immune response of other organism involved in symbiotic interaction	3	6.382978723404255	0.3589884600223029	RV0165C, RV0458, RV3237C	23	113	1986	2.2924201616006155	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0052572~response to host immune response	3	6.382978723404255	0.3589884600223029	RV0165C, RV0458, RV3237C	23	113	1986	2.2924201616006155	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0052173~response to defenses of other organism involved in symbiotic interaction	3	6.382978723404255	0.37541426154143526	RV0165C, RV0458, RV3237C	23	117	1986	2.2140468227424748	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0052200~response to host defenses	3	6.382978723404255	0.37541426154143526	RV0165C, RV0458, RV3237C	23	117	1986	2.2140468227424748	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0075136~response to host	3	6.382978723404255	0.4277224841629428	RV0165C, RV0458, RV3237C	23	130	1986	1.9926421404682273	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0009607~response to biotic stimulus	3	6.382978723404255	0.4627543448465451	RV0165C, RV0458, RV3237C	23	139	1986	1.8636221457616513	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0051707~response to other organism	3	6.382978723404255	0.4627543448465451	RV0165C, RV0458, RV3237C	23	139	1986	1.8636221457616513	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0043207~response to external biotic stimulus	3	6.382978723404255	0.4627543448465451	RV0165C, RV0458, RV3237C	23	139	1986	1.8636221457616513	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0009605~response to external stimulus	3	6.382978723404255	0.5938198661897678	RV0165C, RV0458, RV3237C	23	176	1986	1.4718379446640315	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0051701~interaction with host	3	6.382978723404255	0.6801410272537453	RV0165C, RV0458, RV3237C	23	205	1986	1.263626723223754	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0044403~symbiosis, encompassing mutualism through parasitism	3	6.382978723404255	0.7190229684929073	RV0165C, RV0458, RV3237C	23	220	1986	1.1774703557312254	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0044419~interspecies interaction between organisms	3	6.382978723404255	0.7190229684929073	RV0165C, RV0458, RV3237C	23	220	1986	1.1774703557312254	1.0	1.0	100.0
Annotation Cluster 8	EnrichmentScore:0.10315445867115229
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0050662~coenzyme binding	3	6.382978723404255	0.6045954859157318	RV1552, RV1261C, RV3107C	28	171	2314	1.449874686716792	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0097159~organic cyclic compound binding	13	27.659574468085108	0.6435906461593266	RV1164, RV3582C, RV0165C, RV3059, RV1552, RV2884, RV1230C, RV1261C, RV1206, RV0655, RV0377, RV0120C, RV3107C	28	1068	2314	1.005952380952381	1.0	1.0	100.0
GOTERM_MF_FAT	GO:1901363~heterocyclic compound binding	13	27.659574468085108	0.6435906461593266	RV1164, RV3582C, RV0165C, RV3059, RV1552, RV2884, RV1230C, RV1261C, RV1206, RV0655, RV0377, RV0120C, RV3107C	28	1068	2314	1.005952380952381	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0097367~carbohydrate derivative binding	5	10.638297872340425	0.7444623383243401	RV3582C, RV0655, RV1261C, RV1206, RV0120C	28	417	2314	0.9909215484755053	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043167~ion binding	12	25.53191489361702	0.7448493697202575	RV1164, RV3582C, RV3059, RV1552, RV0655, RV1397C, RV1553, RV1261C, RV0913C, RV1206, RV0120C, RV3107C	28	1046	2314	0.948101611581535	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043168~anion binding	7	14.893617021276595	0.7710643383294064	RV3582C, RV1552, RV0655, RV1261C, RV1206, RV0120C, RV3107C	28	620	2314	0.9330645161290322	1.0	1.0	100.0
