Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu00620:Pyruvate metabolism	6	12.76595744680851	0.0001275524536793305	RV0458, RV1552, RV1553, RV1554, RV1555, RV0914C	14	48	1099	9.812499999999998	0.002929593891521143	0.003061258888303932	0.22959441662279492
GOTERM_CC_FAT	GO:0045274~plasma membrane respiratory chain complex II	3	6.382978723404255	0.00031237664396701	RV1553, RV1554, RV1555	17	3	1514	89.05882352941177	0.006849792251400588	0.002290762055758073	0.2290762055758073
GOTERM_CC_FAT	GO:0045284~plasma membrane fumarate reductase complex	3	6.382978723404255	0.00031237664396701	RV1553, RV1554, RV1555	17	3	1514	89.05882352941177	0.006849792251400588	0.002290762055758073	0.2290762055758073
GOTERM_CC_FAT	GO:0045283~fumarate reductase complex	3	6.382978723404255	0.00031237664396701	RV1553, RV1554, RV1555	17	3	1514	89.05882352941177	0.006849792251400588	0.002290762055758073	0.2290762055758073
KEGG_PATHWAY	mtu02020:Two-component system	6	12.76595744680851	0.00032051642096037487	RV1164, RV1552, RV1553, RV1554, RV1555, RV0914C	14	58	1099	8.120689655172415	0.0073459450159377715	0.003846197051524498	0.2884647788643374
GOTERM_CC_FAT	GO:0045273~respiratory chain complex II	3	6.382978723404255	0.0006208978720650603	RV1553, RV1554, RV1555	17	4	1514	66.79411764705883	0.013571066949979893	0.0034149382963578317	0.3414938296357832
GOTERM_MF_FAT	GO:0000104~succinate dehydrogenase activity	3	6.382978723404255	0.0012834455893894862	RV1552, RV1554, RV1555	28	5	2314	49.58571428571428	0.1591789617227216	0.17326515456758065	17.326515456758067
KEGG_PATHWAY	mtu00650:Butanoate metabolism	5	10.638297872340425	0.003069729449378653	RV1552, RV1553, RV1554, RV1555, RV0914C	14	56	1099	7.008928571428571	0.06827015003508408	0.023759835190377	1.781987639278275
GOTERM_CC_FAT	GO:0070470~plasma membrane respiratory chain	3	6.382978723404255	0.0036119450690931445	RV1553, RV1554, RV1555	17	9	1514	29.686274509803926	0.0765204703475948	0.015892558304009836	1.5892558304009836
KEGG_PATHWAY	mtu00020:Citrate cycle (TCA cycle)	4	8.51063829787234	0.0039599725317295	RV1552, RV1553, RV1554, RV1555	14	29	1099	10.827586206896552	0.08721980863643275	0.023759835190377	1.781987639278275
GOTERM_CC_FAT	GO:0098803~respiratory chain complex	3	6.382978723404255	0.004487117667432738	RV1553, RV1554, RV1555	17	10	1514	26.71764705882353	0.09420179535094786	0.016452764780586705	1.6452764780586704
GOTERM_BP_FAT	GO:0009061~anaerobic respiration	3	6.382978723404255	0.004997188339619712	RV1164, RV1552, RV1553	23	10	1986	25.904347826086955	0.6577039359929641	1.0	100.0
GOTERM_CC_FAT	GO:0070469~respiratory chain	3	6.382978723404255	0.010151680869542821	RV1553, RV1554, RV1555	17	15	1514	17.811764705882354	0.20106711301650038	0.031905282732848865	3.1905282732848863
KEGG_PATHWAY	mtu00190:Oxidative phosphorylation	4	8.51063829787234	0.01643312764894518	RV1552, RV1553, RV1554, RV1555	14	48	1099	6.541666666666666	0.3168917443760013	0.07887901271493687	5.915925953620265
KEGG_PATHWAY	mtu01200:Carbon metabolism	5	10.638297872340425	0.02189372168235964	RV1552, RV1553, RV1554, RV1555, RV0914C	14	97	1099	4.046391752577319	0.3989936349534622	0.08176572676704293	6.1324295075282205
KEGG_PATHWAY	mtu01110:Biosynthesis of secondary metabolites	9	19.148936170212767	0.023848336973720855	RV3582C, RV0458, RV2740, RV1552, RV1553, RV1554, RV2402, RV1555, RV0914C	14	346	1099	2.041907514450867	0.4260185386670883	0.08176572676704293	6.1324295075282205
KEGG_PATHWAY	mtu01120:Microbial metabolism in diverse environments	7	14.893617021276595	0.02751793235272817	RV1164, RV0458, RV1552, RV1553, RV1554, RV1555, RV0914C	14	217	1099	2.532258064516129	0.4736473171564334	0.08255379705818451	6.191534779363838
GOTERM_MF_FAT	GO:0003700~transcription factor activity, sequence-specific DNA binding	5	10.638297872340425	0.03750472221718559	RV0165C, RV0104, RV2884, RV1230C, RV0377	28	111	2314	3.7226512226512227	0.9942613200519573	1.0	100.0
GOTERM_MF_FAT	GO:0016411~acylglycerol O-acyltransferase activity	3	6.382978723404255	0.03847020426421641	RV3734C, RV1425, RV2483C	28	27	2314	9.182539682539682	0.9949884646806891	1.0	100.0
GOTERM_MF_FAT	GO:0001071~nucleic acid binding transcription factor activity	5	10.638297872340425	0.039683371999738086	RV0165C, RV0104, RV2884, RV1230C, RV0377	28	113	2314	3.6567635903919093	0.9957737947342459	1.0	100.0
GOTERM_BP_FAT	GO:0045017~glycerolipid biosynthetic process	3	6.382978723404255	0.04226074947589407	RV3734C, RV1425, RV2483C	23	30	1986	8.634782608695652	0.9999029670451156	1.0	100.0
GOTERM_MF_FAT	GO:0009055~electron carrier activity	3	6.382978723404255	0.046669361148431926	RV1164, RV1552, RV1553	28	30	2314	8.264285714285714	0.9984228268495738	1.0	100.0
GOTERM_BP_FAT	GO:0044255~cellular lipid metabolic process	7	14.893617021276595	0.05386168458584647	RV3734C, RV3582C, RV1425, RV2483C, RV0913C, RV1206, RV0914C	23	256	1986	2.3610733695652177	0.9999928502495334	1.0	100.0
GOTERM_MF_FAT	GO:0008374~O-acyltransferase activity	3	6.382978723404255	0.0554523871507463	RV3734C, RV1425, RV2483C	28	33	2314	7.512987012987012	0.999547914691643	1.0	100.0
GOTERM_BP_FAT	GO:0006629~lipid metabolic process	8	17.02127659574468	0.057804906845862404	RV3734C, RV3582C, RV3059, RV1425, RV2483C, RV0913C, RV1206, RV0914C	23	329	1986	2.0996431875247787	0.9999970749091158	1.0	100.0
KEGG_PATHWAY	mtu01100:Metabolic pathways	12	25.53191489361702	0.0890237103084002	RV3734C, RV1164, RV3582C, RV0458, RV1552, RV1553, RV1554, RV2402, RV1555, RV1425, RV0914C, RV3107C	14	695	1099	1.3553956834532375	0.882871470114421	0.23739656082240052	17.80474206168004
GOTERM_BP_FAT	GO:0055114~oxidation-reduction process	4	8.51063829787234	0.09531290850066257	RV1164, RV1552, RV1553, RV0914C	23	100	1986	3.4539130434782606	0.9999999995094806	1.0	100.0
