Annotation Cluster 1	EnrichmentScore:2.180727437882358
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0044315~protein secretion by the type VII secretion system	3	16.666666666666664	0.0008065309926681308	RV3616C, RV3614C, RV3615C	10	10	1986	59.58	0.14420403325548914	0.05197110030362535	5.062469874135527
GOTERM_BP_FAT	GO:0033036~macromolecule localization	4	22.22222222222222	0.001273220393027788	RV3616C, RV1368, RV3614C, RV3615C	10	52	1986	15.276923076923076	0.21799027618409983	0.05197110030362535	5.062469874135527
GOTERM_BP_FAT	GO:0009306~protein secretion	3	16.666666666666664	0.001388138204571604	RV3616C, RV3614C, RV3615C	10	13	1986	45.83076923076923	0.23516625399954627	0.05197110030362535	5.062469874135527
GOTERM_BP_FAT	GO:0002790~peptide secretion	3	16.666666666666664	0.0016156818747241045	RV3616C, RV3614C, RV3615C	10	14	1986	42.55714285714286	0.2680761348432621	0.05197110030362535	5.062469874135527
GOTERM_BP_FAT	GO:0032940~secretion by cell	3	16.666666666666664	0.0016156818747241045	RV3616C, RV3614C, RV3615C	10	14	1986	42.55714285714286	0.2680761348432621	0.05197110030362535	5.062469874135527
GOTERM_BP_FAT	GO:0046903~secretion	3	16.666666666666664	0.0016156818747241045	RV3616C, RV3614C, RV3615C	10	14	1986	42.55714285714286	0.2680761348432621	0.05197110030362535	5.062469874135527
GOTERM_BP_FAT	GO:0071806~protein transmembrane transport	3	16.666666666666664	0.0033260173851462032	RV3616C, RV3614C, RV3615C	10	20	1986	29.79	0.47428248230780734	0.09170305076188819	8.932732405821232
GOTERM_BP_FAT	GO:0008104~protein localization	3	16.666666666666664	0.008440284902438016	RV3616C, RV3614C, RV3615C	10	32	1986	18.61875	0.805220751577503	0.16289749861705372	15.86773561658347
GOTERM_BP_FAT	GO:0015031~protein transport	3	16.666666666666664	0.008440284902438016	RV3616C, RV3614C, RV3615C	10	32	1986	18.61875	0.805220751577503	0.16289749861705372	15.86773561658347
GOTERM_BP_FAT	GO:0045184~establishment of protein localization	3	16.666666666666664	0.008440284902438016	RV3616C, RV3614C, RV3615C	10	32	1986	18.61875	0.805220751577503	0.16289749861705372	15.86773561658347
GOTERM_BP_FAT	GO:0015833~peptide transport	3	16.666666666666664	0.011794485205538469	RV3616C, RV3614C, RV3615C	10	38	1986	15.678947368421053	0.8987199922853686	0.1896946370557437	18.478026822010264
GOTERM_BP_FAT	GO:0042886~amide transport	3	16.666666666666664	0.011794485205538469	RV3616C, RV3614C, RV3615C	10	38	1986	15.678947368421053	0.8987199922853686	0.1896946370557437	18.478026822010264
GOTERM_BP_FAT	GO:0071705~nitrogen compound transport	3	16.666666666666664	0.03463732409519802	RV3616C, RV3614C, RV3615C	10	67	1986	8.892537313432836	0.9988901425898129	0.5142310423364014	50.090899460747906
GOTERM_BP_FAT	GO:0055085~transmembrane transport	3	16.666666666666664	0.06546185734137316	RV3616C, RV3614C, RV3615C	10	95	1986	6.271578947368421	0.9999978854055293	0.9024384619203587	87.90592271555825
GOTERM_CC_FAT	GO:0005576~extracellular region	4	22.22222222222222	0.5130705038906425	RV3616C, RV1368, RV3614C, RV3615C	11	398	1514	1.3832800365463684	0.9968396974295826	1.0	100.0
Annotation Cluster 2	EnrichmentScore:0.32652198696387247
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0043436~oxoacid metabolic process	4	22.22222222222222	0.3185035516143221	RV1162, RV1872C, RV1188, RV3825C	10	439	1986	1.8095671981776766	1.0	1.0	97.91666666666666
GOTERM_BP_FAT	GO:0006082~organic acid metabolic process	4	22.22222222222222	0.3212808514156068	RV1162, RV1872C, RV1188, RV3825C	10	441	1986	1.801360544217687	1.0	1.0	97.91666666666666
KEGG_PATHWAY	mtu01100:Metabolic pathways	4	22.22222222222222	0.5317360436252752	RV1162, RV1872C, RV1188, RV2584C	5	695	1099	1.2650359712230217	0.9989175282488815	1.0	100.0
GOTERM_BP_FAT	GO:0019752~carboxylic acid metabolic process	3	16.666666666666664	0.5952879370403885	RV1872C, RV1188, RV3825C	10	418	1986	1.4253588516746412	1.0	1.0	97.91666666666666
GOTERM_MF_FAT	GO:0036094~small molecule binding	3	16.666666666666664	0.7193955742698361	RV1872C, RV1188, RV3825C	9	665	2314	1.1598997493734335	1.0	1.0	100.0
