Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0043043~peptide biosynthetic process	7	11.864406779661017	0.0062073014385737885	RV2448C, RV2794C, RV2056C, RV2055C, RV2058C, RV2057C, RV3924C	30	119	1986	3.8941176470588235	0.812685826090216	1.0	100.0
GOTERM_BP_FAT	GO:0006518~peptide metabolic process	7	11.864406779661017	0.008200926664405033	RV2448C, RV2794C, RV2056C, RV2055C, RV2058C, RV2057C, RV3924C	30	126	1986	3.677777777777778	0.8908622964937385	1.0	100.0
GOTERM_MF_FAT	GO:0003735~structural constituent of ribosome	5	8.47457627118644	0.013098382147353057	RV2056C, RV2055C, RV2058C, RV2057C, RV3924C	39	57	2314	5.204678362573099	0.9043362845218211	1.0	100.0
GOTERM_BP_FAT	GO:0043604~amide biosynthetic process	7	11.864406779661017	0.013533105974334436	RV2448C, RV2794C, RV2056C, RV2055C, RV2058C, RV2057C, RV3924C	30	140	1986	3.3099999999999996	0.9744025623651824	1.0	100.0
GOTERM_MF_FAT	GO:0005198~structural molecule activity	5	8.47457627118644	0.013904643401756504	RV2056C, RV2055C, RV2058C, RV2057C, RV3924C	39	58	2314	5.114942528735631	0.9172883564915021	1.0	100.0
GOTERM_BP_FAT	GO:0006412~translation	6	10.16949152542373	0.01613854694506738	RV2448C, RV2056C, RV2055C, RV2058C, RV2057C, RV3924C	30	105	1986	3.7828571428571434	0.9874330073862796	1.0	100.0
KEGG_PATHWAY	mtu03010:Ribosome	5	8.47457627118644	0.021306347420185133	RV2056C, RV2055C, RV2058C, RV2057C, RV3924C	21	61	1099	4.2896174863387975	0.5952709198561086	0.9161729390679607	91.61729390679608
GOTERM_BP_FAT	GO:0043603~cellular amide metabolic process	7	11.864406779661017	0.02702983303584257	RV2448C, RV2794C, RV2056C, RV2055C, RV2058C, RV2057C, RV3924C	30	163	1986	2.8429447852760736	0.9993708241950647	1.0	100.0
GOTERM_CC_FAT	GO:0005840~ribosome	5	8.47457627118644	0.02980455983559457	RV2056C, RV2055C, RV2058C, RV2057C, RV3924C	31	61	1514	4.003172924378635	0.4860710988152438	0.25534008910069256	24.373372141429744
GOTERM_BP_FAT	GO:1901566~organonitrogen compound biosynthetic process	12	20.33898305084746	0.03260031631185996	RV2448C, RV1296, RV0866, RV2794C, RV2056C, RV2055C, RV2058C, RV2057C, RV0438C, RV1338, RV3924C, RV1293	30	429	1986	1.8517482517482518	0.999865724078153	1.0	100.0
GOTERM_CC_FAT	GO:0030529~intracellular ribonucleoprotein complex	5	8.47457627118644	0.03309554735710679	RV2056C, RV2055C, RV2058C, RV2057C, RV3924C	31	63	1514	3.876088069636457	0.5230879189385085	0.25534008910069256	24.373372141429744
GOTERM_CC_FAT	GO:1990904~ribonucleoprotein complex	5	8.47457627118644	0.03481910305918535	RV2056C, RV2055C, RV2058C, RV2057C, RV3924C	31	64	1514	3.815524193548387	0.5414446245402738	0.25534008910069256	24.373372141429744
GOTERM_BP_FAT	GO:0034645~cellular macromolecule biosynthetic process	11	18.64406779661017	0.06151519320872671	RV2448C, RV2056C, RV2055C, RV2058C, RV1379, RV2057C, RV3911, RV1338, RV0949, RV3790, RV3924C	30	414	1986	1.7589371980676327	0.999999961723764	1.0	100.0
GOTERM_BP_FAT	GO:0010467~gene expression	10	16.94915254237288	0.06900749815290744	RV2448C, RV0198C, RV2056C, RV2055C, RV2058C, RV1379, RV2057C, RV0658C, RV3911, RV3924C	30	365	1986	1.8136986301369862	0.9999999955687803	1.0	100.0
GOTERM_MF_FAT	GO:0008237~metallopeptidase activity	3	5.084745762711865	0.0807707199406758	RV0198C, RV0658C, RV0838	39	29	2314	6.137931034482759	0.9999996913649853	1.0	100.0
GOTERM_CC_FAT	GO:0044391~ribosomal subunit	4	6.779661016949152	0.08455862144253432	RV2056C, RV2055C, RV2058C, RV2057C	31	53	1514	3.6859403530127812	0.856823462150338	0.4650724179339387	44.39327625733051
