Annotation Cluster 1	EnrichmentScore:1.0355807587415204
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu01110:Biosynthesis of secondary metabolites	12	16.216216216216218	0.023663955935483143	RV1445C, RV3684, RV0558, RV1447C, RV0242C, RV1563C, RV3754, RV1133C, RV0243, RV1074C, RV1659, RV3140	21	346	1099	1.815028901734104	0.5877364469525983	0.5763586174231154	57.63586174231155
KEGG_PATHWAY	mtu01200:Carbon metabolism	5	6.756756756756757	0.09212503418907575	RV1445C, RV3684, RV1447C, RV0243, RV1074C	21	97	1099	2.697594501718213	0.9720125384370697	0.7001502598369757	70.01502598369757
KEGG_PATHWAY	mtu01120:Microbial metabolism in diverse environments	6	8.108108108108109	0.35875066417674195	RV1106C, RV1445C, RV3684, RV1447C, RV0243, RV1074C	21	217	1099	1.4470046082949306	0.9999999275570134	1.0	100.0
Annotation Cluster 2	EnrichmentScore:0.9975108221882667
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006631~fatty acid metabolic process	8	10.81081081081081	0.016347531652566506	RV3800C, RV0119, RV0242C, RV0931C, RV0241C, RV2048C, RV1074C, RV0118C	40	139	1986	2.8575539568345323	0.9967185554104068	1.0	100.0
GOTERM_BP_FAT	GO:0044283~small molecule biosynthetic process	12	16.216216216216218	0.017438840294480677	RV3800C, RV3607C, RV0558, RV0242C, RV0423C, RV3754, RV0931C, RV1133C, RV0422C, RV0241C, RV2048C, RV1659	40	285	1986	2.090526315789474	0.9977675659239491	1.0	100.0
GOTERM_BP_FAT	GO:0019752~carboxylic acid metabolic process	14	18.91891891891892	0.04952665381812017	RV0242C, RV1596, RV0931C, RV3754, RV1414, RV1074C, RV2048C, RV0118C, RV1659, RV3607C, RV3800C, RV0119, RV1133C, RV0241C	40	418	1986	1.6629186602870814	0.999999977860894	1.0	100.0
GOTERM_BP_FAT	GO:0043436~oxoacid metabolic process	14	18.91891891891892	0.06977071373745247	RV0242C, RV1596, RV0931C, RV3754, RV1414, RV1074C, RV2048C, RV0118C, RV1659, RV3607C, RV3800C, RV0119, RV1133C, RV0241C	40	439	1986	1.5833712984054669	0.9999999999873895	1.0	100.0
GOTERM_BP_FAT	GO:0046394~carboxylic acid biosynthetic process	9	12.162162162162163	0.07169415423452127	RV3800C, RV3607C, RV0242C, RV3754, RV0931C, RV1133C, RV0241C, RV2048C, RV1659	40	229	1986	1.9513100436681223	0.9999999999938509	1.0	100.0
GOTERM_BP_FAT	GO:0016053~organic acid biosynthetic process	9	12.162162162162163	0.07169415423452127	RV3800C, RV3607C, RV0242C, RV3754, RV0931C, RV1133C, RV0241C, RV2048C, RV1659	40	229	1986	1.9513100436681223	0.9999999999938509	1.0	100.0
GOTERM_BP_FAT	GO:0006082~organic acid metabolic process	14	18.91891891891892	0.07195969086578555	RV0242C, RV1596, RV0931C, RV3754, RV1414, RV1074C, RV2048C, RV0118C, RV1659, RV3607C, RV3800C, RV0119, RV1133C, RV0241C	40	441	1986	1.576190476190476	0.9999999999944321	1.0	100.0
GOTERM_BP_FAT	GO:0006633~fatty acid biosynthetic process	5	6.756756756756757	0.0880801268257047	RV3800C, RV0242C, RV0931C, RV0241C, RV2048C	40	87	1986	2.853448275862069	0.9999999999999872	1.0	100.0
GOTERM_BP_FAT	GO:0032787~monocarboxylic acid metabolic process	8	10.81081081081081	0.09970641548363922	RV3800C, RV0119, RV0242C, RV0931C, RV0241C, RV2048C, RV1074C, RV0118C	40	205	1986	1.937560975609756	0.9999999999999999	1.0	100.0
GOTERM_MF_FAT	GO:0004312~fatty acid synthase activity	3	4.054054054054054	0.1028411591156811	RV3800C, RV0241C, RV2048C	48	27	2314	5.356481481481482	0.999999996338896	1.0	100.0
GOTERM_BP_FAT	GO:0072330~monocarboxylic acid biosynthetic process	5	6.756756756756757	0.1402564476849104	RV3800C, RV0242C, RV0931C, RV0241C, RV2048C	40	103	1986	2.4101941747572813	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0044255~cellular lipid metabolic process	8	10.81081081081081	0.229671154855226	RV3800C, RV0119, RV0242C, RV0931C, RV0241C, RV2048C, RV1074C, RV0118C	40	256	1986	1.5515625000000002	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups	5	6.756756756756757	0.23332019827713116	RV3800C, RV0243, RV0241C, RV2048C, RV1074C	48	122	2314	1.9757513661202188	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0006629~lipid metabolic process	9	12.162162162162163	0.3125191135903891	RV1106C, RV3800C, RV0119, RV0242C, RV0931C, RV0241C, RV2048C, RV1074C, RV0118C	40	329	1986	1.3582066869300913	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0016746~transferase activity, transferring acyl groups	5	6.756756756756757	0.3729536599620987	RV3800C, RV0243, RV0241C, RV2048C, RV1074C	48	152	2314	1.5858004385964912	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0008610~lipid biosynthetic process	6	8.108108108108109	0.38019556255565323	RV1106C, RV3800C, RV0242C, RV0931C, RV0241C, RV2048C	40	206	1986	1.4461165048543687	1.0	1.0	100.0
Annotation Cluster 3	EnrichmentScore:0.7812136589282805
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu01212:Fatty acid metabolism	4	5.405405405405405	0.06446963277786154	RV0242C, RV0243, RV1074C, RV3140	21	52	1099	4.0256410256410255	0.9150542018849483	0.7001502598369757	70.01502598369757
KEGG_PATHWAY	mtu00071:Fatty acid degradation	3	4.054054054054054	0.22982040232296252	RV0243, RV1074C, RV3140	21	50	1099	3.14	0.9999363344692914	1.0	100.0
KEGG_PATHWAY	mtu00280:Valine, leucine and isoleucine degradation	3	4.054054054054054	0.3059251954497706	RV0243, RV1074C, RV3140	21	61	1099	2.5737704918032787	0.9999986447096684	1.0	100.0
Annotation Cluster 4	EnrichmentScore:0.6541423719389294
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0009267~cellular response to starvation	3	4.054054054054054	0.1356785526344479	RV1860, RV0931C, RV0282	40	33	1986	4.513636363636364	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0031669~cellular response to nutrient levels	3	4.054054054054054	0.1356785526344479	RV1860, RV0931C, RV0282	40	33	1986	4.513636363636364	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0042594~response to starvation	3	4.054054054054054	0.14243804158433654	RV1860, RV0931C, RV0282	40	34	1986	4.3808823529411764	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0031667~response to nutrient levels	3	4.054054054054054	0.14927035538104588	RV1860, RV0931C, RV0282	40	35	1986	4.255714285714285	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0031668~cellular response to extracellular stimulus	3	4.054054054054054	0.23518510276110996	RV1860, RV0931C, RV0282	40	47	1986	3.1691489361702128	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0071496~cellular response to external stimulus	3	4.054054054054054	0.23518510276110996	RV1860, RV0931C, RV0282	40	47	1986	3.1691489361702128	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0009991~response to extracellular stimulus	3	4.054054054054054	0.24991386685993314	RV1860, RV0931C, RV0282	40	49	1986	3.039795918367347	1.0	1.0	100.0
