Annotation Cluster 1	EnrichmentScore:5.138054294741684
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0043565~sequence-specific DNA binding	19	11.046511627906977	6.339533120739828e-09	RV1395, RV3160C, RV2779C, RV1909C, RV3167C, RV2324, RV2358, RV3833, RV2359, RV3082C, RV2912C, RV0967, RV0328, RV1255C, RV1985C, RV2011C, RV0232, RV0452, RV3405C	95	90	2314	5.142222222222222	1.4200544152798145e-06	1.4200554190457215e-06	0.00014073763528042418
GOTERM_BP_FAT	GO:0010468~regulation of gene expression	27	15.69767441860465	1.9614200194607875e-08	RV3160C, RV2801C, RV2829C, RV0918, RV2912C, RV1960C, RV3418C, RV1364C, RV1255C, RV0232, RV0452, RV1909C, RV1287, RV3197A, RV3098A, RV3167C, RV2830C, RV2358, RV2359, RV3082C, RV0748, RV0967, RV0328, RV2011C, RV1985C, RV3223C, RV3405C	79	208	1986	3.2632667964946442	1.021894616615171e-05	5.9270323467840895e-06	0.0005699507112742473
GOTERM_BP_FAT	GO:0019219~regulation of nucleobase-containing compound metabolic process	25	14.534883720930234	2.275252340416157e-08	RV3160C, RV1908C, RV0918, RV2912C, RV1960C, RV3418C, RV1364C, RV1255C, RV0232, RV0452, RV1909C, RV1287, RV3197A, RV3167C, RV2358, RV2359, RV3082C, RV0748, RV1827, RV0967, RV0328, RV2011C, RV1985C, RV3223C, RV3405C	79	180	1986	3.4915611814345997	1.1853994578037153e-05	5.9270323467840895e-06	0.0005699507112742473
GOTERM_BP_FAT	GO:2000112~regulation of cellular macromolecule biosynthetic process	25	14.534883720930234	5.5112037971869496e-08	RV3160C, RV2829C, RV0918, RV2912C, RV1960C, RV3418C, RV1364C, RV1255C, RV0232, RV0452, RV1909C, RV1287, RV3197A, RV3167C, RV2830C, RV2358, RV2359, RV3082C, RV0748, RV0967, RV0328, RV2011C, RV1985C, RV3223C, RV3405C	79	188	1986	3.342984109884191	2.871296032957993e-05	7.98861529222999e-06	0.0007681950597710606
GOTERM_BP_FAT	GO:0010556~regulation of macromolecule biosynthetic process	25	14.534883720930234	6.133293890387709e-08	RV3160C, RV2829C, RV0918, RV2912C, RV1960C, RV3418C, RV1364C, RV1255C, RV0232, RV0452, RV1909C, RV1287, RV3197A, RV3167C, RV2830C, RV2358, RV2359, RV3082C, RV0748, RV0967, RV0328, RV2011C, RV1985C, RV3223C, RV3405C	79	189	1986	3.3252963632710473	3.195395163435588e-05	7.98861529222999e-06	0.0007681950597710606
GOTERM_BP_FAT	GO:1903506~regulation of nucleic acid-templated transcription	23	13.372093023255813	1.645218952395837e-07	RV3160C, RV1909C, RV3197A, RV1287, RV3167C, RV2358, RV2359, RV0918, RV3082C, RV2912C, RV0748, RV1960C, RV0967, RV3418C, RV0328, RV1364C, RV1255C, RV1985C, RV2011C, RV0232, RV0452, RV3223C, RV3405C	79	169	1986	3.4213167552992285	8.571224095588192e-05	1.3656575350237499e-05	0.0013132330615103621
GOTERM_BP_FAT	GO:0006355~regulation of transcription, DNA-templated	23	13.372093023255813	1.645218952395837e-07	RV3160C, RV1909C, RV3197A, RV1287, RV3167C, RV2358, RV2359, RV0918, RV3082C, RV2912C, RV0748, RV1960C, RV0967, RV3418C, RV0328, RV1364C, RV1255C, RV1985C, RV2011C, RV0232, RV0452, RV3223C, RV3405C	79	169	1986	3.4213167552992285	8.571224095588192e-05	1.3656575350237499e-05	0.0013132330615103621
GOTERM_BP_FAT	GO:2001141~regulation of RNA biosynthetic process	23	13.372093023255813	1.83485657296857e-07	RV3160C, RV1909C, RV3197A, RV1287, RV3167C, RV2358, RV2359, RV0918, RV3082C, RV2912C, RV0748, RV1960C, RV0967, RV3418C, RV0328, RV1364C, RV1255C, RV1985C, RV2011C, RV0232, RV0452, RV3223C, RV3405C	79	170	1986	3.4011913626209975	9.559146708615351e-05	1.3656575350237499e-05	0.0013132330615103621
GOTERM_MF_FAT	GO:0003700~transcription factor activity, sequence-specific DNA binding	19	11.046511627906977	2.0040465735702762e-07	RV1152, RV1395, RV3160C, RV1909C, RV1287, RV3167C, RV2358, RV3833, RV2359, RV3082C, RV2912C, RV0967, RV0328, RV1255C, RV1985C, RV2011C, RV0232, RV0452, RV3405C	95	111	2314	4.169369369369369	4.488964016635677e-05	1.9860122979144022e-05	0.001968280045254452
GOTERM_BP_FAT	GO:0051252~regulation of RNA metabolic process	23	13.372093023255813	2.276223986936285e-07	RV3160C, RV1909C, RV3197A, RV1287, RV3167C, RV2358, RV2359, RV0918, RV3082C, RV2912C, RV0748, RV1960C, RV0967, RV3418C, RV0328, RV1364C, RV1255C, RV1985C, RV2011C, RV0232, RV0452, RV3223C, RV3405C	79	172	1986	3.3616426258463346	0.00011858425155530927	1.4823908714922556e-05	0.0014254852718188485
