Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0040007~growth	10	11.627906976744185	8.828333613769422e-06	RV0596C, RV0626, RV1247C, RV1991C, RV1246C, RV2009, RV0609, RV0582, RV0581, RV0608	38	80	1986	6.532894736842105	0.0025921760340906763	0.0014409506948482363	0.14409506948482365
GOTERM_BP_FAT	GO:0040008~regulation of growth	10	11.627906976744185	9.802385679239703e-06	RV0596C, RV0626, RV1247C, RV1991C, RV1246C, RV2009, RV0609, RV0582, RV0581, RV0608	38	81	1986	6.45224171539961	0.0028777667824242403	0.0014409506948482363	0.14409506948482365
GOTERM_MF_FAT	GO:0004519~endonuclease activity	8	9.30232558139535	3.0897473228628205e-05	RV0627, RV2823C, RV1991C, RV1246C, RV2464C, RV1008, RV2824C, RV2528C	42	54	2314	8.16225749559083	0.004100995282691033	0.003716111301478924	0.37161113014789243
GOTERM_MF_FAT	GO:0004518~nuclease activity	11	12.790697674418606	5.5881372954570285e-05	RV0627, RV2823C, RV1991C, RV1246C, RV2464C, RV0960, RV1008, RV0609, RV0582, RV2824C, RV2528C	42	130	2314	4.661904761904762	0.007404878064427911	0.003716111301478924	0.37161113014789243
GOTERM_BP_FAT	GO:0045927~positive regulation of growth	7	8.13953488372093	8.854306878612419e-05	RV0596C, RV0626, RV1247C, RV1991C, RV2009, RV0581, RV0608	38	42	1986	8.710526315789473	0.025696882431768153	0.00867722074104017	0.8677220741040169
GOTERM_BP_FAT	GO:0006952~defense response	4	4.651162790697675	0.011526306498166841	RV2416C, RV2823C, RV2824C, RV2528C	38	26	1986	8.040485829959513	0.9669063972208133	0.8471835276152628	84.71835276152629
GOTERM_MF_FAT	GO:0004520~endodeoxyribonuclease activity	3	3.488372093023256	0.027801871243187868	RV2464C, RV1008, RV2528C	42	15	2314	11.019047619047619	0.9764827871319072	1.0	100.0
GOTERM_BP_FAT	GO:0045926~negative regulation of growth	4	4.651162790697675	0.03432895438244714	RV1991C, RV1246C, RV0609, RV0582	38	39	1986	5.360323886639676	0.9999653432610098	1.0	100.0
GOTERM_MF_FAT	GO:0004540~ribonuclease activity	5	5.813953488372093	0.03826488012066878	RV0627, RV1991C, RV0960, RV0609, RV0582	42	73	2314	3.773646444879321	0.9944232875842042	1.0	100.0
GOTERM_MF_FAT	GO:0097351~toxin-antitoxin pair type II binding	3	3.488372093023256	0.03918107246937075	RV0596C, RV0626, RV1247C	42	18	2314	9.182539682539682	0.9950872334825103	1.0	100.0
GOTERM_MF_FAT	GO:0004536~deoxyribonuclease activity	3	3.488372093023256	0.061299300371797594	RV2464C, RV1008, RV2528C	42	23	2314	7.186335403726708	0.9997781242561132	1.0	100.0
