Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0004803~transposase activity	5	6.493506493506493	0.0013609823696858825	RV2512C, RV3023C, RV1047, RV1199C, RV3115	52	23	2314	9.673913043478262	0.22694174162992486	0.2572256678706318	25.72256678706318
GOTERM_BP_FAT	GO:0006313~transposition, DNA-mediated	5	6.493506493506493	0.0019081236397173963	RV2512C, RV3023C, RV1047, RV1199C, RV3115	47	24	1986	8.803191489361701	0.5095392468639468	0.7117301176145888	71.17301176145888
GOTERM_BP_FAT	GO:0032196~transposition	5	6.493506493506493	0.0056381648007633855	RV2512C, RV3023C, RV1047, RV1199C, RV3115	47	32	1986	6.602393617021277	0.8786390941754616	1.0	100.0
COG_ONTOLOGY	DNA replication, recombination, and repair	5	6.493506493506493	0.02536013817113973	RV2512C, RV3023C, RV1047, RV1199C, RV3115	21	46	782	4.0476190476190474	0.2652661722167874	0.27896151988253703	27.896151988253703
GOTERM_BP_FAT	GO:0009110~vitamin biosynthetic process	5	6.493506493506493	0.030300283389711316	RV2072C, RV2071C, RV2671, RV0534C, RV1589	47	52	1986	4.063011456628478	0.9999896318512023	1.0	100.0
GOTERM_MF_FAT	GO:0003676~nucleic acid binding	17	22.07792207792208	0.043679216566446646	RV1080C, RV2559C, RV2512C, RV3023C, RV1298, RV2555C, RV1047, RV3115, RV0844C, RV3208, RV1711, RV0602C, RV1719, RV1199C, RV2550C, RV3579C, RV3183	52	475	2314	1.5926315789473684	0.9997841861476102	1.0	100.0
GOTERM_BP_FAT	GO:0006766~vitamin metabolic process	5	6.493506493506493	0.04530538405407807	RV2072C, RV2071C, RV2671, RV0534C, RV1589	47	59	1986	3.580959249909845	0.9999999691362597	1.0	100.0
GOTERM_MF_FAT	GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	4	5.194805194805195	0.04952712816023642	RV1849, RV2363, RV1170, RV1716	52	38	2314	4.684210526315789	0.9999322969574321	1.0	100.0
GOTERM_BP_FAT	GO:0006310~DNA recombination	5	6.493506493506493	0.050241257494781595	RV2512C, RV3023C, RV1047, RV1199C, RV3115	47	61	1986	3.463550749912801	0.9999999955356229	1.0	100.0
GOTERM_MF_FAT	GO:0003677~DNA binding	13	16.883116883116884	0.05204353585680062	RV1080C, RV2559C, RV2512C, RV3023C, RV1047, RV3115, RV0844C, RV3208, RV0602C, RV1719, RV1199C, RV2550C, RV3183	52	332	2314	1.7424698795180724	0.9999589790078139	1.0	100.0
GOTERM_BP_FAT	GO:0016070~RNA metabolic process	11	14.285714285714285	0.09848081838776813	RV1080C, RV3580C, RV1719, RV2554C, RV2555C, RV2550C, RV0844C, RV3208, RV1711, RV3579C, RV0616A	47	278	1986	1.6719730598499922	1.0	1.0	100.0
