Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu00920:Sulfur metabolism	3	4.918032786885246	0.01562780024280362	RV2391, RV2392, RV3283	11	22	1099	13.62396694214876	0.19789585527932518	0.2344170036420543	23.44170036420543
GOTERM_MF_FAT	GO:0000988~transcription factor activity, protein binding	3	4.918032786885246	0.030003881744009656	RV3286C, RV3287C, RV3221A	30	22	2314	10.51818181818182	0.9846011072703708	1.0	100.0
GOTERM_MF_FAT	GO:0016667~oxidoreductase activity, acting on a sulfur group of donors	3	4.918032786885246	0.035300547939695726	RV3053C, RV2391, RV2392	30	24	2314	9.641666666666667	0.9927270874876782	1.0	100.0
GOTERM_BP_FAT	GO:0006464~cellular protein modification process	4	6.557377049180328	0.04147069046344157	RV0410C, RV3052C, RV1266C, RV2224C	25	65	1986	4.888615384615385	0.9999953701687663	1.0	100.0
GOTERM_BP_FAT	GO:0036211~protein modification process	4	6.557377049180328	0.04147069046344157	RV0410C, RV3052C, RV1266C, RV2224C	25	65	1986	4.888615384615385	0.9999953701687663	1.0	100.0
GOTERM_MF_FAT	GO:0016989~sigma factor antagonist activity	2	3.278688524590164	0.049226446609173205	RV3287C, RV3221A	30	4	2314	38.56666666666666	0.9990078856472824	1.0	100.0
GOTERM_MF_FAT	GO:0004672~protein kinase activity	3	4.918032786885246	0.053130177774183766	RV0410C, RV0758, RV1266C	30	30	2314	7.713333333333334	0.9994353650968898	1.0	100.0
GOTERM_BP_FAT	GO:0009605~response to external stimulus	6	9.836065573770492	0.05482855319857343	RV0410C, RV0550C, RV3286C, RV1266C, RV0549C, RV2224C	25	176	1986	2.708181818181818	0.9999999209190163	1.0	100.0
GOTERM_BP_FAT	GO:0075136~response to host	5	8.19672131147541	0.0671095315071763	RV0410C, RV0550C, RV1266C, RV0549C, RV2224C	25	130	1986	3.0553846153846154	0.9999999982180718	1.0	100.0
GOTERM_MF_FAT	GO:0051540~metal cluster binding	4	6.557377049180328	0.06749798289669529	RV1110, RV3221A, RV2391, RV2392	30	76	2314	4.059649122807017	0.9999304943918864	1.0	100.0
GOTERM_MF_FAT	GO:0051536~iron-sulfur cluster binding	4	6.557377049180328	0.06749798289669529	RV1110, RV3221A, RV2391, RV2392	30	76	2314	4.059649122807017	0.9999304943918864	1.0	100.0
GOTERM_BP_FAT	GO:0000103~sulfate assimilation	2	3.278688524590164	0.07043801597501755	RV2391, RV2392	25	6	1986	26.48	0.9999999993679918	1.0	100.0
GOTERM_BP_FAT	GO:0009607~response to biotic stimulus	5	8.19672131147541	0.08178632911196686	RV0410C, RV0550C, RV1266C, RV0549C, RV2224C	25	139	1986	2.8575539568345323	0.9999999999820656	1.0	100.0
GOTERM_BP_FAT	GO:0043207~response to external biotic stimulus	5	8.19672131147541	0.08178632911196686	RV0410C, RV0550C, RV1266C, RV0549C, RV2224C	25	139	1986	2.8575539568345323	0.9999999999820656	1.0	100.0
GOTERM_BP_FAT	GO:0051707~response to other organism	5	8.19672131147541	0.08178632911196686	RV0410C, RV0550C, RV1266C, RV0549C, RV2224C	25	139	1986	2.8575539568345323	0.9999999999820656	1.0	100.0
COG_ONTOLOGY	Inorganic ion transport and metabolism	3	4.918032786885246	0.08454599719021418	RV2391, RV3283, RV2393	9	49	782	5.319727891156463	0.46116512630763984	0.5072759831412851	50.72759831412851
