Annotation Cluster 1	EnrichmentScore:2.0081458047279783
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0061783~peptidoglycan muralytic activity	4	5.47945205479452	0.0003208518461909797	RV2525C, RV1477, RV3811, RV3717	39	9	2314	26.37037037037037	0.051267263177938394	0.052619702775320666	5.2619702775320665
GOTERM_MF_FAT	GO:0008745~N-acetylmuramoyl-L-alanine amidase activity	3	4.10958904109589	0.0025460353688893616	RV1477, RV3811, RV3717	39	5	2314	35.6	0.3416919214397648	0.20877490024892764	20.877490024892765
GOTERM_MF_FAT	GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	4	5.47945205479452	0.08892185004425246	RV1477, RV3811, RV3315C, RV3717	39	65	2314	3.651282051282051	0.9999997671246483	1.0	100.0
GOTERM_MF_FAT	GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	3	4.10958904109589	0.1277142379326941	RV1477, RV3811, RV3717	39	38	2314	4.684210526315789	0.9999999998146295	1.0	100.0
Annotation Cluster 2	EnrichmentScore:1.2662094079970199
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu01120:Microbial metabolism in diverse environments	10	13.698630136986301	0.0021633212840646227	RV0363C, RV3068C, RV0896, RV2983, RV0632C, RV1731, RV3316, RV1436, RV3318, RV3317	18	217	1099	2.813620071684588	0.09677739452818612	0.10383942163510189	10.38394216351019
KEGG_PATHWAY	mtu00650:Butanoate metabolism	5	6.8493150684931505	0.008765924541192464	RV0632C, RV1731, RV3316, RV3318, RV3317	18	56	1099	5.451388888888889	0.33887665296697067	0.14026816133869852	14.026816133869852
KEGG_PATHWAY	mtu00020:Citrate cycle (TCA cycle)	4	5.47945205479452	0.008766760083668657	RV0896, RV3316, RV3318, RV3317	18	29	1099	8.421455938697317	0.3389028447003911	0.14026816133869852	14.026816133869852
GOTERM_BP_FAT	GO:0006099~tricarboxylic acid cycle	4	5.47945205479452	0.010327668809313763	RV0896, RV1731, RV3316, RV3318	38	25	1986	8.362105263157893	0.980241224763756	1.0	100.0
GOTERM_BP_FAT	GO:0006101~citrate metabolic process	4	5.47945205479452	0.010327668809313763	RV0896, RV1731, RV3316, RV3318	38	25	1986	8.362105263157893	0.980241224763756	1.0	100.0
GOTERM_BP_FAT	GO:0006091~generation of precursor metabolites and energy	6	8.21917808219178	0.012670385461547121	RV0363C, RV0896, RV1731, RV3316, RV1436, RV3318	38	77	1986	4.072453861927546	0.9919332634239516	1.0	100.0
KEGG_PATHWAY	mtu01200:Carbon metabolism	6	8.21917808219178	0.012691871240257155	RV0363C, RV0896, RV3316, RV1436, RV3318, RV3317	18	97	1099	3.776632302405498	0.4513725967886456	0.15230245488308586	15.230245488308586
GOTERM_BP_FAT	GO:0072350~tricarboxylic acid metabolic process	4	5.47945205479452	0.017101881904479397	RV0896, RV1731, RV3316, RV3318	38	30	1986	6.968421052631578	0.9985269606759392	1.0	100.0
GOTERM_BP_FAT	GO:0009060~aerobic respiration	4	5.47945205479452	0.023953131139379406	RV0896, RV1731, RV3316, RV3318	38	34	1986	6.14860681114551	0.9998953078215962	1.0	100.0
GOTERM_BP_FAT	GO:0045333~cellular respiration	4	5.47945205479452	0.07043405933141701	RV0896, RV1731, RV3316, RV3318	38	52	1986	4.0202429149797565	0.9999999999989769	1.0	100.0
KEGG_PATHWAY	mtu01100:Metabolic pathways	15	20.54794520547945	0.07717868831920793	RV3330, RV3310, RV0363C, RV3068C, RV2983, RV0632C, RV3316, RV1731, RV1436, RV3318, RV3317, RV0129C, RV0896, RV3315C, RV3624C	18	695	1099	1.3177458033573142	0.9770634585395896	0.6809628131649222	68.09628131649222
GOTERM_BP_FAT	GO:0015980~energy derivation by oxidation of organic compounds	4	5.47945205479452	0.11025682211949404	RV0896, RV1731, RV3316, RV3318	38	63	1986	3.318295739348371	1.0	1.0	100.0
KEGG_PATHWAY	mtu01110:Biosynthesis of secondary metabolites	9	12.32876712328767	0.13029553570481156	RV0363C, RV3068C, RV0896, RV0632C, RV3316, RV1436, RV3318, RV3317, RV3624C	18	346	1099	1.588150289017341	0.9985859333813742	0.8934551019758507	89.34551019758507
KEGG_PATHWAY	mtu00190:Oxidative phosphorylation	3	4.10958904109589	0.16771600462622824	RV3316, RV3318, RV3317	18	48	1099	3.815972222222222	0.9998210372945213	0.914161766054455	91.4161766054455
GOTERM_BP_FAT	GO:0055114~oxidation-reduction process	4	5.47945205479452	0.2847871389275717	RV0896, RV1731, RV3316, RV3318	38	100	1986	2.0905263157894733	1.0	1.0	100.0
KEGG_PATHWAY	mtu01230:Biosynthesis of amino acids	3	4.10958904109589	0.5253728250860991	RV0363C, RV0896, RV1436	18	111	1099	1.65015015015015	0.9999999999999993	1.0	100.0
GOTERM_BP_FAT	GO:0019752~carboxylic acid metabolic process	8	10.95890410958904	0.6895826181335222	RV0363C, RV0896, RV2983, RV1059, RV1731, RV3316, RV1436, RV3318	38	418	1986	1.0002518257365902	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0043436~oxoacid metabolic process	8	10.95890410958904	0.7421917701783576	RV0363C, RV0896, RV2983, RV1059, RV1731, RV3316, RV1436, RV3318	38	439	1986	0.9524037885145665	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0006082~organic acid metabolic process	8	10.95890410958904	0.7468906896768268	RV0363C, RV0896, RV2983, RV1059, RV1731, RV3316, RV1436, RV3318	38	441	1986	0.9480844969566773	1.0	1.0	100.0
Annotation Cluster 3	EnrichmentScore:1.0052003269749148
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:1901136~carbohydrate derivative catabolic process	3	4.10958904109589	0.08298223614878547	RV3811, RV3315C, RV3717	38	26	1986	6.030364372469635	0.999999999999994	1.0	100.0
GOTERM_MF_FAT	GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	4	5.47945205479452	0.08892185004425246	RV1477, RV3811, RV3315C, RV3717	39	65	2314	3.651282051282051	0.9999997671246483	1.0	100.0
GOTERM_BP_FAT	GO:1901565~organonitrogen compound catabolic process	4	5.47945205479452	0.13073907128963286	RV3310, RV3811, RV3315C, RV3717	38	68	1986	3.074303405572755	1.0	1.0	100.0
Annotation Cluster 4	EnrichmentScore:0.9259069555310426
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0071555~cell wall organization	5	6.8493150684931505	0.02772011803571873	RV2525C, RV3330, RV1477, RV1478, RV3717	38	63	1986	4.147869674185464	0.9999757276824011	1.0	100.0
GOTERM_BP_FAT	GO:0045229~external encapsulating structure organization	5	6.8493150684931505	0.03547363638661188	RV2525C, RV3330, RV1477, RV1478, RV3717	38	68	1986	3.842879256965944	0.9999988231235781	1.0	100.0
GOTERM_BP_FAT	GO:0071554~cell wall organization or biogenesis	6	8.21917808219178	0.06840547256132037	RV2525C, RV3330, RV1477, RV1478, RV0129C, RV3717	38	120	1986	2.6131578947368417	0.9999999999976678	1.0	100.0
GOTERM_BP_FAT	GO:0044036~cell wall macromolecule metabolic process	3	4.10958904109589	0.273400740535726	RV2525C, RV3330, RV3717	38	55	1986	2.8507177033492823	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0070011~peptidase activity, acting on L-amino acid peptides	3	4.10958904109589	0.36883340121102587	RV3330, RV1477, RV1478	39	78	2314	2.2820512820512824	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0008233~peptidase activity	3	4.10958904109589	0.41033324433317225	RV3330, RV1477, RV1478	39	85	2314	2.0941176470588236	1.0	1.0	100.0
Annotation Cluster 5	EnrichmentScore:0.7588744069963465
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0000270~peptidoglycan metabolic process	3	4.10958904109589	0.16978986992908116	RV3330, RV3811, RV3717	38	40	1986	3.9197368421052627	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0030203~glycosaminoglycan metabolic process	3	4.10958904109589	0.17649503864837834	RV3330, RV3811, RV3717	38	41	1986	3.824133504492939	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0006022~aminoglycan metabolic process	3	4.10958904109589	0.17649503864837834	RV3330, RV3811, RV3717	38	41	1986	3.824133504492939	1.0	1.0	100.0
Annotation Cluster 6	EnrichmentScore:0.6787301331479466
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0009116~nucleoside metabolic process	3	4.10958904109589	0.18324416155800624	RV2293C, RV3315C, RV3624C	38	42	1986	3.733082706766917	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0055086~nucleobase-containing small molecule metabolic process	6	8.21917808219178	0.1884806421420304	RV3310, RV2293C, RV0363C, RV1436, RV3315C, RV3624C	38	165	1986	1.9004784688995213	1.0	1.0	100.0
GOTERM_BP_FAT	GO:1901657~glycosyl compound metabolic process	3	4.10958904109589	0.26638680044287955	RV2293C, RV3315C, RV3624C	38	54	1986	2.9035087719298245	1.0	1.0	100.0
Annotation Cluster 7	EnrichmentScore:0.44916589455861017
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0000287~magnesium ion binding	5	6.8493150684931505	0.30756773195203563	RV3068C, RV0598C, RV3320C, RV2594C, RV3624C	39	171	2314	1.7348927875243665	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0046872~metal ion binding	12	16.43835616438356	0.3329180784860747	RV0363C, RV3068C, RV0598C, RV3320C, RV3811, RV2594C, RV3316, RV0505C, RV3317, RV3315C, RV3624C, RV3717	39	574	2314	1.240418118466899	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043169~cation binding	12	16.43835616438356	0.3421814418416014	RV0363C, RV3068C, RV0598C, RV3320C, RV3811, RV2594C, RV3316, RV0505C, RV3317, RV3315C, RV3624C, RV3717	39	578	2314	1.231833910034602	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043167~ion binding	19	26.027397260273972	0.4558288621712637	RV0363C, RV3068C, RV2983, RV0598C, RV3320C, RV1279, RV1697, RV3316, RV3811, RV0505C, RV3318, RV3317, RV2748C, RV1626, RV3717, RV2594C, RV3315C, RV3624C, RV0063	39	1046	2314	1.0777565328234544	1.0	1.0	100.0
Annotation Cluster 8	EnrichmentScore:0.427731579319676
