Gene Cluster 1	EnrichmentScore: 0.9645466593260739
LOCUS_TAG	Gene Name
Rv0710	30S ribosomal protein S17(rpsQ)
Rv0714	50S ribosomal protein L14(rplN)
Rv0702	50S ribosomal protein L4(rplD)
Rv0723	50S ribosomal protein L15(rplO)
Gene Cluster 2	EnrichmentScore: 0.7181850963938181
LOCUS_TAG	Gene Name
Rv2593c	Holliday junction ATP-dependent DNA helicase RuvA(ruvA)
Rv1329c	ATP-dependent helicase DinG(dinG)
Rv2973c	ATP-dependent DNA helicase RecG(recG)
Rv2592c	Holliday junction ATP-dependent DNA helicase RuvB(ruvB)
Gene Cluster 3	EnrichmentScore: 0.4416978712328764
LOCUS_TAG	Gene Name
Rv2273	transmembrane protein(Rv2273)
Rv3807c	decaprenylphosphoryl-5-phosphoribose phosphatase(Rv3807c)
Rv2113	integral membrane protein(Rv2113)
Rv0513	transmembrane protein(Rv0513)
Rv0235c	transmembrane protein(Rv0235c)
Rv1836c	hypothetical protein(Rv1836c)
Rv0879c	transmembrane protein(Rv0879c)
Rv0085	hydrogenase HycP(hycP)
Rv3604c	transmembrane protein(Rv3604c)
Rv3835	hypothetical protein(Rv3835)
Rv3578	arsenic transport integral membrane protein ArsB(arsB2)
Rv0086	hydrogenase HycQ(hycQ)
Rv0954	transmembrane protein(Rv0954)
Rv3882c	ESX-1 secretion system protein EccE1(eccE1)
Rv0955	integral membrane protein(Rv0955)
Rv0529	cytochrome C-type biogenesis protein CcsA(ccsA)
Rv0545c	low-affinity inorganic phosphate transporter(pitA)
Rv1320c	adenylate cyclase(Rv1320c)
Rv0394c	hypothetical protein(Rv0394c)
Rv2083	hypothetical protein(Rv2083)
Rv0528	transmembrane protein(Rv0528)
Rv2836c	DNA-damage-inducible protein DinF(dinF)
Rv3207c	hypothetical protein(Rv3207c)
Rv0544c	transmembrane protein(Rv0544c)
Rv0541c	integral membrane protein(Rv0541c)
Rv0514	transmembrane protein(Rv0514)
Rv0236c	alpha-(1->3)-arabinofuranosyltransferase(aftD)
Rv0556	transmembrane protein(Rv0556)
Rv0176	Mce associated transmembrane protein(Rv0176)
Rv0527	cytochrome C-type biogenesis protein CcdA(ccdA)
Rv1610	membrane protein(Rv1610)
