Annotation Cluster 1	EnrichmentScore:2.0513925387967498
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0009073~aromatic amino acid family biosynthetic process	6	3.314917127071823	0.0019335541144208826	RV2192C, RV2178C, RV1611, RV1612, RV0948C, RV1603	107	18	1986	6.186915887850467	0.7217725911992847	0.2690542461856012	26.82401637463104
GOTERM_BP_FAT	GO:0009072~aromatic amino acid family metabolic process	6	3.314917127071823	0.002513957540124828	RV2192C, RV2178C, RV1611, RV1612, RV0948C, RV1603	107	19	1986	5.861288735858338	0.8105856234867668	0.2690542461856012	26.82401637463104
KEGG_PATHWAY	mtu00400:Phenylalanine, tyrosine and tryptophan biosynthesis	6	3.314917127071823	0.005241287563791871	RV2192C, RV2178C, RV1611, RV1612, RV0948C, RV1603	71	19	1099	4.888065233506301	0.27043315045494143	0.3197185413913041	31.97185413913041
GOTERM_BP_FAT	GO:0000162~tryptophan biosynthetic process	4	2.209944751381215	0.006800829079742059	RV2192C, RV1611, RV1612, RV1603	107	8	1986	9.2803738317757	0.9890092770380402	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0042435~indole-containing compound biosynthetic process	4	2.209944751381215	0.006800829079742059	RV2192C, RV1611, RV1612, RV1603	107	8	1986	9.2803738317757	0.9890092770380402	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0046219~indolalkylamine biosynthetic process	4	2.209944751381215	0.006800829079742059	RV2192C, RV1611, RV1612, RV1603	107	8	1986	9.2803738317757	0.9890092770380402	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0006568~tryptophan metabolic process	4	2.209944751381215	0.009808536562629975	RV2192C, RV1611, RV1612, RV1603	107	9	1986	8.249221183800621	0.9985196084570166	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0006586~indolalkylamine metabolic process	4	2.209944751381215	0.009808536562629975	RV2192C, RV1611, RV1612, RV1603	107	9	1986	8.249221183800621	0.9985196084570166	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0042401~cellular biogenic amine biosynthetic process	4	2.209944751381215	0.009808536562629975	RV2192C, RV1611, RV1612, RV1603	107	9	1986	8.249221183800621	0.9985196084570166	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0042430~indole-containing compound metabolic process	4	2.209944751381215	0.009808536562629975	RV2192C, RV1611, RV1612, RV1603	107	9	1986	8.249221183800621	0.9985196084570166	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0009309~amine biosynthetic process	4	2.209944751381215	0.009808536562629975	RV2192C, RV1611, RV1612, RV1603	107	9	1986	8.249221183800621	0.9985196084570166	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0006576~cellular biogenic amine metabolic process	4	2.209944751381215	0.017817258973108287	RV2192C, RV1611, RV1612, RV1603	107	11	1986	6.749362786745963	0.9999930958653637	0.40611062693877853	40.48818504578745
GOTERM_BP_FAT	GO:0044106~cellular amine metabolic process	4	2.209944751381215	0.03498151483865582	RV2192C, RV1611, RV1612, RV1603	107	14	1986	5.303070761014686	0.9999999999400135	0.47031434309979314	46.88913042401871
GOTERM_BP_FAT	GO:0009308~amine metabolic process	4	2.209944751381215	0.042069372824038165	RV2192C, RV1611, RV1612, RV1603	107	15	1986	4.949532710280373	0.999999999999541	0.5246765176733816	52.308899417058775
Annotation Cluster 2	EnrichmentScore:1.651414847866587
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0016051~carbohydrate biosynthetic process	11	6.077348066298343	0.0009747798223876728	RV3032, RV1018C, RV0236C, RV3265C, RV1099C, RV3809C, RV3808C, RV3807C, RV1604, RV3031, RV3372	107	60	1986	3.4028037383177567	0.4751504907379335	0.2690542461856012	26.82401637463104
GOTERM_BP_FAT	GO:0034637~cellular carbohydrate biosynthetic process	9	4.972375690607735	0.0013068614090851168	RV3032, RV0236C, RV3265C, RV3809C, RV3808C, RV3807C, RV1604, RV3031, RV3372	107	42	1986	3.9773030707610144	0.5786958839786085	0.2690542461856012	26.82401637463104
GOTERM_BP_FAT	GO:0005975~carbohydrate metabolic process	18	9.94475138121547	0.002849288537517713	RV1240, RV3032, RV0236C, RV3332, RV1023, RV3265C, RV3401, RV1099C, RV1604, RV3308, RV1018C, RV0237, RV3809C, RV3234C, RV3808C, RV3807C, RV3372, RV3031	107	156	1986	2.141624730409777	0.8483330039660614	0.2690542461856012	26.82401637463104
GOTERM_BP_FAT	GO:0033692~cellular polysaccharide biosynthetic process	7	3.867403314917127	0.006826552969404109	RV3032, RV0236C, RV3265C, RV3809C, RV3808C, RV3807C, RV3031	107	33	1986	3.9371282922684787	0.9891958382465847	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0000271~polysaccharide biosynthetic process	7	3.867403314917127	0.01369649504067139	RV3032, RV0236C, RV3265C, RV3809C, RV3808C, RV3807C, RV3031	107	38	1986	3.4190850959173633	0.9998901016852413	0.40611062693877853	40.48818504578745
GOTERM_BP_FAT	GO:0044262~cellular carbohydrate metabolic process	11	6.077348066298343	0.015329695070295319	RV3032, RV0236C, RV3265C, RV1099C, RV3809C, RV3234C, RV3808C, RV3807C, RV1604, RV3031, RV3372	107	87	1986	2.346761198839832	0.9999632509718246	0.40611062693877853	40.48818504578745
GOTERM_BP_FAT	GO:0044264~cellular polysaccharide metabolic process	7	3.867403314917127	0.01550107446125424	RV3032, RV0236C, RV3265C, RV3809C, RV3808C, RV3807C, RV3031	107	39	1986	3.3314162473040976	0.9999672449751739	0.40611062693877853	40.48818504578745
GOTERM_BP_FAT	GO:0044723~single-organism carbohydrate metabolic process	13	7.18232044198895	0.023108730831662712	RV3032, RV0236C, RV1023, RV3265C, RV1099C, RV1604, RV1018C, RV3809C, RV3234C, RV3808C, RV3807C, RV3372, RV3031	107	120	1986	2.0107476635514017	0.9999998057518807	0.4250538102423834	42.37677170192597
GOTERM_BP_FAT	GO:0005976~polysaccharide metabolic process	7	3.867403314917127	0.02702775762275253	RV3032, RV0236C, RV3265C, RV3809C, RV3808C, RV3807C, RV3031	107	44	1986	2.952846219201359	0.9999999863730757	0.4250538102423834	42.37677170192597
GOTERM_BP_FAT	GO:0045226~extracellular polysaccharide biosynthetic process	5	2.7624309392265194	0.030958535155440225	RV0236C, RV3265C, RV3809C, RV3808C, RV3807C	107	23	1986	4.034945144250305	0.9999999990617892	0.43539556888821257	43.407818441351296
GOTERM_BP_FAT	GO:0046379~extracellular polysaccharide metabolic process	5	2.7624309392265194	0.030958535155440225	RV0236C, RV3265C, RV3809C, RV3808C, RV3807C	107	23	1986	4.034945144250305	0.9999999990617892	0.43539556888821257	43.407818441351296
GOTERM_BP_FAT	GO:0045227~capsule polysaccharide biosynthetic process	4	2.209944751381215	0.06723202217406749	RV0236C, RV3809C, RV3808C, RV3807C	107	18	1986	4.124610591900311	1.0	0.634862380815123	63.29414658958639
GOTERM_BP_FAT	GO:0045230~capsule organization	4	2.209944751381215	0.06723202217406749	RV0236C, RV3809C, RV3808C, RV3807C	107	18	1986	4.124610591900311	1.0	0.634862380815123	63.29414658958639
GOTERM_MF_FAT	GO:0016757~transferase activity, transferring glycosyl groups	8	4.41988950276243	0.09956207542461923	RV2192C, RV3032, RV1022, RV3265C, RV0225, RV3808C, RV3031, RV2739C	129	72	2314	1.9931093884582258	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0008194~UDP-glycosyltransferase activity	3	1.6574585635359116	0.12045588332288769	RV3032, RV3808C, RV2739C	129	11	2314	4.892177589852009	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0016758~transferase activity, transferring hexosyl groups	5	2.7624309392265194	0.1447543596123034	RV3032, RV3265C, RV3808C, RV3031, RV2739C	129	37	2314	2.42405195893568	1.0	1.0	100.0
KEGG_PATHWAY	mtu00572:Arabinogalactan biosynthesis - Mycobacterium	3	1.6574585635359116	0.22259529930823094	RV0236C, RV3265C, RV3808C	71	14	1099	3.316901408450704	0.9999997253182917	1.0	100.0
Annotation Cluster 3	EnrichmentScore:1.5003654787951495
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0008652~cellular amino acid biosynthetic process	15	8.287292817679557	0.002663191920671222	RV1295, RV1383, RV0189C, RV2763C, RV2335, RV2178C, RV1611, RV0858C, RV1612, RV0948C, RV1559, RV1603, RV2192C, RV3509C, RV3708C	107	116	1986	2.4000966806316466	0.8284221417017152	0.2690542461856012	26.82401637463104
GOTERM_BP_FAT	GO:1901607~alpha-amino acid biosynthetic process	13	7.18232044198895	0.007814295683811938	RV1295, RV1383, RV0189C, RV2763C, RV2335, RV1611, RV0858C, RV1612, RV1559, RV1603, RV2192C, RV3509C, RV3708C	107	104	1986	2.320093457943925	0.994403067481429	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0044283~small molecule biosynthetic process	25	13.812154696132598	0.012196413054845708	RV1295, RV2447C, RV0189C, RV2178C, RV1611, RV0858C, RV1612, RV1559, RV3509C, RV0130, RV0015C, RV1383, RV1484, RV2763C, RV2335, RV1099C, RV0548C, RV0948C, RV1603, RV2935, RV1604, RV2848C, RV2192C, RV0466, RV3708C	107	285	1986	1.6281357599606492	0.9996999001061682	0.40611062693877853	40.48818504578745
GOTERM_BP_FAT	GO:0046394~carboxylic acid biosynthetic process	21	11.602209944751381	0.01544916199543264	RV1295, RV1383, RV0015C, RV2447C, RV1484, RV0189C, RV2763C, RV2335, RV2178C, RV1611, RV0858C, RV1612, RV0948C, RV1559, RV1603, RV2935, RV2192C, RV3509C, RV0466, RV3708C, RV0130	107	229	1986	1.7020772966575521	0.9999660832198329	0.40611062693877853	40.48818504578745
GOTERM_BP_FAT	GO:0016053~organic acid biosynthetic process	21	11.602209944751381	0.01544916199543264	RV1295, RV1383, RV0015C, RV2447C, RV1484, RV0189C, RV2763C, RV2335, RV2178C, RV1611, RV0858C, RV1612, RV0948C, RV1559, RV1603, RV2935, RV2192C, RV3509C, RV0466, RV3708C, RV0130	107	229	1986	1.7020772966575521	0.9999660832198329	0.40611062693877853	40.48818504578745
