Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:1901566~organonitrogen compound biosynthetic process	41	22.65193370165746	7.25232006852651e-05	RV0016C, RV1295, RV2447C, RV0189C, RV3275C, RV3910, RV2178C, RV1611, RV0634B, RV0858C, RV1612, RV1559, RV0714, RV3509C, RV0710, RV0512, RV1320C, RV0511, RV2890C, RV1383, RV1385, RV3276C, RV1485, RV1642, RV2763C, RV2335, RV1301, RV2139, RV0948C, RV1603, RV2848C, RV2192C, RV0803, RV1018C, RV0702, RV0723, RV2152C, RV0722, RV1014C, RV3708C, RV3009C	107	429	1986	1.7738709888242596	0.04680861715796181	0.04793783565296023	4.7792789251589705
GOTERM_BP_FAT	GO:0016051~carbohydrate biosynthetic process	11	6.077348066298343	0.0009747798223876728	RV3032, RV1018C, RV0236C, RV3265C, RV1099C, RV3809C, RV3808C, RV3807C, RV1604, RV3031, RV3372	107	60	1986	3.4028037383177567	0.4751504907379335	0.2690542461856012	26.82401637463104
GOTERM_BP_FAT	GO:0034637~cellular carbohydrate biosynthetic process	9	4.972375690607735	0.0013068614090851168	RV3032, RV0236C, RV3265C, RV3809C, RV3808C, RV3807C, RV1604, RV3031, RV3372	107	42	1986	3.9773030707610144	0.5786958839786085	0.2690542461856012	26.82401637463104
GOTERM_BP_FAT	GO:0009073~aromatic amino acid family biosynthetic process	6	3.314917127071823	0.0019335541144208826	RV2192C, RV2178C, RV1611, RV1612, RV0948C, RV1603	107	18	1986	6.186915887850467	0.7217725911992847	0.2690542461856012	26.82401637463104
GOTERM_BP_FAT	GO:0009072~aromatic amino acid family metabolic process	6	3.314917127071823	0.002513957540124828	RV2192C, RV2178C, RV1611, RV1612, RV0948C, RV1603	107	19	1986	5.861288735858338	0.8105856234867668	0.2690542461856012	26.82401637463104
GOTERM_BP_FAT	GO:0008652~cellular amino acid biosynthetic process	15	8.287292817679557	0.002663191920671222	RV1295, RV1383, RV0189C, RV2763C, RV2335, RV2178C, RV1611, RV0858C, RV1612, RV0948C, RV1559, RV1603, RV2192C, RV3509C, RV3708C	107	116	1986	2.4000966806316466	0.8284221417017152	0.2690542461856012	26.82401637463104
GOTERM_BP_FAT	GO:0005975~carbohydrate metabolic process	18	9.94475138121547	0.002849288537517713	RV1240, RV3032, RV0236C, RV3332, RV1023, RV3265C, RV3401, RV1099C, RV1604, RV3308, RV1018C, RV0237, RV3809C, RV3234C, RV3808C, RV3807C, RV3372, RV3031	107	156	1986	2.141624730409777	0.8483330039660614	0.2690542461856012	26.82401637463104
KEGG_PATHWAY	mtu00400:Phenylalanine, tyrosine and tryptophan biosynthesis	6	3.314917127071823	0.005241287563791871	RV2192C, RV2178C, RV1611, RV1612, RV0948C, RV1603	71	19	1099	4.888065233506301	0.27043315045494143	0.3197185413913041	31.97185413913041
GOTERM_BP_FAT	GO:0042435~indole-containing compound biosynthetic process	4	2.209944751381215	0.006800829079742059	RV2192C, RV1611, RV1612, RV1603	107	8	1986	9.2803738317757	0.9890092770380402	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0046219~indolalkylamine biosynthetic process	4	2.209944751381215	0.006800829079742059	RV2192C, RV1611, RV1612, RV1603	107	8	1986	9.2803738317757	0.9890092770380402	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0000162~tryptophan biosynthetic process	4	2.209944751381215	0.006800829079742059	RV2192C, RV1611, RV1612, RV1603	107	8	1986	9.2803738317757	0.9890092770380402	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0033692~cellular polysaccharide biosynthetic process	7	3.867403314917127	0.006826552969404109	RV3032, RV0236C, RV3265C, RV3809C, RV3808C, RV3807C, RV3031	107	33	1986	3.9371282922684787	0.9891958382465847	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:1901607~alpha-amino acid biosynthetic process	13	7.18232044198895	0.007814295683811938	RV1295, RV1383, RV0189C, RV2763C, RV2335, RV1611, RV0858C, RV1612, RV1559, RV1603, RV2192C, RV3509C, RV3708C	107	104	1986	2.320093457943925	0.994403067481429	0.38137898046461255	38.022503498665614
GOTERM_BP_FAT	GO:0006568~tryptophan metabolic process	4	2.209944751381215	0.009808536562629975	RV2192C, RV1611, RV1612, RV1603	107	9	1986	8.249221183800621	0.9985196084570166	0.38137898046461255	38.022503498665614
