Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0009311~oligosaccharide metabolic process	3	9.090909090909092	0.010829221872425809	RV2471, RV0127, RV0126	20	17	1986	17.523529411764706	0.9127498300068504	0.9973052889383413	99.73052889383412
KEGG_PATHWAY	mtu01100:Metabolic pathways	14	42.42424242424242	0.014483049604529171	RV2471, RV3464, RV1451, RV3199C, RV2213, RV1822, RV1007C, RV0777, RV0127, RV0864, RV1002C, RV0126, RV1703C, RV3339C	15	695	1099	1.4758752997601918	0.35446030934023887	0.4489745377404043	44.89745377404043
GOTERM_MF_FAT	GO:0016160~amylase activity	2	6.0606060606060606	0.018071917735333162	RV2471, RV0126	22	2	2314	105.18181818181819	0.9177915901945146	1.0	100.0
GOTERM_MF_FAT	GO:0004556~alpha-amylase activity	2	6.0606060606060606	0.018071917735333162	RV2471, RV0126	22	2	2314	105.18181818181819	0.9177915901945146	1.0	100.0
GOTERM_BP_FAT	GO:0015980~energy derivation by oxidation of organic compounds	4	12.121212121212121	0.020514018199307985	RV1451, RV0127, RV0126, RV3339C	20	63	1986	6.3047619047619055	0.9903705304353472	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0044723~single-organism carbohydrate metabolic process	5	15.151515151515152	0.024215526020581545	RV2471, RV3464, RV0127, RV0126, RV3339C	20	120	1986	4.1375	0.9958764201042829	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0006091~generation of precursor metabolites and energy	4	12.121212121212121	0.034717262239218526	RV1451, RV0127, RV0126, RV3339C	20	77	1986	5.158441558441559	0.9996347275648705	0.9973052889383413	99.73052889383412
KEGG_PATHWAY	mtu00500:Starch and sucrose metabolism	3	9.090909090909092	0.03545186330904378	RV2471, RV0127, RV0126	15	24	1099	9.158333333333333	0.6613764237990993	0.5495038812901786	54.95038812901786
GOTERM_BP_FAT	GO:0033692~cellular polysaccharide biosynthetic process	3	9.090909090909092	0.03838925819495081	RV3464, RV0127, RV0126	20	33	1986	9.027272727272727	0.9998444591201988	0.9973052889383413	99.73052889383412
GOTERM_CC_FAT	GO:0005829~cytosol	10	30.303030303030305	0.039911206390738634	RV2471, RV2603C, RV1010, RV3199C, RV0777, RV3200C, RV0127, RV0126, RV0684, RV1290C	14	627	1514	1.724766461608567	0.33455218207060844	0.39911206390738635	39.911206390738634
GOTERM_BP_FAT	GO:0044262~cellular carbohydrate metabolic process	4	12.121212121212121	0.04735343484356604	RV3464, RV0127, RV0126, RV3339C	20	87	1986	4.56551724137931	0.9999809135778722	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0000271~polysaccharide biosynthetic process	3	9.090909090909092	0.04968712576064306	RV3464, RV0127, RV0126	20	38	1986	7.839473684210526	0.9999889815303715	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0044264~cellular polysaccharide metabolic process	3	9.090909090909092	0.05207776389699816	RV3464, RV0127, RV0126	20	39	1986	7.638461538461538	0.9999937326023182	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0005975~carbohydrate metabolic process	5	15.151515151515152	0.05603196937647932	RV2471, RV3464, RV0127, RV0126, RV3339C	20	156	1986	3.182692307692308	0.9999975428473988	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0034637~cellular carbohydrate biosynthetic process	3	9.090909090909092	0.05949495051984197	RV3464, RV0127, RV0126	20	42	1986	7.0928571428571425	0.9999989213178966	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0005976~polysaccharide metabolic process	3	9.090909090909092	0.06463510631542037	RV3464, RV0127, RV0126	20	44	1986	6.770454545454545	0.9999996839478499	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0005992~trehalose biosynthetic process	2	6.0606060606060606	0.06517276900903543	RV0127, RV0126	20	7	1986	28.371428571428574	0.9999997221416558	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0005978~glycogen biosynthetic process	2	6.0606060606060606	0.06517276900903543	RV0127, RV0126	20	7	1986	28.371428571428574	0.9999997221416558	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0046351~disaccharide biosynthetic process	2	6.0606060606060606	0.06517276900903543	RV0127, RV0126	20	7	1986	28.371428571428574	0.9999997221416558	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0055114~oxidation-reduction process	4	12.121212121212121	0.06678383631283535	RV1451, RV0127, RV0126, RV3339C	20	100	1986	3.972	0.999999811190203	0.9973052889383413	99.73052889383412
GOTERM_BP_FAT	GO:0009250~glucan biosynthetic process	2	6.0606060606060606	0.07414786622406067	RV0127, RV0126	20	8	1986	24.825000000000003	0.9999999679870626	1.0	100.0
GOTERM_BP_FAT	GO:0005977~glycogen metabolic process	2	6.0606060606060606	0.08304128914724225	RV0127, RV0126	20	9	1986	22.066666666666666	0.9999999963157351	1.0	100.0
GOTERM_BP_FAT	GO:0006112~energy reserve metabolic process	2	6.0606060606060606	0.08304128914724225	RV0127, RV0126	20	9	1986	22.066666666666666	0.9999999963157351	1.0	100.0
GOTERM_MF_FAT	GO:0004177~aminopeptidase activity	2	6.0606060606060606	0.09561598699462186	RV2213, RV1835C	22	11	2314	19.123966942148762	0.9999989520414694	1.0	100.0
