Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0008137~NADH dehydrogenase (ubiquinone) activity	4	4.49438202247191	0.0026121695378872514	RV3145, RV3147, RV3146, RV3148	53	13	2314	13.433962264150944	0.41655842708539714	0.30015839120542653	30.015839120542655
KEGG_PATHWAY	mtu02010:ABC transporters	9	10.112359550561797	0.004294111461745888	RV0171, RV0170, RV0169, RV0168, RV0167, RV0174, RV0173, RV3759C, RV0172	37	84	1099	3.182432432432433	0.21075988016878255	0.24047024185776972	24.047024185776973
GOTERM_BP_FAT	GO:0051701~interaction with host	13	14.606741573033707	0.004402825004198474	RV0171, RV0170, RV2349C, RV3875, RV0503C, RV0169, RV3378C, RV3377C, RV2350C, RV0174, RV0173, RV3759C, RV0172	52	205	1986	2.421951219512195	0.8558798116266169	1.0	100.0
GOTERM_MF_FAT	GO:0048038~quinone binding	4	4.49438202247191	0.004876567564582715	RV3145, RV3147, RV3146, RV3148	53	16	2314	10.915094339622641	0.6346978079876657	0.30015839120542653	30.015839120542655
GOTERM_MF_FAT	GO:0050136~NADH dehydrogenase (quinone) activity	4	4.49438202247191	0.005828318275833525	RV3145, RV3147, RV3146, RV3148	53	17	2314	10.273029966703662	0.70005197120773	0.30015839120542653	30.015839120542655
GOTERM_MF_FAT	GO:0003954~NADH dehydrogenase activity	4	4.49438202247191	0.005828318275833525	RV3145, RV3147, RV3146, RV3148	53	17	2314	10.273029966703662	0.70005197120773	0.30015839120542653	30.015839120542655
GOTERM_BP_FAT	GO:0044419~interspecies interaction between organisms	13	14.606741573033707	0.007830147613979701	RV0171, RV0170, RV2349C, RV3875, RV0503C, RV0169, RV3378C, RV3377C, RV2350C, RV0174, RV0173, RV3759C, RV0172	52	220	1986	2.256818181818182	0.9682849288268829	1.0	100.0
GOTERM_BP_FAT	GO:0044403~symbiosis, encompassing mutualism through parasitism	13	14.606741573033707	0.007830147613979701	RV0171, RV0170, RV2349C, RV3875, RV0503C, RV0169, RV3378C, RV3377C, RV2350C, RV0174, RV0173, RV3759C, RV0172	52	220	1986	2.256818181818182	0.9682849288268829	1.0	100.0
GOTERM_MF_FAT	GO:0016655~oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	4	4.49438202247191	0.009317461991673253	RV3145, RV3147, RV3146, RV3148	53	20	2314	8.732075471698112	0.8546186604234898	0.3268383159862063	32.68383159862063
GOTERM_MF_FAT	GO:0050661~NADP binding	5	5.617977528089887	0.009519562601539988	RV1122, RV2773C, RV3001C, RV1511, RV1512	53	38	2314	5.744786494538232	0.8606022098076693	0.3268383159862063	32.68383159862063
GOTERM_BP_FAT	GO:0006811~ion transport	7	7.865168539325842	0.012506638218946858	RV3146, RV0346C, RV1686C, RV3253C, RV0168, RV0167, RV3759C	52	77	1986	3.472027972027972	0.9960142766506362	1.0	100.0
KEGG_PATHWAY	mtu00190:Oxidative phosphorylation	6	6.741573033707865	0.017444318841632375	RV3145, RV3147, RV3146, RV2984, RV3148, RV3319	37	48	1099	3.7128378378378377	0.6201217662229261	0.4683577705748955	46.83577705748955
GOTERM_BP_FAT	GO:0015711~organic anion transport	4	4.49438202247191	0.019673120516496587	RV0346C, RV3253C, RV0168, RV0167	52	23	1986	6.642140468227425	0.9998371342410259	1.0	100.0
KEGG_PATHWAY	mtu00564:Glycerophospholipid metabolism	4	4.49438202247191	0.025090594852226544	RV2349C, RV2289, RV2350C, RV3302C	37	20	1099	5.940540540540542	0.7528080590886682	0.4683577705748955	46.83577705748955
GOTERM_BP_FAT	GO:0071705~nitrogen compound transport	6	6.741573033707865	0.026567404064666594	RV1440, RV3875, RV0346C, RV1686C, RV3253C, RV3759C	52	67	1986	3.420206659012629	0.9999926500666146	1.0	100.0
GOTERM_MF_FAT	GO:0004620~phospholipase activity	3	3.3707865168539324	0.03298271164959832	RV2349C, RV2565, RV2350C	53	13	2314	10.075471698113208	0.9990012584312846	0.970634085688179	97.0634085688179
GOTERM_CC_FAT	GO:0043190~ATP-binding cassette (ABC) transporter complex	4	4.49438202247191	0.035206247031609336	RV1686C, RV0168, RV0167, RV3759C	44	26	1514	5.293706293706293	0.7934062203894743	0.3098149738781622	30.98149738781622
GOTERM_CC_FAT	GO:1904949~ATPase complex	4	4.49438202247191	0.035206247031609336	RV1686C, RV0168, RV0167, RV3759C	44	26	1514	5.293706293706293	0.7934062203894743	0.3098149738781622	30.98149738781622
GOTERM_CC_FAT	GO:0098533~ATPase dependent transmembrane transport complex	4	4.49438202247191	0.035206247031609336	RV1686C, RV0168, RV0167, RV3759C	44	26	1514	5.293706293706293	0.7934062203894743	0.3098149738781622	30.98149738781622
GOTERM_CC_FAT	GO:1990351~transporter complex	4	4.49438202247191	0.035206247031609336	RV1686C, RV0168, RV0167, RV3759C	44	26	1514	5.293706293706293	0.7934062203894743	0.3098149738781622	30.98149738781622
GOTERM_CC_FAT	GO:1902495~transmembrane transporter complex	4	4.49438202247191	0.035206247031609336	RV1686C, RV0168, RV0167, RV3759C	44	26	1514	5.293706293706293	0.7934062203894743	0.3098149738781622	30.98149738781622
GOTERM_BP_FAT	GO:0046368~GDP-L-fucose metabolic process	2	2.247191011235955	0.0507126713187019	RV1511, RV1512	52	2	1986	38.19230769230769	0.9999999998804407	1.0	100.0
GOTERM_BP_FAT	GO:0016102~diterpenoid biosynthetic process	2	2.247191011235955	0.0507126713187019	RV3378C, RV3377C	52	2	1986	38.19230769230769	0.9999999998804407	1.0	100.0
GOTERM_BP_FAT	GO:0035440~tuberculosinol biosynthetic process	2	2.247191011235955	0.0507126713187019	RV3378C, RV3377C	52	2	1986	38.19230769230769	0.9999999998804407	1.0	100.0
GOTERM_BP_FAT	GO:0042350~GDP-L-fucose biosynthetic process	2	2.247191011235955	0.0507126713187019	RV1511, RV1512	52	2	1986	38.19230769230769	0.9999999998804407	1.0	100.0
GOTERM_BP_FAT	GO:0016101~diterpenoid metabolic process	2	2.247191011235955	0.0507126713187019	RV3378C, RV3377C	52	2	1986	38.19230769230769	0.9999999998804407	1.0	100.0
GOTERM_BP_FAT	GO:0042351~'de novo' GDP-L-fucose biosynthetic process	2	2.247191011235955	0.0507126713187019	RV1511, RV1512	52	2	1986	38.19230769230769	0.9999999998804407	1.0	100.0
GOTERM_MF_FAT	GO:0016651~oxidoreductase activity, acting on NAD(P)H	4	4.49438202247191	0.05543848357368125	RV3145, RV3147, RV3146, RV3148	53	39	2314	4.477987421383648	0.9999921035665965	1.0	100.0
GOTERM_MF_FAT	GO:0016614~oxidoreductase activity, acting on CH-OH group of donors	5	5.617977528089887	0.061422064205880374	RV1122, RV3001C, RV1530, RV1512, RV3302C	53	67	2314	3.2582371163052666	0.9999978674945345	1.0	100.0
GOTERM_BP_FAT	GO:0009225~nucleotide-sugar metabolic process	3	3.3707865168539324	0.06168822369855972	RV0993, RV1511, RV1512	52	16	1986	7.1610576923076925	0.9999999999992749	1.0	100.0
GOTERM_MF_FAT	GO:0046983~protein dimerization activity	4	4.49438202247191	0.070355036214284	RV2457C, RV3875, RV3762C, RV0937C	53	43	2314	4.061430451952611	0.9999997026096256	1.0	100.0
GOTERM_MF_FAT	GO:0034480~phosphatidylcholine phospholipase C activity	2	2.247191011235955	0.08695733814362207	RV2349C, RV2350C	53	4	2314	21.830188679245282	0.9999999927362565	1.0	100.0
GOTERM_BP_FAT	GO:0006820~anion transport	4	4.49438202247191	0.0960120368373992	RV0346C, RV3253C, RV0168, RV0167	52	43	1986	3.552772808586762	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0052368~disruption by organism of cellular component in other organism involved in symbiotic interaction	2	2.247191011235955	0.09890147680393929	RV2349C, RV2350C	52	4	1986	19.096153846153847	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0052008~disruption by symbiont of host cellular component	2	2.247191011235955	0.09890147680393929	RV2349C, RV2350C	52	4	1986	19.096153846153847	1.0	1.0	100.0
