Annotation Cluster 1	EnrichmentScore:1.1349337790400176
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006629~lipid metabolic process	11	28.947368421052634	0.0008624612533181005	RV3824C, RV3823C, RV0888, RV1661, RV3479, RV1302, RV1184C, RV1185C, RV1180, RV1181, RV1182	22	329	1986	3.0182370820668694	0.1968065462583274	0.21906515834279752	21.90651583427975
GOTERM_BP_FAT	GO:0044255~cellular lipid metabolic process	9	23.684210526315788	0.0030689292876121934	RV3824C, RV3823C, RV0888, RV1661, RV1302, RV1185C, RV1180, RV1181, RV1182	22	256	1986	3.1736505681818183	0.5419177928799483	0.3227795492473632	32.27795492473632
GOTERM_BP_FAT	GO:0008610~lipid biosynthetic process	8	21.052631578947366	0.003812356880874368	RV3824C, RV3823C, RV1661, RV1302, RV1185C, RV1180, RV1181, RV1182	22	206	1986	3.505736981465137	0.6209886695685622	0.3227795492473632	32.27795492473632
GOTERM_MF_FAT	GO:0016746~transferase activity, transferring acyl groups	6	15.789473684210526	0.007927451177039531	RV3824C, RV1661, RV1184C, RV1180, RV1181, RV1182	21	152	2314	4.349624060150376	0.5305102655099833	0.34662128797881503	34.6621287978815
GOTERM_MF_FAT	GO:0004315~3-oxoacyl-[acyl-carrier-protein] synthase activity	3	7.894736842105263	0.011115380275261712	RV1661, RV1180, RV1181	21	19	2314	17.398496240601503	0.6541927310490583	0.34662128797881503	34.6621287978815
GOTERM_MF_FAT	GO:0031177~phosphopantetheine binding	3	7.894736842105263	0.017482797126667397	RV1661, RV1180, RV1181	21	24	2314	13.773809523809524	0.8127958375893707	0.34662128797881503	34.6621287978815
GOTERM_MF_FAT	GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups	5	13.157894736842104	0.018461216412280823	RV3824C, RV1661, RV1180, RV1181, RV1182	21	122	2314	4.5160031225605	0.8297021620007119	0.34662128797881503	34.6621287978815
GOTERM_MF_FAT	GO:0072341~modified amino acid binding	3	7.894736842105263	0.018905155156070035	RV1661, RV1180, RV1181	21	25	2314	13.222857142857142	0.836866030625593	0.34662128797881503	34.6621287978815
GOTERM_MF_FAT	GO:0004312~fatty acid synthase activity	3	7.894736842105263	0.021891870819714634	RV1661, RV1180, RV1181	21	27	2314	12.243386243386244	0.8778896438919369	0.34662128797881503	34.6621287978815
GOTERM_MF_FAT	GO:0033218~amide binding	3	7.894736842105263	0.03374997706209865	RV1661, RV1180, RV1181	21	34	2314	9.722689075630251	0.9616730608289533	0.4007809776124215	40.07809776124215
COG_ONTOLOGY	Secondary metabolites biosynthesis, transport, and catabolism	4	10.526315789473683	0.05503203942466356	RV3824C, RV1661, RV3685C, RV1180	13	59	782	4.078226857887875	0.36417636002343456	0.3852242759726449	38.52242759726449
GOTERM_BP_FAT	GO:0006633~fatty acid biosynthetic process	4	10.526315789473683	0.06105903107978636	RV1661, RV1185C, RV1180, RV1181	22	87	1986	4.150470219435737	0.9999998877657446	1.0	100.0
GOTERM_BP_FAT	GO:0072330~monocarboxylic acid biosynthetic process	4	10.526315789473683	0.09143586771809857	RV1661, RV1185C, RV1180, RV1181	22	103	1986	3.505736981465137	0.9999999999735565	1.0	100.0
GOTERM_BP_FAT	GO:0071554~cell wall organization or biogenesis	4	10.526315789473683	0.12949254416760353	RV3824C, RV3823C, RV1661, RV1302	22	120	1986	3.009090909090909	0.9999999999999994	1.0	100.0
GOTERM_MF_FAT	GO:0019842~vitamin binding	3	7.894736842105263	0.17184005714501055	RV1661, RV1180, RV1181	21	87	2314	3.799671592775041	0.999999983371582	1.0	100.0
GOTERM_BP_FAT	GO:0006631~fatty acid metabolic process	4	10.526315789473683	0.17779064730716448	RV1661, RV1185C, RV1180, RV1181	22	139	1986	2.597776324395029	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0032787~monocarboxylic acid metabolic process	4	10.526315789473683	0.37097889408999346	RV1661, RV1185C, RV1180, RV1181	22	205	1986	1.761419068736142	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0016053~organic acid biosynthetic process	4	10.526315789473683	0.442974070031137	RV1661, RV1185C, RV1180, RV1181	22	229	1986	1.5768161969035333	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0046394~carboxylic acid biosynthetic process	4	10.526315789473683	0.442974070031137	RV1661, RV1185C, RV1180, RV1181	22	229	1986	1.5768161969035333	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0043436~oxoacid metabolic process	6	15.789473684210526	0.5100596332344225	RV3824C, RV3823C, RV1661, RV1185C, RV1180, RV1181	22	439	1986	1.2337958169393248	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0006082~organic acid metabolic process	6	15.789473684210526	0.5145700811854399	RV3824C, RV3823C, RV1661, RV1185C, RV1180, RV1181	22	441	1986	1.2282003710575138	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0044283~small molecule biosynthetic process	4	10.526315789473683	0.5985513567296693	RV1661, RV1185C, RV1180, RV1181	22	285	1986	1.2669856459330144	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0019752~carboxylic acid metabolic process	4	10.526315789473683	0.8508848535393465	RV1661, RV1185C, RV1180, RV1181	22	418	1986	0.8638538494997826	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043168~anion binding	4	10.526315789473683	0.9348166919262675	RV1661, RV3198C, RV1180, RV1181	21	620	2314	0.710906298003072	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0036094~small molecule binding	4	10.526315789473683	0.9550796775084426	RV1661, RV3198C, RV1180, RV1181	21	665	2314	0.6627998567848192	1.0	1.0	100.0
Annotation Cluster 2	EnrichmentScore:0.8441708209358526
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0071554~cell wall organization or biogenesis	4	10.526315789473683	0.12949254416760353	RV3824C, RV3823C, RV1661, RV1302	22	120	1986	3.009090909090909	0.9999999999999994	1.0	100.0
GOTERM_BP_FAT	GO:0071555~cell wall organization	3	7.894736842105263	0.14155725805740324	RV3824C, RV3823C, RV1302	22	63	1986	4.298701298701299	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0045229~external encapsulating structure organization	3	7.894736842105263	0.16007025313521764	RV3824C, RV3823C, RV1302	22	68	1986	3.9826203208556143	1.0	1.0	100.0
Annotation Cluster 3	EnrichmentScore:0.3847028458889928
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0009150~purine ribonucleotide metabolic process	3	7.894736842105263	0.2022783231430139	RV3733C, RV0994, RV1319C	22	79	1986	3.4280782508630607	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0006163~purine nucleotide metabolic process	3	7.894736842105263	0.22194340825547682	RV3733C, RV0994, RV1319C	22	84	1986	3.224025974025974	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0072521~purine-containing compound metabolic process	3	7.894736842105263	0.24578874642914147	RV3733C, RV0994, RV1319C	22	90	1986	3.0090909090909093	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0009259~ribonucleotide metabolic process	3	7.894736842105263	0.2537780230367759	RV3733C, RV0994, RV1319C	22	92	1986	2.943675889328063	1.0	1.0	100.0
GOTERM_BP_FAT	GO:1901135~carbohydrate derivative metabolic process	5	13.157894736842104	0.2943777453417237	RV3733C, RV0994, RV1302, RV1182, RV1319C	22	261	1986	1.7293625914315571	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0019693~ribose phosphate metabolic process	3	7.894736842105263	0.30186678857788557	RV3733C, RV0994, RV1319C	22	104	1986	2.6040209790209787	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0009117~nucleotide metabolic process	3	7.894736842105263	0.46807579354951784	RV3733C, RV0994, RV1319C	22	147	1986	1.842300556586271	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0019637~organophosphate metabolic process	4	10.526315789473683	0.4694029684329638	RV3733C, RV0888, RV0994, RV1319C	22	238	1986	1.5171886936592818	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0006753~nucleoside phosphate metabolic process	3	7.894736842105263	0.47534276738380954	RV3733C, RV0994, RV1319C	22	149	1986	1.8175716900549115	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0055086~nucleobase-containing small molecule metabolic process	3	7.894736842105263	0.5314880263235447	RV3733C, RV0994, RV1319C	22	165	1986	1.6413223140495865	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0090407~organophosphate biosynthetic process	3	7.894736842105263	0.5348738405744371	RV3733C, RV0994, RV1319C	22	166	1986	1.6314348302300108	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0006796~phosphate-containing compound metabolic process	4	10.526315789473683	0.5804480004923138	RV3733C, RV0888, RV0994, RV1319C	22	278	1986	1.2988881621975146	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0006793~phosphorus metabolic process	4	10.526315789473683	0.6406153830601851	RV3733C, RV0888, RV0994, RV1319C	22	302	1986	1.1956652618904275	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0018130~heterocycle biosynthetic process	5	13.157894736842104	0.6432375130459108	RV3733C, RV0994, RV3687C, RV0144, RV1319C	22	403	1986	1.1200090232348296	1.0	1.0	100.0
GOTERM_BP_FAT	GO:1901566~organonitrogen compound biosynthetic process	3	7.894736842105263	0.9598063267210344	RV3733C, RV0994, RV1319C	22	429	1986	0.6312778130959948	1.0	1.0	100.0
Annotation Cluster 4	EnrichmentScore:0.16375619246507514
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0034654~nucleobase-containing compound biosynthetic process	4	10.526315789473683	0.6211639400184275	RV3733C, RV3687C, RV0144, RV1319C	22	294	1986	1.228200371057514	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0018130~heterocycle biosynthetic process	5	13.157894736842104	0.6432375130459108	RV3733C, RV0994, RV3687C, RV0144, RV1319C	22	403	1986	1.1200090232348296	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0019438~aromatic compound biosynthetic process	4	10.526315789473683	0.8075209948817071	RV3733C, RV3687C, RV0144, RV1319C	22	387	1986	0.9330514446793517	1.0	1.0	100.0
Annotation Cluster 5	EnrichmentScore:0.09400834738323186
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0046872~metal ion binding	5	13.157894736842104	0.7700369324170299	RV0994, RV3198C, RV3685C, RV1302, RV3729	21	574	2314	0.9598473535755765	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043169~cation binding	5	13.157894736842104	0.7753395334642532	RV0994, RV3198C, RV3685C, RV1302, RV3729	21	578	2314	0.9532048113362992	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043167~ion binding	8	21.052631578947366	0.8749263050914555	RV1661, RV0994, RV3198C, RV3685C, RV1302, RV1180, RV1181, RV3729	21	1046	2314	0.8427569880724756	1.0	1.0	100.0
