Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006629~lipid metabolic process	11	28.947368421052634	0.0008624612533181005	RV3824C, RV3823C, RV0888, RV1661, RV3479, RV1302, RV1184C, RV1185C, RV1180, RV1181, RV1182	22	329	1986	3.0182370820668694	0.1968065462583274	0.21906515834279752	21.90651583427975
GOTERM_BP_FAT	GO:0044255~cellular lipid metabolic process	9	23.684210526315788	0.0030689292876121934	RV3824C, RV3823C, RV0888, RV1661, RV1302, RV1185C, RV1180, RV1181, RV1182	22	256	1986	3.1736505681818183	0.5419177928799483	0.3227795492473632	32.27795492473632
GOTERM_BP_FAT	GO:0008610~lipid biosynthetic process	8	21.052631578947366	0.003812356880874368	RV3824C, RV3823C, RV1661, RV1302, RV1185C, RV1180, RV1181, RV1182	22	206	1986	3.505736981465137	0.6209886695685622	0.3227795492473632	32.27795492473632
GOTERM_MF_FAT	GO:0016746~transferase activity, transferring acyl groups	6	15.789473684210526	0.007927451177039531	RV3824C, RV1661, RV1184C, RV1180, RV1181, RV1182	21	152	2314	4.349624060150376	0.5305102655099833	0.34662128797881503	34.6621287978815
GOTERM_MF_FAT	GO:0004315~3-oxoacyl-[acyl-carrier-protein] synthase activity	3	7.894736842105263	0.011115380275261712	RV1661, RV1180, RV1181	21	19	2314	17.398496240601503	0.6541927310490583	0.34662128797881503	34.6621287978815
GOTERM_MF_FAT	GO:0031177~phosphopantetheine binding	3	7.894736842105263	0.017482797126667397	RV1661, RV1180, RV1181	21	24	2314	13.773809523809524	0.8127958375893707	0.34662128797881503	34.6621287978815
GOTERM_MF_FAT	GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups	5	13.157894736842104	0.018461216412280823	RV3824C, RV1661, RV1180, RV1181, RV1182	21	122	2314	4.5160031225605	0.8297021620007119	0.34662128797881503	34.6621287978815
GOTERM_MF_FAT	GO:0072341~modified amino acid binding	3	7.894736842105263	0.018905155156070035	RV1661, RV1180, RV1181	21	25	2314	13.222857142857142	0.836866030625593	0.34662128797881503	34.6621287978815
GOTERM_BP_FAT	GO:1902321~methyl-branched fatty acid biosynthetic process	2	5.263157894736842	0.0210414970282783	RV1180, RV1181	22	2	1986	90.27272727272728	0.9954905055413832	1.0	100.0
GOTERM_MF_FAT	GO:0004312~fatty acid synthase activity	3	7.894736842105263	0.021891870819714634	RV1661, RV1180, RV1181	21	27	2314	12.243386243386244	0.8778896438919369	0.34662128797881503	34.6621287978815
GOTERM_MF_FAT	GO:0005102~receptor binding	2	5.263157894736842	0.025716686541927512	RV3763, RV1270C	21	3	2314	73.46031746031746	0.9158410858746904	0.34901217449758765	34.90121744975877
GOTERM_BP_FAT	GO:0097089~methyl-branched fatty acid metabolic process	2	5.263157894736842	0.03140345698915713	RV1180, RV1181	22	3	1986	60.18181818181819	0.9996977959152612	1.0	100.0
GOTERM_MF_FAT	GO:0033218~amide binding	3	7.894736842105263	0.03374997706209865	RV1661, RV1180, RV1181	21	34	2314	9.722689075630251	0.9616730608289533	0.4007809776124215	40.07809776124215
COG_ONTOLOGY	Secondary metabolites biosynthesis, transport, and catabolism	4	10.526315789473683	0.05503203942466356	RV3824C, RV1661, RV3685C, RV1180	13	59	782	4.078226857887875	0.36417636002343456	0.3852242759726449	38.52242759726449
GOTERM_BP_FAT	GO:0006633~fatty acid biosynthetic process	4	10.526315789473683	0.06105903107978636	RV1661, RV1185C, RV1180, RV1181	22	87	1986	4.150470219435737	0.9999998877657446	1.0	100.0
GOTERM_BP_FAT	GO:0031640~killing of cells of other organism	2	5.263157894736842	0.06186628763455548	RV0888, RV3763	22	6	1986	30.090909090909093	0.9999999097920763	1.0	100.0
GOTERM_BP_FAT	GO:0001906~cell killing	2	5.263157894736842	0.06186628763455548	RV0888, RV3763	22	6	1986	30.090909090909093	0.9999999097920763	1.0	100.0
GOTERM_BP_FAT	GO:0044364~disruption of cells of other organism	2	5.263157894736842	0.06186628763455548	RV0888, RV3763	22	6	1986	30.090909090909093	0.9999999097920763	1.0	100.0
KEGG_PATHWAY	mtu05152:Tuberculosis	2	5.263157894736842	0.06906019210969008	RV3763, RV1270C	7	13	1099	24.153846153846153	0.5762992637532538	0.897782497425971	89.77824974259711
GOTERM_BP_FAT	GO:0046506~sulfolipid biosynthetic process	2	5.263157894736842	0.07181619064463093	RV3824C, RV3823C	22	7	1986	25.792207792207794	0.9999999939878044	1.0	100.0
GOTERM_BP_FAT	GO:0046505~sulfolipid metabolic process	2	5.263157894736842	0.07181619064463093	RV3824C, RV3823C	22	7	1986	25.792207792207794	0.9999999939878044	1.0	100.0
GOTERM_BP_FAT	GO:0072330~monocarboxylic acid biosynthetic process	4	10.526315789473683	0.09143586771809857	RV1661, RV1185C, RV1180, RV1181	22	103	1986	3.505736981465137	0.9999999999735565	1.0	100.0
