Gene Cluster 2	EnrichmentScore: 3.437530194869779
LOCUS_TAG	Gene Name
Rv3456c	50S ribosomal protein L17(rplQ)
Rv0709	50S ribosomal protein L29(rpmC)
Rv0721	30S ribosomal protein S5(rpsE)
Rv0701	50S ribosomal protein L3(rplC)
Rv0720	50S ribosomal protein L18(rplR)
Rv0706	50S ribosomal protein L22(rplV)
Rv0707	30S ribosomal protein S3(rpsC)
Rv0705	30S ribosomal protein S19(rpsS)
Rv0718	30S ribosomal protein S8(rpsH)
Rv0708	50S ribosomal protein L16(rplP)
Rv0703	50S ribosomal protein L23(rplW)
Gene Cluster 3	EnrichmentScore: 0.9330235701165285
LOCUS_TAG	Gene Name
Rv2600	integral membrane protein(Rv2600)
Rv2395	integral membrane protein(Rv2395)
Rv0110	integral membrane protein(Rv0110)
Rv2685	arsenic-transport integral membrane protein ArsB(arsB1)
Rv2508c	integral membrane protein(Rv2508c)
Rv1097c	hypothetical protein(Rv1097c)
Rv0912	transmembrane protein(Rv0912)
Rv1614	prolipoprotein diacylglyceryl transferase(lgt)
Rv0226c	transmembrane protein(Rv0226c)
Rv3805c	terminal beta-(1->2)-arabinofuranosyltransferase(aftB)
Rv0200	transmembrane protein(Rv0200)
Rv0175	Mce associated membrane protein(Rv0175)
Rv2237	hypothetical protein(Rv2237)
Rv3885c	ESX-2 secretion system protein EccE(eccE2)
Rv1282c	oligopeptide ABC transporter permease OppC(oppC)
Rv3158	NADH-quinone oxidoreductase subunit N(nuoN)
Rv0935	phosphate ABC transporter permease PstC(pstC1)
Rv3695	membrane protein(Rv3695)
Rv3152	NADH-quinone oxidoreductase subunit H(nuoH)
Rv3157	NADH-quinone oxidoreductase subunit M(nuoM)
Rv0084	formate hydrogenlyase HycD(hycD)
Rv3155	NADH-quinone oxidoreductase subunit K(nuoK)
Rv2174	alpha(1->6)-mannopyranosyltransferase A(mptA)
Rv1795	ESX-5 type VII secretion system protein EccD(eccD5)
Rv1382	hypothetical protein(Rv1382)
Rv3154	NADH-quinone oxidoreductase subunit J(nuoJ)
Rv3494c	Mce family protein Mce4(mce4F)
Rv3852	histone-like protein Hns(hns)
Rv3851	membrane protein(Rv3851)
Rv1426c	esterase LipO(lipO)
Rv0039c	transmembrane protein(Rv0039c)
Rv3497c	Mce family protein Mce4C(mce4C)
Rv2197c	transmembrane protein(Rv2197c)
Rv1678	integral membrane protein(Rv1678)
Rv3005c	hypothetical protein(Rv3005c)
Rv3576	lipoprotein LppH(lppH)
Rv3156	NADH-quinone oxidoreductase subunit L(nuoL)
Gene Cluster 1	EnrichmentScore: 0.30371926834341456
LOCUS_TAG	Gene Name
Rv2905	lipoprotein LppW(lppW)
Rv3495c	Mce family lipoprotein LprN(lprN)
Rv2945c	lipoprotein LppX(lppX)
Rv2585c	lipoprotein(Rv2585c)
