Annotation Cluster 1	EnrichmentScore:0.6523861548479735
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0000166~nucleotide binding	5	33.33333333333333	0.06312427517983492	RV1187, RV3797, RV0869C, RV0263C, RV2590	8	560	2314	2.5825892857142856	0.9756850594152425	1.0	100.0
GOTERM_MF_FAT	GO:1901265~nucleoside phosphate binding	5	33.33333333333333	0.06312427517983492	RV1187, RV3797, RV0869C, RV0263C, RV2590	8	560	2314	2.5825892857142856	0.9756850594152425	1.0	100.0
GOTERM_MF_FAT	GO:0036094~small molecule binding	5	33.33333333333333	0.1099356041889566	RV1187, RV3797, RV0869C, RV0263C, RV2590	8	665	2314	2.174812030075188	0.9986907534366205	1.0	100.0
GOTERM_MF_FAT	GO:0043167~ion binding	6	40.0	0.15522040088137362	RV1187, RV3797, RV0869C, RV0263C, RV2590, RV3859C	8	1046	2314	1.6591778202676863	0.9999332617536119	1.0	100.0
GOTERM_MF_FAT	GO:0043168~anion binding	4	26.666666666666668	0.2814725087467797	RV3797, RV0869C, RV0263C, RV2590	8	620	2314	1.8661290322580644	0.9999999934344187	1.0	100.0
GOTERM_MF_FAT	GO:0035639~purine ribonucleoside triphosphate binding	3	20.0	0.32208912179152727	RV0869C, RV0263C, RV2590	8	379	2314	2.2895778364116097	0.9999999997618567	1.0	100.0
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	3	20.0	0.32817506896467985	RV0869C, RV0263C, RV2590	8	384	2314	2.259765625	0.9999999998575709	1.0	100.0
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	3	20.0	0.33060963294122014	RV0869C, RV0263C, RV2590	8	386	2314	2.248056994818653	0.9999999998841945	1.0	100.0
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	3	20.0	0.3476468731669352	RV0869C, RV0263C, RV2590	8	400	2314	2.169375	0.9999999999733611	1.0	100.0
GOTERM_MF_FAT	GO:0097367~carbohydrate derivative binding	3	20.0	0.36829662768676064	RV0869C, RV0263C, RV2590	8	417	2314	2.0809352517985613	0.9999999999957415	1.0	100.0
GOTERM_MF_FAT	GO:0097159~organic cyclic compound binding	5	33.33333333333333	0.41625406004366994	RV1187, RV3797, RV0869C, RV0263C, RV2590	8	1068	2314	1.3541666666666665	0.9999999999999527	1.0	100.0
GOTERM_MF_FAT	GO:1901363~heterocyclic compound binding	5	33.33333333333333	0.41625406004366994	RV1187, RV3797, RV0869C, RV0263C, RV2590	8	1068	2314	1.3541666666666665	0.9999999999999527	1.0	100.0
Annotation Cluster 2	EnrichmentScore:0.4306142002870084
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0043167~ion binding	6	40.0	0.15522040088137362	RV1187, RV3797, RV0869C, RV0263C, RV2590, RV3859C	8	1046	2314	1.6591778202676863	0.9999332617536119	1.0	100.0
KEGG_PATHWAY	mtu01100:Metabolic pathways	3	20.0	0.3997092902803312	RV1187, RV0869C, RV3859C	3	695	1099	1.581294964028777	0.9898782734721908	1.0	100.0
GOTERM_MF_FAT	GO:0046872~metal ion binding	3	20.0	0.5504603343023187	RV1187, RV0869C, RV3859C	8	574	2314	1.511759581881533	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043169~cation binding	3	20.0	0.5547842536399221	RV1187, RV0869C, RV3859C	8	578	2314	1.5012975778546713	1.0	1.0	100.0
