Annotation Cluster 1	EnrichmentScore:0.828689337427655
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0005525~GTP binding	3	3.488372093023256	0.13665531934280947	RV1496, RV2916C, RV2202C	44	35	2314	4.507792207792207	0.9999999999975704	1.0	100.0
GOTERM_MF_FAT	GO:0032550~purine ribonucleoside binding	3	3.488372093023256	0.14305446358286367	RV1496, RV2916C, RV2202C	44	36	2314	4.382575757575758	0.9999999999993727	1.0	100.0
GOTERM_MF_FAT	GO:0032561~guanyl ribonucleotide binding	3	3.488372093023256	0.14305446358286367	RV1496, RV2916C, RV2202C	44	36	2314	4.382575757575758	0.9999999999993727	1.0	100.0
GOTERM_MF_FAT	GO:0001883~purine nucleoside binding	3	3.488372093023256	0.14305446358286367	RV1496, RV2916C, RV2202C	44	36	2314	4.382575757575758	0.9999999999993727	1.0	100.0
GOTERM_MF_FAT	GO:0019001~guanyl nucleotide binding	3	3.488372093023256	0.14951797648792883	RV1496, RV2916C, RV2202C	44	37	2314	4.264127764127764	0.9999999999998419	1.0	100.0
GOTERM_MF_FAT	GO:0001882~nucleoside binding	3	3.488372093023256	0.16262047418261333	RV1496, RV2916C, RV2202C	44	39	2314	4.045454545454545	0.9999999999999907	1.0	100.0
GOTERM_MF_FAT	GO:0032549~ribonucleoside binding	3	3.488372093023256	0.16262047418261333	RV1496, RV2916C, RV2202C	44	39	2314	4.045454545454545	0.9999999999999907	1.0	100.0
Annotation Cluster 2	EnrichmentScore:0.7359325478365001
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0000287~magnesium ion binding	7	8.13953488372093	0.09294605338600725	RV3384C, RV0656C, RV0553, RV2179C, RV2202C, RV1647, RV3062	44	171	2314	2.1528442317916	0.9999999805362129	1.0	100.0
GOTERM_MF_FAT	GO:0004540~ribonuclease activity	4	4.651162790697675	0.15208581546948635	RV1495, RV3384C, RV0656C, RV2179C	44	73	2314	2.8816936488169365	0.9999999999999087	1.0	100.0
GOTERM_MF_FAT	GO:0004518~nuclease activity	4	4.651162790697675	0.438412261474568	RV1495, RV3384C, RV0656C, RV2179C	44	130	2314	1.6181818181818182	1.0	1.0	100.0
Annotation Cluster 3	EnrichmentScore:0.6121563334230515
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0034654~nucleobase-containing compound biosynthetic process	11	12.790697674418606	0.060520148780955775	RV0330C, RV0302, RV2786C, RV0674, RV1556, RV0474, RV2202C, RV1647, RV2801A, RV3062, RV1390	41	294	1986	1.8123444499751122	0.9999999996759481	1.0	100.0
GOTERM_MF_FAT	GO:0003690~double-stranded DNA binding	5	5.813953488372093	0.07555786298352238	RV0330C, RV0302, RV0674, RV3674C, RV1556	44	87	2314	3.0224660397074192	0.9999993832468481	1.0	100.0
GOTERM_MF_FAT	GO:0003677~DNA binding	10	11.627906976744185	0.15266725007488746	RV0330C, RV1495, RV3830C, RV0302, RV0674, RV3674C, RV1556, RV0474, RV3062, RV1390	44	332	2314	1.5840635268346113	0.9999999999999195	1.0	100.0
GOTERM_BP_FAT	GO:0097659~nucleic acid-templated transcription	7	8.13953488372093	0.15363461799800868	RV0330C, RV0302, RV0674, RV1556, RV0474, RV2801A, RV1390	41	182	1986	1.8630393996247656	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0003676~nucleic acid binding	13	15.11627906976744	0.15395693739499555	RV0330C, RV1495, RV1556, RV2179C, RV2916C, RV3830C, RV0302, RV0674, RV3674C, RV0474, RV3062, RV0053, RV1390	44	475	2314	1.4393301435406698	0.9999999999999389	1.0	100.0
GOTERM_BP_FAT	GO:0032774~RNA biosynthetic process	7	8.13953488372093	0.17126999297182435	RV0330C, RV0302, RV0674, RV1556, RV0474, RV2801A, RV1390	41	188	1986	1.803580695381422	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0000975~regulatory region DNA binding	4	4.651162790697675	0.17948063653394708	RV0330C, RV0302, RV0674, RV1556	44	79	2314	2.66283084004603	0.9999999999999998	1.0	100.0
GOTERM_MF_FAT	GO:0000976~transcription regulatory region sequence-specific DNA binding	4	4.651162790697675	0.17948063653394708	RV0330C, RV0302, RV0674, RV1556	44	79	2314	2.66283084004603	0.9999999999999998	1.0	100.0
GOTERM_MF_FAT	GO:0001067~regulatory region nucleic acid binding	4	4.651162790697675	0.17948063653394708	RV0330C, RV0302, RV0674, RV1556	44	79	2314	2.66283084004603	0.9999999999999998	1.0	100.0
GOTERM_MF_FAT	GO:0044212~transcription regulatory region DNA binding	4	4.651162790697675	0.17948063653394708	RV0330C, RV0302, RV0674, RV1556	44	79	2314	2.66283084004603	0.9999999999999998	1.0	100.0
GOTERM_BP_FAT	GO:0010467~gene expression	11	12.790697674418606	0.18502528495719894	RV2842C, RV0330C, RV1495, RV0302, RV2441C, RV0674, RV1556, RV0474, RV2801A, RV0053, RV1390	41	365	1986	1.4598062145005013	1.0	1.0	100.0
GOTERM_MF_FAT	GO:1990837~sequence-specific double-stranded DNA binding	4	4.651162790697675	0.18891018895224895	RV0330C, RV0302, RV0674, RV1556	44	81	2314	2.5970819304152637	1.0	1.0	100.0
