Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0008785~alkyl hydroperoxide reductase activity	2	16.666666666666664	0.006903971053854434	RV2428, RV2429	9	2	2314	257.1111111111111	0.32156266941152767	0.13572387868794594	13.330023799708973
GOTERM_MF_FAT	GO:0032843~hydroperoxide reductase activity	2	16.666666666666664	0.006903971053854434	RV2428, RV2429	9	2	2314	257.1111111111111	0.32156266941152767	0.13572387868794594	13.330023799708973
GOTERM_MF_FAT	GO:0016651~oxidoreductase activity, acting on NAD(P)H	3	25.0	0.007270922072568532	RV1854C, RV2428, RV2429	9	39	2314	19.77777777777778	0.3354592691745918	0.13572387868794594	13.330023799708973
GOTERM_BP_FAT	GO:0006979~response to oxidative stress	3	25.0	0.023788361899135156	RV2455C, RV2428, RV2429	9	62	1986	10.67741935483871	0.8934409790092939	1.0	100.0
GOTERM_MF_FAT	GO:0016671~oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	2	16.666666666666664	0.02398174750730966	RV2428, RV2429	9	7	2314	73.46031746031746	0.7431706749300384	0.33574446510233524	32.97490282255078
GOTERM_BP_FAT	GO:0009273~peptidoglycan-based cell wall biogenesis	3	25.0	0.04662848353850918	RV1660, RV0645C, RV2518C	9	89	1986	7.438202247191011	0.9882135764176853	1.0	100.0
GOTERM_MF_FAT	GO:0016668~oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	2	16.666666666666664	0.050771931861144905	RV2428, RV2429	9	15	2314	34.28148148148148	0.9459554371424499	0.45894454522472067	45.07491069171363
GOTERM_MF_FAT	GO:0051920~peroxiredoxin activity	2	16.666666666666664	0.050771931861144905	RV2428, RV2429	9	15	2314	34.28148148148148	0.9459554371424499	0.45894454522472067	45.07491069171363
GOTERM_BP_FAT	GO:0042546~cell wall biogenesis	3	25.0	0.052519179679180905	RV1660, RV0645C, RV2518C	9	95	1986	6.968421052631578	0.9933770763737422	1.0	100.0
GOTERM_MF_FAT	GO:0004601~peroxidase activity	2	16.666666666666664	0.057368068153090084	RV2428, RV2429	9	17	2314	30.24836601307189	0.9634270275181465	0.45894454522472067	45.07491069171363
GOTERM_BP_FAT	GO:0051409~response to nitrosative stress	2	16.666666666666664	0.06657640011736526	RV2428, RV1317C	9	17	1986	25.960784313725487	0.9983505989654305	1.0	100.0
GOTERM_MF_FAT	GO:0016684~oxidoreductase activity, acting on peroxide as acceptor	2	16.666666666666664	0.07368324771963351	RV2428, RV2429	9	22	2314	23.373737373737374	0.9862427058630796	0.49864766564682506	48.97432430459889
GOTERM_BP_FAT	GO:0071554~cell wall organization or biogenesis	3	25.0	0.07980459369761561	RV1660, RV0645C, RV2518C	9	120	1986	5.516666666666666	0.999562633350773	1.0	100.0
GOTERM_MF_FAT	GO:0016667~oxidoreductase activity, acting on a sulfur group of donors	2	16.666666666666664	0.08013980340752545	RV2428, RV2429	9	24	2314	21.425925925925927	0.9907012985709557	0.49864766564682506	48.97432430459889
