Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0016652~oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor	3	7.894736842105263	0.0006109772297805682	RV0157, RV0156, RV0155	25	4	2314	69.42	0.04888038298476427	0.025050066421003298	2.5050066421003296
GOTERM_MF_FAT	GO:0008746~NAD(P)+ transhydrogenase activity	3	7.894736842105263	0.0006109772297805682	RV0157, RV0156, RV0155	25	4	2314	69.42	0.04888038298476427	0.025050066421003298	2.5050066421003296
KEGG_PATHWAY	mtu00760:Nicotinate and nicotinamide metabolism	3	7.894736842105263	0.011553920908379686	RV0157, RV0156, RV0155	10	21	1099	15.7	0.1599700987746736	0.18486273453407498	18.4862734534075
GOTERM_BP_FAT	GO:0006740~NADPH regeneration	2	5.263157894736842	0.017050842040378437	RV0156, RV0155	18	2	1986	110.33333333333333	0.9625517523464486	1.0	100.0
GOTERM_MF_FAT	GO:0050661~NADP binding	3	7.894736842105263	0.05777332312075353	RV0157, RV0156, RV0155	25	38	2314	7.30736842105263	0.9924012443650402	1.0	100.0
GOTERM_MF_FAT	GO:0016651~oxidoreductase activity, acting on NAD(P)H	3	7.894736842105263	0.06051699453421627	RV0157, RV0156, RV0155	25	39	2314	7.12	0.9940173701585155	1.0	100.0
GOTERM_BP_FAT	GO:0006732~coenzyme metabolic process	4	10.526315789473683	0.08183655009785705	RV3392C, RV0956, RV0156, RV0155	18	122	1986	3.6174863387978142	0.9999999172591294	1.0	100.0
GOTERM_CC_FAT	GO:0005887~integral component of plasma membrane	4	10.526315789473683	0.08689480995506597	RV3000, RV2563, RV0157, RV0338C	12	150	1514	3.3644444444444446	0.4204046830459096	0.2691005448351999	26.91005448351999
GOTERM_CC_FAT	GO:0031226~intrinsic component of plasma membrane	4	10.526315789473683	0.0897001816117333	RV3000, RV2563, RV0157, RV0338C	12	152	1514	3.320175438596491	0.43100724503943577	0.2691005448351999	26.91005448351999
GOTERM_BP_FAT	GO:0008610~lipid biosynthetic process	5	13.157894736842104	0.091048447467929	RV3392C, RV2001, RV3631, RV0111, RV0669C	18	206	1986	2.6779935275080904	0.9999999879418542	1.0	100.0
