Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu00920:Sulfur metabolism	5	11.627906976744185	0.00018785178233843685	RV2400C, RV2399C, RV2398C, RV3117, RV0815C	17	22	1099	14.692513368983958	0.0063672034776876	0.00657481238184529	0.657481238184529
GOTERM_MF_FAT	GO:0015419~ATPase-coupled sulfate transmembrane transporter activity	3	6.976744186046512	0.0008348330805297818	RV2400C, RV2399C, RV2398C	29	4	2314	59.8448275862069	0.12289058548184195	0.08970385216578239	8.856112793437115
GOTERM_MF_FAT	GO:0015103~inorganic anion transmembrane transporter activity	4	9.30232558139535	0.002390944296112742	RV2400C, RV2399C, RV2398C, RV0253	29	23	2314	13.877061469265367	0.3132793725716778	0.08970385216578239	8.856112793437115
GOTERM_MF_FAT	GO:0043225~ATPase-coupled anion transmembrane transporter activity	3	6.976744186046512	0.0028568105785281017	RV2400C, RV2399C, RV2398C	29	7	2314	34.19704433497537	0.36183675018184325	0.08970385216578239	8.856112793437115
GOTERM_MF_FAT	GO:1901682~sulfur compound transmembrane transporter activity	3	6.976744186046512	0.0028568105785281017	RV2400C, RV2399C, RV2398C	29	7	2314	34.19704433497537	0.36183675018184325	0.08970385216578239	8.856112793437115
GOTERM_MF_FAT	GO:0015116~sulfate transmembrane transporter activity	3	6.976744186046512	0.0028568105785281017	RV2400C, RV2399C, RV2398C	29	7	2314	34.19704433497537	0.36183675018184325	0.08970385216578239	8.856112793437115
GOTERM_MF_FAT	GO:0008509~anion transmembrane transporter activity	4	9.30232558139535	0.004698902550209295	RV2400C, RV2399C, RV2398C, RV0253	29	29	2314	11.005945303210463	0.5226314306935884	0.12295461673047657	12.138831588040679
GOTERM_MF_FAT	GO:0022804~active transmembrane transporter activity	5	11.627906976744185	0.02388572304350096	RV2400C, RV2399C, RV2398C, RV3102C, RV0253	29	93	2314	4.2899517982944015	0.977529931477608	0.3777305455883459	37.2918691504418
KEGG_PATHWAY	mtu01120:Microbial metabolism in diverse environments	8	18.6046511627907	0.024041148160377175	RV2454C, RV2852C, RV2222C, RV3117, RV1141C, RV0253, RV0252, RV0815C	17	217	1099	2.383301707779886	0.5628089602778763	0.3390867883313837	33.908678833138374
GOTERM_MF_FAT	GO:0008942~nitrite reductase [NAD(P)H] activity	2	4.651162790697675	0.02405927041963987	RV0253, RV0252	29	2	2314	79.79310344827586	0.978148534776807	0.3777305455883459	37.2918691504418
GOTERM_MF_FAT	GO:0046857~oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor	2	4.651162790697675	0.02405927041963987	RV0253, RV0252	29	2	2314	79.79310344827586	0.978148534776807	0.3777305455883459	37.2918691504418
GOTERM_MF_FAT	GO:0098809~nitrite reductase activity	2	4.651162790697675	0.02405927041963987	RV0253, RV0252	29	2	2314	79.79310344827586	0.978148534776807	0.3777305455883459	37.2918691504418
KEGG_PATHWAY	mtu04122:Sulfur relay system	3	6.976744186046512	0.038752775809301	RV1334, RV3117, RV0815C	17	22	1099	8.815508021390375	0.7391484897307753	0.3390867883313837	33.908678833138374
KEGG_PATHWAY	mtu00910:Nitrogen metabolism	3	6.976744186046512	0.038752775809301	RV2222C, RV0253, RV0252	17	22	1099	8.815508021390375	0.7391484897307753	0.3390867883313837	33.908678833138374
GOTERM_MF_FAT	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	4	9.30232558139535	0.04367132938714542	RV2400C, RV2399C, RV2398C, RV3102C	29	66	2314	4.83594566353187	0.9990977505162656	0.47315825590754607	46.71307622017174
GOTERM_MF_FAT	GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	4	9.30232558139535	0.04367132938714542	RV2400C, RV2399C, RV2398C, RV3102C	29	66	2314	4.83594566353187	0.9990977505162656	0.47315825590754607	46.71307622017174
GOTERM_MF_FAT	GO:0043492~ATPase activity, coupled to movement of substances	4	9.30232558139535	0.04367132938714542	RV2400C, RV2399C, RV2398C, RV3102C	29	66	2314	4.83594566353187	0.9990977505162656	0.47315825590754607	46.71307622017174
GOTERM_MF_FAT	GO:0043168~anion binding	13	30.23255813953488	0.04745535920229447	RV2088, RV1112, RV2454C, RV2421C, RV3676, RV2453C, RV2222C, RV3817, RV3719, RV2097C, RV1864C, RV3102C, RV0252	29	620	2314	1.6730812013348164	0.9995158297988256	0.47315825590754607	46.71307622017174
GOTERM_MF_FAT	GO:0042625~ATPase coupled ion transmembrane transporter activity	3	6.976744186046512	0.04986093609888818	RV2400C, RV2399C, RV2398C	29	30	2314	7.979310344827586	0.9996744735243862	0.47315825590754607	46.71307622017174
GOTERM_MF_FAT	GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity	4	9.30232558139535	0.05240481114708878	RV2400C, RV2399C, RV2398C, RV3102C	29	71	2314	4.495386109762021	0.9997863086283968	0.47315825590754607	46.71307622017174
GOTERM_MF_FAT	GO:0022853~active ion transmembrane transporter activity	3	6.976744186046512	0.05290737813467076	RV2400C, RV2399C, RV2398C	29	31	2314	7.721913236929922	0.9998033856668824	0.47315825590754607	46.71307622017174
GOTERM_MF_FAT	GO:0015399~primary active transmembrane transporter activity	4	9.30232558139535	0.054247443352457514	RV2400C, RV2399C, RV2398C, RV3102C	29	72	2314	4.432950191570882	0.99984257588272	0.47315825590754607	46.71307622017174
GOTERM_MF_FAT	GO:0016661~oxidoreductase activity, acting on other nitrogenous compounds as donors	2	4.651162790697675	0.0705143452404654	RV0253, RV0252	29	6	2314	26.597701149425287	0.999989669946757	0.5272970112752032	52.05798518959012
GOTERM_MF_FAT	GO:0004792~thiosulfate sulfurtransferase activity	2	4.651162790697675	0.0705143452404654	RV3117, RV0815C	29	6	2314	26.597701149425287	0.999989669946757	0.5272970112752032	52.05798518959012
GOTERM_MF_FAT	GO:0042623~ATPase activity, coupled	4	9.30232558139535	0.0743687944307232	RV2400C, RV2399C, RV2398C, RV3102C	29	82	2314	3.8923465096719934	0.9999946202260255	0.5272970112752032	52.05798518959012
GOTERM_MF_FAT	GO:0036094~small molecule binding	13	30.23255813953488	0.07678986110679029	RV2088, RV1112, RV2454C, RV2421C, RV3676, RV2453C, RV2222C, RV3817, RV3719, RV2097C, RV1864C, RV3102C, RV0252	29	665	2314	1.559865180191859	0.9999964339390599	0.5272970112752032	52.05798518959012
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	9	20.930232558139537	0.07862188005060314	RV2088, RV2097C, RV1112, RV2421C, RV3676, RV2453C, RV2222C, RV3102C, RV3817	29	384	2314	1.8701508620689657	0.9999973893449903	0.5272970112752032	52.05798518959012
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	9	20.930232558139537	0.08060591255162342	RV2088, RV2097C, RV1112, RV2421C, RV3676, RV2453C, RV2222C, RV3102C, RV3817	29	386	2314	1.86046096122923	0.9999981389076585	0.5272970112752032	52.05798518959012
GOTERM_BP_FAT	GO:0042128~nitrate assimilation	2	4.651162790697675	0.08304128914724225	RV0253, RV0252	20	9	1986	22.066666666666666	0.9999999998946361	1.0	100.0
GOTERM_MF_FAT	GO:0016887~ATPase activity	4	9.30232558139535	0.0901953246045307	RV2400C, RV2399C, RV2398C, RV3102C	29	89	2314	3.5862068965517238	0.9999996411922669	0.5664266385164528	55.92110125480904
GOTERM_BP_FAT	GO:0042126~nitrate metabolic process	2	4.651162790697675	0.09185374008602631	RV0253, RV0252	20	10	1986	19.86	0.9999999999918476	1.0	100.0
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	9	20.930232558139537	0.09537892400180802	RV2088, RV2097C, RV1112, RV2421C, RV3676, RV2453C, RV2222C, RV3102C, RV3817	29	400	2314	1.795344827586207	0.9999998536906165	0.5759419641647637	56.86051238569324
GOTERM_BP_FAT	GO:2000112~regulation of cellular macromolecule biosynthetic process	5	11.627906976744185	0.09760510316277572	RV1560, RV1561, RV3676, RV0472C, RV0491	20	188	1986	2.640957446808511	0.9999999999984861	1.0	100.0
