Annotation Cluster 1	EnrichmentScore:1.0173311007926737
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006796~phosphate-containing compound metabolic process	6	40.0	0.000857543318913449	RV3051C, RV1844C, RV2234, RV1640C, RV1843C, RV3600C	8	278	1986	5.3579136690647475	0.13644942949290773	0.10873398734333611	10.809811607232245
GOTERM_BP_FAT	GO:0006793~phosphorus metabolic process	6	40.0	0.001271742542027323	RV3051C, RV1844C, RV2234, RV1640C, RV1843C, RV3600C	8	302	1986	4.932119205298013	0.1955579710866886	0.10873398734333611	10.809811607232245
GOTERM_BP_FAT	GO:0019637~organophosphate metabolic process	5	33.33333333333333	0.005248626545323552	RV3051C, RV1844C, RV1640C, RV1843C, RV3600C	8	238	1986	5.215336134453781	0.5933810505919843	0.2991717130834425	29.742217090166793
GOTERM_BP_FAT	GO:0009117~nucleotide metabolic process	4	26.666666666666668	0.011144520112790811	RV3051C, RV1844C, RV1843C, RV3600C	8	147	1986	6.755102040816327	0.8528660127544598	0.38130445148091896	37.90746008874633
GOTERM_BP_FAT	GO:0006753~nucleoside phosphate metabolic process	4	26.666666666666668	0.011572165578281378	RV3051C, RV1844C, RV1843C, RV3600C	8	149	1986	6.6644295302013425	0.8633563933099845	0.38130445148091896	37.90746008874633
GOTERM_BP_FAT	GO:0055086~nucleobase-containing small molecule metabolic process	4	26.666666666666668	0.015351255274029816	RV3051C, RV1844C, RV1843C, RV3600C	8	165	1986	6.018181818181818	0.9290246242728691	0.38130445148091896	37.90746008874633
GOTERM_BP_FAT	GO:0090407~organophosphate biosynthetic process	4	26.666666666666668	0.015608954154189666	RV3051C, RV1640C, RV1843C, RV3600C	8	166	1986	5.981927710843373	0.9321313915487404	0.38130445148091896	37.90746008874633
GOTERM_BP_FAT	GO:0009165~nucleotide biosynthetic process	3	20.0	0.03600580423881353	RV3051C, RV1843C, RV3600C	8	89	1986	8.367977528089888	0.9981088514209707	0.6984663222893281	69.43817239133672
GOTERM_BP_FAT	GO:1901293~nucleoside phosphate biosynthetic process	3	20.0	0.03676138538364885	RV3051C, RV1843C, RV3600C	8	90	1986	8.275	0.9983461571802024	0.6984663222893281	69.43817239133672
GOTERM_BP_FAT	GO:1901135~carbohydrate derivative metabolic process	4	26.666666666666668	0.052394922454152414	RV2449C, RV3051C, RV1844C, RV3600C	8	261	1986	3.8045977011494254	0.9998992414678812	0.8959531739660064	89.07136817205911
GOTERM_BP_FAT	GO:0034654~nucleobase-containing compound biosynthetic process	4	26.666666666666668	0.0710238617129258	RV3050C, RV3051C, RV1843C, RV3600C	8	294	1986	3.3775510204081636	0.9999966210671536	1.0	100.0
GOTERM_BP_FAT	GO:0019438~aromatic compound biosynthetic process	4	26.666666666666668	0.13895978136333287	RV3050C, RV3051C, RV1843C, RV3600C	8	387	1986	2.565891472868217	0.9999999999922552	1.0	100.0
GOTERM_BP_FAT	GO:0018130~heterocycle biosynthetic process	4	26.666666666666668	0.15274781032074047	RV3050C, RV3051C, RV1843C, RV3600C	8	403	1986	2.4640198511166256	0.9999999999995101	1.0	100.0
GOTERM_MF_FAT	GO:0000166~nucleotide binding	4	26.666666666666668	0.15672889907823312	RV3051C, RV1844C, RV1640C, RV3600C	7	560	2314	2.361224489795918	0.9999638562646909	1.0	100.0
GOTERM_MF_FAT	GO:1901265~nucleoside phosphate binding	4	26.666666666666668	0.15672889907823312	RV3051C, RV1844C, RV1640C, RV3600C	7	560	2314	2.361224489795918	0.9999638562646909	1.0	100.0
GOTERM_MF_FAT	GO:0005524~ATP binding	3	20.0	0.22837763669350628	RV3051C, RV1640C, RV3600C	7	352	2314	2.81737012987013	0.9999998244954591	1.0	100.0
GOTERM_MF_FAT	GO:0036094~small molecule binding	4	26.666666666666668	0.2324638065383854	RV3051C, RV1844C, RV1640C, RV3600C	7	665	2314	1.9883995703544575	0.9999998723761513	1.0	100.0
GOTERM_MF_FAT	GO:0032559~adenyl ribonucleotide binding	3	20.0	0.2334889792920772	RV3051C, RV1640C, RV3600C	7	357	2314	2.777911164465786	0.9999998822111437	1.0	100.0
GOTERM_MF_FAT	GO:0030554~adenyl nucleotide binding	3	20.0	0.23451361434811852	RV3051C, RV1640C, RV3600C	7	358	2314	2.770151636073424	0.9999998912953143	1.0	100.0
GOTERM_MF_FAT	GO:0035639~purine ribonucleoside triphosphate binding	3	20.0	0.2561956380074595	RV3051C, RV1640C, RV3600C	7	379	2314	2.616660384470411	0.9999999806124356	1.0	100.0
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	3	20.0	0.26139954069304305	RV3051C, RV1640C, RV3600C	7	384	2314	2.5825892857142856	0.9999999872774431	1.0	100.0
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	3	20.0	0.2634850449209023	RV3051C, RV1640C, RV3600C	7	386	2314	2.56920799407846	0.9999999892627224	1.0	100.0
GOTERM_MF_FAT	GO:0097159~organic cyclic compound binding	5	33.33333333333333	0.27441959517617076	RV3050C, RV3051C, RV1844C, RV1640C, RV3600C	7	1068	2314	1.5476190476190477	0.9999999956234416	1.0	100.0
GOTERM_MF_FAT	GO:1901363~heterocyclic compound binding	5	33.33333333333333	0.27441959517617076	RV3050C, RV3051C, RV1844C, RV1640C, RV3600C	7	1068	2314	1.5476190476190477	0.9999999956234416	1.0	100.0
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	3	20.0	0.2781405199207354	RV3051C, RV1640C, RV3600C	7	400	2314	2.479285714285714	0.9999999967851563	1.0	100.0
GOTERM_MF_FAT	GO:0097367~carbohydrate derivative binding	3	20.0	0.29604832930105957	RV3051C, RV1640C, RV3600C	7	417	2314	2.3782117163412124	0.9999999992878513	1.0	100.0
GOTERM_CC_FAT	GO:0005829~cytosol	5	33.33333333333333	0.438823385296898	RV3051C, RV1844C, RV2234, RV1640C, RV1843C	9	627	1514	1.3414850256955522	0.9999946161759027	1.0	100.0
GOTERM_BP_FAT	GO:0034645~cellular macromolecule biosynthetic process	3	20.0	0.44660770221786966	RV3050C, RV3051C, RV1640C	8	414	1986	1.7989130434782608	1.0	1.0	100.0
GOTERM_BP_FAT	GO:1901566~organonitrogen compound biosynthetic process	3	20.0	0.46705994949353324	RV1640C, RV1843C, RV3600C	8	429	1986	1.736013986013986	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043168~anion binding	3	20.0	0.508237575784569	RV3051C, RV1640C, RV3600C	7	620	2314	1.5995391705069122	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043167~ion binding	4	26.666666666666668	0.5626974745833221	RV3051C, RV1640C, RV1845C, RV3600C	7	1046	2314	1.2641354821087134	1.0	1.0	100.0
KEGG_PATHWAY	mtu01100:Metabolic pathways	4	26.666666666666668	0.7372701210090216	RV3051C, RV1844C, RV1843C, RV3600C	6	695	1099	1.0541966426858513	0.9999999715800666	1.0	100.0
Annotation Cluster 2	EnrichmentScore:0.3058009592792832
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0046872~metal ion binding	3	20.0	0.4615673622780736	RV1640C, RV1845C, RV3600C	7	574	2314	1.7277252364360378	0.9999999999999999	1.0	100.0
GOTERM_MF_FAT	GO:0043169~cation binding	3	20.0	0.46567944013703605	RV1640C, RV1845C, RV3600C	7	578	2314	1.7157686604053386	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043167~ion binding	4	26.666666666666668	0.5626974745833221	RV3051C, RV1640C, RV1845C, RV3600C	7	1046	2314	1.2641354821087134	1.0	1.0	100.0
