Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:1901363~heterocyclic compound binding	136	35.78947368421053	3.958893853753599e-05	RV0575C, RV0551C, RV0264C, RV3553, RV3798, RV3596C, RV1537, RV2847C, RV2506, RV0958, RV1148C, RV3597C, RV2373C, RV3557C, RV1625C, RV3602C, RV1229C, RV3561, RV3563, RV3094C, RV0154C, RV3564, RV2444C, RV1420, RV1300, RV1820, RV0902C, RV1945, RV0667, RV2063A, RV3895C, RV0389, RV3411C, RV2540C, RV2374C, RV3003C, RV0492C, RV1392, RV2724C, RV2534C, RV2413C, RV1599, RV3416, RV1638, RV0737, RV3854C, RV2250C, RV3721C, RV2791C, RV2440C, RV0211, RV3567C, RV2478C, RV3012C, RV3230C, RV2442C, RV3880C, RV1174C, RV1404, RV1407, RV1773C, RV1313C, RV0568, RV2130C, RV2166C, RV3279C, RV3659C, RV2063, RV3197, RV1299, RV2895C, RV2839C, RV1336, RV2124C, RV2788, RV1859, RV0998, RV0238, RV3917C, RV2870C, RV3202C, RV0691C, RV0197, RV3083, RV0196, RV0195, RV3488, RV1221, RV2533C, RV3660C, RV3124, RV3430C, RV2710, RV1743, RV0728C, RV1129C, RV0468, RV0982, RV0981, RV0860, RV3201C, RV3249C, RV3055, RV0561C, RV3731, RV3855, RV3219, RV1832, RV0339C, RV0327C, RV1558, RV0818, RV2837C, RV1667C, RV3765C, RV3248C, RV3066, RV2251, RV0366C, RV2252, RV3340, RV3860, RV0992C, RV2745C, RV0067C, RV1321, RV2676C, RV2640C, RV2930, RV3228, RV3106, RV3505, RV2812, RV2539C, RV3764C, RV0005	231	1068	2314	1.2756132756132756	0.01796869544254831	0.009065866925095742	0.8947100109483134
GOTERM_MF_FAT	GO:0097159~organic cyclic compound binding	136	35.78947368421053	3.958893853753599e-05	RV0575C, RV0551C, RV0264C, RV3553, RV3798, RV3596C, RV1537, RV2847C, RV2506, RV0958, RV1148C, RV3597C, RV2373C, RV3557C, RV1625C, RV3602C, RV1229C, RV3561, RV3563, RV3094C, RV0154C, RV3564, RV2444C, RV1420, RV1300, RV1820, RV0902C, RV1945, RV0667, RV2063A, RV3895C, RV0389, RV3411C, RV2540C, RV2374C, RV3003C, RV0492C, RV1392, RV2724C, RV2534C, RV2413C, RV1599, RV3416, RV1638, RV0737, RV3854C, RV2250C, RV3721C, RV2791C, RV2440C, RV0211, RV3567C, RV2478C, RV3012C, RV3230C, RV2442C, RV3880C, RV1174C, RV1404, RV1407, RV1773C, RV1313C, RV0568, RV2130C, RV2166C, RV3279C, RV3659C, RV2063, RV3197, RV1299, RV2895C, RV2839C, RV1336, RV2124C, RV2788, RV1859, RV0998, RV0238, RV3917C, RV2870C, RV3202C, RV0691C, RV0197, RV3083, RV0196, RV0195, RV3488, RV1221, RV2533C, RV3660C, RV3124, RV3430C, RV2710, RV1743, RV0728C, RV1129C, RV0468, RV0982, RV0981, RV0860, RV3201C, RV3249C, RV3055, RV0561C, RV3731, RV3855, RV3219, RV1832, RV0339C, RV0327C, RV1558, RV0818, RV2837C, RV1667C, RV3765C, RV3248C, RV3066, RV2251, RV0366C, RV2252, RV3340, RV3860, RV0992C, RV2745C, RV0067C, RV1321, RV2676C, RV2640C, RV2930, RV3228, RV3106, RV3505, RV2812, RV2539C, RV3764C, RV0005	231	1068	2314	1.2756132756132756	0.01796869544254831	0.009065866925095742	0.8947100109483134
GOTERM_BP_FAT	GO:0097659~nucleic acid-templated transcription	34	8.947368421052632	0.0007735513059467477	RV3055, RV3855, RV2788, RV3219, RV3416, RV0818, RV2506, RV0958, RV0737, RV2250C, RV0238, RV3597C, RV0691C, RV3557C, RV0195, RV3066, RV2132, RV2745C, RV0067C, RV1221, RV1222, RV2533C, RV3124, RV2640C, RV2710, RV1404, RV1407, RV1129C, RV1773C, RV0667, RV2166C, RV0300, RV0981, RV2374C	210	182	1986	1.766718995290424	0.5077887065480123	0.1569268507951907	15.589894565897769
GOTERM_BP_FAT	GO:0006355~regulation of transcription, DNA-templated	32	8.421052631578947	0.000926555500515992	RV3055, RV3855, RV2788, RV3219, RV3416, RV0818, RV2506, RV0958, RV0737, RV2250C, RV0238, RV3597C, RV0691C, RV3557C, RV0195, RV3066, RV2132, RV2745C, RV0067C, RV1222, RV2533C, RV3124, RV2640C, RV2710, RV1404, RV1407, RV1129C, RV1773C, RV2166C, RV0300, RV0981, RV2374C	210	169	1986	1.7907016060862215	0.57220804021997	0.1569268507951907	15.589894565897769
GOTERM_BP_FAT	GO:1903506~regulation of nucleic acid-templated transcription	32	8.421052631578947	0.000926555500515992	RV3055, RV3855, RV2788, RV3219, RV3416, RV0818, RV2506, RV0958, RV0737, RV2250C, RV0238, RV3597C, RV0691C, RV3557C, RV0195, RV3066, RV2132, RV2745C, RV0067C, RV1222, RV2533C, RV3124, RV2640C, RV2710, RV1404, RV1407, RV1129C, RV1773C, RV2166C, RV0300, RV0981, RV2374C	210	169	1986	1.7907016060862215	0.57220804021997	0.1569268507951907	15.589894565897769
GOTERM_BP_FAT	GO:2001141~regulation of RNA biosynthetic process	32	8.421052631578947	0.0010285511921512584	RV3055, RV3855, RV2788, RV3219, RV3416, RV0818, RV2506, RV0958, RV0737, RV2250C, RV0238, RV3597C, RV0691C, RV3557C, RV0195, RV3066, RV2132, RV2745C, RV0067C, RV1222, RV2533C, RV3124, RV2640C, RV2710, RV1404, RV1407, RV1129C, RV1773C, RV2166C, RV0300, RV0981, RV2374C	210	170	1986	1.780168067226891	0.6104011857588414	0.1569268507951907	15.589894565897769
GOTERM_BP_FAT	GO:0051252~regulation of RNA metabolic process	32	8.421052631578947	0.001262457414681362	RV3055, RV3855, RV2788, RV3219, RV3416, RV0818, RV2506, RV0958, RV0737, RV2250C, RV0238, RV3597C, RV0691C, RV3557C, RV0195, RV3066, RV2132, RV2745C, RV0067C, RV1222, RV2533C, RV3124, RV2640C, RV2710, RV1404, RV1407, RV1129C, RV1773C, RV2166C, RV0300, RV0981, RV2374C	210	172	1986	1.759468438538206	0.6856164578373255	0.1569268507951907	15.589894565897769
GOTERM_BP_FAT	GO:0019219~regulation of nucleobase-containing compound metabolic process	33	8.68421052631579	0.001335245369474012	RV3055, RV3855, RV2788, RV3219, RV3416, RV0818, RV2506, RV1638, RV0958, RV0737, RV2250C, RV0238, RV3597C, RV0691C, RV3557C, RV0195, RV3066, RV2132, RV2745C, RV0067C, RV1222, RV2533C, RV3124, RV2640C, RV2710, RV1404, RV1407, RV1129C, RV1773C, RV2166C, RV0300, RV0981, RV2374C	210	180	1986	1.733809523809524	0.7059195898620396	0.1569268507951907	15.589894565897769
GOTERM_BP_FAT	GO:0032774~RNA biosynthetic process	34	8.947368421052632	0.00140209436297887	RV3055, RV3855, RV2788, RV3219, RV3416, RV0818, RV2506, RV0958, RV0737, RV2250C, RV0238, RV3597C, RV0691C, RV3557C, RV0195, RV3066, RV2132, RV2745C, RV0067C, RV1221, RV1222, RV2533C, RV3124, RV2640C, RV2710, RV1404, RV1407, RV1129C, RV1773C, RV0667, RV2166C, RV0300, RV0981, RV2374C	210	188	1986	1.7103343465045593	0.7234101751091151	0.1569268507951907	15.589894565897769
GOTERM_BP_FAT	GO:2000112~regulation of cellular macromolecule biosynthetic process	34	8.947368421052632	0.00140209436297887	RV3055, RV3855, RV2788, RV3219, RV3416, RV0818, RV2506, RV0958, RV0737, RV2250C, RV0238, RV3597C, RV0691C, RV3557C, RV0195, RV3066, RV2132, RV2745C, RV0067C, RV1222, RV3012C, RV2533C, RV3124, RV2640C, RV2710, RV1404, RV1407, RV1129C, RV1773C, RV2063A, RV2166C, RV0300, RV0981, RV2374C	210	188	1986	1.7103343465045593	0.7234101751091151	0.1569268507951907	15.589894565897769
