Annotation Cluster 1	EnrichmentScore:1.816339483931968
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0009628~response to abiotic stimulus	6	14.285714285714285	0.0002481495745643098	RV3088, RV2503C, RV3087, RV3089, RV3086, RV1161	14	98	1986	8.685131195335277	0.038692246818132436	0.013151927451908418	1.290377787734411
GOTERM_BP_FAT	GO:0036293~response to decreased oxygen levels	4	9.523809523809524	0.006332569924984753	RV3088, RV2503C, RV3087, RV1161	14	61	1986	9.302107728337237	0.6358102318202683	0.20526684255536579	20.139388326186833
GOTERM_BP_FAT	GO:0070482~response to oxygen levels	4	9.523809523809524	0.006934113676154955	RV3088, RV2503C, RV3087, RV1161	14	63	1986	9.006802721088436	0.6692406975449259	0.20526684255536579	20.139388326186833
GOTERM_BP_FAT	GO:0071731~response to nitric oxide	3	7.142857142857142	0.007745918586994935	RV3088, RV3087, RV1161	14	21	1986	20.265306122448976	0.7095708934215328	0.20526684255536579	20.139388326186833
GOTERM_BP_FAT	GO:1901698~response to nitrogen compound	3	7.142857142857142	0.01006809219833525	RV3088, RV3087, RV1161	14	24	1986	17.732142857142858	0.7999003520063794	0.22868952279075783	22.437462613432842
GOTERM_BP_FAT	GO:0000302~response to reactive oxygen species	3	7.142857142857142	0.016529541575244954	RV3088, RV3087, RV1161	14	31	1986	13.72811059907834	0.9293601557894354	0.3285246388079935	32.23260607172766
GOTERM_BP_FAT	GO:1901700~response to oxygen-containing compound	3	7.142857142857142	0.02809272707144043	RV3088, RV3087, RV1161	14	41	1986	10.379790940766549	0.9892267114379149	0.49630484492878096	48.694060257163414
GOTERM_BP_FAT	GO:0010035~response to inorganic substance	3	7.142857142857142	0.0499224666576125	RV3088, RV3087, RV1161	14	56	1986	7.599489795918367	0.9997091368580611	0.7234906275549019	70.98398609972621
GOTERM_BP_FAT	GO:0001666~response to hypoxia	3	7.142857142857142	0.05319258835163797	RV3088, RV2503C, RV3087	14	58	1986	7.337438423645319	0.9998318866577598	0.7234906275549019	70.98398609972621
GOTERM_BP_FAT	GO:0006979~response to oxidative stress	3	7.142857142857142	0.0599623121072095	RV3088, RV3087, RV1161	14	62	1986	6.86405529953917	0.9999462847951387	0.7234906275549019	70.98398609972621
KEGG_PATHWAY	mtu01100:Metabolic pathways	10	23.809523809523807	0.16675575836618023	RV3088, RV2503C, RV3087, RV1284, RV2504C, RV0147, RV2157C, RV2158C, RV2702, RV1161	12	695	1099	1.3177458033573142	0.9927414032852938	0.9338322468506092	93.38322468506092
Annotation Cluster 2	EnrichmentScore:1.3922383818587647
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0010447~response to acidic pH	4	9.523809523809524	0.00011695288381066522	RV3088, RV3087, RV3089, RV3086	14	16	1986	35.464285714285715	0.01842474624067847	0.013151927451908418	1.290377787734411
GOTERM_BP_FAT	GO:0009268~response to pH	4	9.523809523809524	0.00020007804382987752	RV3088, RV3087, RV3089, RV3086	14	19	1986	29.86466165413534	0.03131480097002115	0.013151927451908418	1.290377787734411
GOTERM_BP_FAT	GO:0009628~response to abiotic stimulus	6	14.285714285714285	0.0002481495745643098	RV3088, RV2503C, RV3087, RV3089, RV3086, RV1161	14	98	1986	8.685131195335277	0.038692246818132436	0.013151927451908418	1.290377787734411
GOTERM_BP_FAT	GO:0006066~alcohol metabolic process	3	7.142857142857142	0.08584024693718081	RV3088, RV3087, RV3409C	14	76	1986	5.599624060150376	0.9999993653804711	0.780177865023506	76.54575279475907
GOTERM_BP_FAT	GO:1901615~organic hydroxy compound metabolic process	3	7.142857142857142	0.13430208164968882	RV3088, RV3087, RV3409C	14	99	1986	4.298701298701299	0.9999999998900353	0.780177865023506	76.54575279475907
GOTERM_BP_FAT	GO:0051701~interaction with host	4	9.523809523809524	0.14306645859221484	RV3088, RV3087, RV3089, RV3086	14	205	1986	2.76794425087108	0.999999999978193	0.780177865023506	76.54575279475907
GOTERM_BP_FAT	GO:0008610~lipid biosynthetic process	4	9.523809523809524	0.14462040131609952	RV3088, RV3087, RV3409C, RV3089	14	206	1986	2.7545076282940357	0.9999999999836596	0.780177865023506	76.54575279475907
GOTERM_BP_FAT	GO:0044403~symbiosis, encompassing mutualism through parasitism	4	9.523809523809524	0.1670254644373153	RV3088, RV3087, RV3089, RV3086	14	220	1986	2.5792207792207793	0.9999999999997599	0.780177865023506	76.54575279475907
GOTERM_BP_FAT	GO:0044419~interspecies interaction between organisms	4	9.523809523809524	0.1670254644373153	RV3088, RV3087, RV3089, RV3086	14	220	1986	2.5792207792207793	0.9999999999997599	0.780177865023506	76.54575279475907
