Annotation Cluster 1	EnrichmentScore:0.6790280537678535
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0046914~transition metal ion binding	6	12.5	0.051203594575281175	RV1086, RV1442, RV1862, RV2583C, RV2711, RV2204C	27	185	2314	2.7795795795795795	0.9992922526814586	1.0	100.0
GOTERM_MF_FAT	GO:0030145~manganese ion binding	3	6.25	0.08951756193706518	RV1086, RV2583C, RV2711	27	45	2314	5.71358024691358	0.9999976040535228	1.0	100.0
GOTERM_MF_FAT	GO:0043167~ion binding	14	29.166666666666668	0.38172536081892927	RV1086, RV0794C, RV2368C, RV1782, RV1442, RV0752C, RV0853C, RV1862, RV2711, RV2115C, RV2204C, RV1977, RV1028C, RV2583C	27	1046	2314	1.1470859004319807	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0046872~metal ion binding	8	16.666666666666664	0.4755600415426863	RV1086, RV1442, RV0853C, RV1862, RV2583C, RV2711, RV2204C, RV1977	27	574	2314	1.1944767066718285	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043169~cation binding	8	16.666666666666664	0.4838320849926423	RV1086, RV1442, RV0853C, RV1862, RV2583C, RV2711, RV2204C, RV1977	27	578	2314	1.1862104318851723	1.0	1.0	100.0
Annotation Cluster 2	EnrichmentScore:0.589128698913802
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0050662~coenzyme binding	5	10.416666666666668	0.12047236746683877	RV0751C, RV0794C, RV1442, RV0752C, RV0853C	27	171	2314	2.505956248646307	0.9999999797497959	1.0	100.0
GOTERM_MF_FAT	GO:0048037~cofactor binding	5	10.416666666666668	0.2937078643611838	RV0751C, RV0794C, RV1442, RV0752C, RV0853C	27	245	2314	1.7490551776266061	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0036094~small molecule binding	9	18.75	0.48284849588045414	RV0751C, RV1028C, RV0794C, RV2368C, RV1782, RV0752C, RV0853C, RV2583C, RV2115C	27	665	2314	1.1598997493734335	1.0	1.0	100.0
Annotation Cluster 3	EnrichmentScore:0.3710153706145245
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0097159~organic cyclic compound binding	17	35.41666666666667	0.0831822280926835	RV0751C, RV0794C, RV2368C, RV1782, RV1442, RV0752C, RV0853C, RV2711, RV1019, RV2115C, RV2405, RV1041C, RV1828, RV1028C, RV2175C, RV2583C, RV0385	27	1068	2314	1.3641975308641976	0.999993761830027	1.0	100.0
GOTERM_MF_FAT	GO:1901363~heterocyclic compound binding	17	35.41666666666667	0.0831822280926835	RV0751C, RV0794C, RV2368C, RV1782, RV1442, RV0752C, RV0853C, RV2711, RV1019, RV2115C, RV2405, RV1041C, RV1828, RV1028C, RV2175C, RV2583C, RV0385	27	1068	2314	1.3641975308641976	0.999993761830027	1.0	100.0
GOTERM_MF_FAT	GO:0043167~ion binding	14	29.166666666666668	0.38172536081892927	RV1086, RV0794C, RV2368C, RV1782, RV1442, RV0752C, RV0853C, RV1862, RV2711, RV2115C, RV2204C, RV1977, RV1028C, RV2583C	27	1046	2314	1.1470859004319807	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0000166~nucleotide binding	8	16.666666666666664	0.4465064975252525	RV0751C, RV1028C, RV0794C, RV2368C, RV1782, RV0752C, RV2583C, RV2115C	27	560	2314	1.2243386243386243	1.0	1.0	100.0
GOTERM_MF_FAT	GO:1901265~nucleoside phosphate binding	8	16.666666666666664	0.4465064975252525	RV0751C, RV1028C, RV0794C, RV2368C, RV1782, RV0752C, RV2583C, RV2115C	27	560	2314	1.2243386243386243	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0036094~small molecule binding	9	18.75	0.48284849588045414	RV0751C, RV1028C, RV0794C, RV2368C, RV1782, RV0752C, RV0853C, RV2583C, RV2115C	27	665	2314	1.1598997493734335	1.0	1.0	100.0
