Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005576~extracellular region	7	25.925925925925924	0.012715300637524275	RV0506, RV2284, RV2220, RV0583C, RV1541C, RV0312, RV0309	10	398	1514	2.6628140703517587	0.08568289307523025	0.08900710446266993	8.900710446266993
GOTERM_MF_FAT	GO:0016880~acid-ammonia (or amide) ligase activity	2	7.4074074074074066	0.018033021102504744	RV2438C, RV2220	8	6	2314	96.41666666666667	0.7398826022858483	0.41646144355725184	41.08335862118836
GOTERM_BP_FAT	GO:0071555~cell wall organization	3	11.11111111111111	0.01876916757461465	RV2864C, RV0583C, RV1433	8	63	1986	11.821428571428571	0.9239881455916479	1.0	100.0
GOTERM_MF_FAT	GO:0071972~peptidoglycan L,D-transpeptidase activity	2	7.4074074074074066	0.021011257173723194	RV2864C, RV1433	8	7	2314	82.64285714285714	0.7922458775376646	0.41646144355725184	41.08335862118836
GOTERM_BP_FAT	GO:0045229~external encapsulating structure organization	3	11.11111111111111	0.021707393228899453	RV2864C, RV0583C, RV1433	8	68	1986	10.95220588235294	0.9494463033919596	1.0	100.0
GOTERM_MF_FAT	GO:0070008~serine-type exopeptidase activity	2	7.4074074074074066	0.03284691188525669	RV2864C, RV1433	8	11	2314	52.59090909090909	0.9155408918466388	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0004185~serine-type carboxypeptidase activity	2	7.4074074074074066	0.03284691188525669	RV2864C, RV1433	8	11	2314	52.59090909090909	0.9155408918466388	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0004180~carboxypeptidase activity	2	7.4074074074074066	0.03578658692493218	RV2864C, RV1433	8	12	2314	48.208333333333336	0.9325760056477639	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0097159~organic cyclic compound binding	7	25.925925925925924	0.04066636376918192	RV2438C, RV2864C, RV2220, RV3366, RV0312, RV1469, RV3291C	8	1068	2314	1.8958333333333333	0.953681367565314	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:1901363~heterocyclic compound binding	7	25.925925925925924	0.04066636376918192	RV2438C, RV2864C, RV2220, RV3366, RV0312, RV1469, RV3291C	8	1068	2314	1.8958333333333333	0.953681367565314	0.41646144355725184	41.08335862118836
GOTERM_BP_FAT	GO:0071554~cell wall organization or biogenesis	3	11.11111111111111	0.06226181889879417	RV2864C, RV0583C, RV1433	8	120	1986	6.20625	0.9998403762580149	1.0	100.0
GOTERM_MF_FAT	GO:0005524~ATP binding	4	14.814814814814813	0.0761048307383346	RV2438C, RV2220, RV0312, RV1469	8	352	2314	3.2869318181818183	0.997141886121654	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0032559~adenyl ribonucleotide binding	4	14.814814814814813	0.07884100566925532	RV2438C, RV2220, RV0312, RV1469	8	357	2314	3.240896358543417	0.9977051189698767	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0030554~adenyl nucleotide binding	4	14.814814814814813	0.07939416653565501	RV2438C, RV2220, RV0312, RV1469	8	358	2314	3.2318435754189947	0.9978048941627341	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0008236~serine-type peptidase activity	2	7.4074074074074066	0.08740654774291977	RV2864C, RV1433	8	30	2314	19.28333333333333	0.9988504608027322	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0017171~serine hydrolase activity	2	7.4074074074074066	0.08740654774291977	RV2864C, RV1433	8	30	2314	19.28333333333333	0.9988504608027322	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0008238~exopeptidase activity	2	7.4074074074074066	0.08740654774291977	RV2864C, RV1433	8	30	2314	19.28333333333333	0.9988504608027322	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0043168~anion binding	5	18.51851851851852	0.08798420894261273	RV2438C, RV2864C, RV2220, RV0312, RV1469	8	620	2314	2.3326612903225805	0.9989030811757028	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0035639~purine ribonucleoside triphosphate binding	4	14.814814814814813	0.09146192854871556	RV2438C, RV2220, RV0312, RV1469	8	379	2314	3.052770448548813	0.9991732167407193	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	4	14.814814814814813	0.09446072001513421	RV2438C, RV2220, RV0312, RV1469	8	384	2314	3.0130208333333335	0.999352649139256	0.41646144355725184	41.08335862118836
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	4	14.814814814814813	0.09567357487126056	RV2438C, RV2220, RV0312, RV1469	8	386	2314	2.9974093264248705	0.999413772229884	0.41646144355725184	41.08335862118836
