"ERR2103718_sorted"	"ERR2103722_sorted"	"ERR2103723_sorted"
"gene:Rv0001"	2116.83	3058.75	2405.83
"putative_sRNA:m1124_1250"	32	46	36
"putative_UTR:p1525_1571"	23.5	48.75	44.83
"putative_sRNA:m1664_2306"	281.33	259.83	250
"putative_UTR:p1950_2051"	48.5	66.83	38.17
"gene:Rv0002"	634.83	706.67	534.83
"gene:Rv0003"	445.5	587.83	407.5
"gene:Rv0004"	183.83	213.83	149.5
"putative_UTR:p4998_5104"	38.67	57	31.5
"putative_UTR:p5194_5239"	86.33	141.58	89.25
"gene:Rv0005"	2807.37	4532.58	3123.17
"putative_UTR:p7268_7301"	85.62	148.75	88.75
"gene:Rv0006"	2906.62	3763.58	2627.33
"putative_sRNA:m7452_8208"	142	266.83	177.67
"putative_UTR:p9819_9913"	158.67	184.92	135
"gene:Rv0007"	537.83	684.5	453.67
"putative_UTR:p10829_10886"	60	76.17	56.33
"putative_UTR:p10974_11111"	72.5	123.17	140.83
"gene:Rv0008c"	41.5	50	50.5
"putative_sRNA:p12067_12345"	8	11.5	13
"gene:Rv0009"	1156.42	1678.83	1364.83
"putative_UTR:m12988_13132"	45.5	68.33	49.5
"putative_UTR:p13017_13979"	1031.25	1253.83	1031.08
"gene:Rv0010c"	117.75	176.17	129.33
"putative_UTR:m13559_13713"	142.67	179	150.5
"gene:Rv0011c"	259	366.83	295
"putative_UTR:m13996_14020"	51.08	88.67	62.67
"gene:Rv0012"	282.83	337.17	285.37
"putative_UTR:p14878_14913"	23.67	31.17	30.53
"gene:Rv0013"	254.33	306.83	255.37
"putative_sRNA:m15061_15317"	49.33	74.5	55
"putative_UTR:m15374_15589"	124.92	132.5	101.17
"gene:Rv0014c"	1144.25	1462.17	996.92
"putative_UTR:p15613_16094"	299.5	332.83	339.5
"gene:Rv0015c"	456.83	663.7	457.83
"putative_sRNA:p17599_17983"	9.5	14	9
"gene:Rv0016c"	663.67	934.53	724.33
"gene:Rv0017c"	787	1045.17	702.42
"gene:Rv0018c"	680.5	930	671.67
"putative_UTR:m23182_23269"	48.5	70.5	47.5
"gene:Rv0019c"	194.08	333.17	239
"putative_UTR:m23738_23860"	175.08	262.67	236.17
"gene:Rv0020c"	1241.83	2038.17	1563.42
"putative_sRNA:p23868_24321"	44	72.5	63.5
"putative_sRNA:p24670_25240"	29	42	24.5
"putative_sRNA:p25278_25392"	2	7.5	3.5
"putative_UTR:m25445_25504"	55.5	111.17	93.58
"putative_sRNA:p25740_25965"	92.83	132.83	115.83
"gene:Rv0021c"	92.5	144.33	117.5
"putative_sRNA:p26134_26382"	12.5	18	11
