"SRR1917694_sorted"	"SRR1917695_sorted"	"SRR1917696_sorted"	"SRR1917697_sorted"	"SRR1917698_sorted"	"SRR1917699_sorted"	"SRR1917700_sorted"	"SRR1917701_sorted"	"SRR1917702_sorted"	"SRR1917703_sorted"	"SRR1917704_sorted"	"SRR1917705_sorted"	"SRR1917706_sorted"	"SRR1917707_sorted"	"SRR1917708_sorted"	"SRR1917709_sorted"	"SRR1917710_sorted"	"SRR1917711_sorted"	"SRR1917712_sorted"	"SRR1917713_sorted"	"SRR1917714_sorted"	"SRR1917715_sorted"
"gene:Rv0001"	2033	1003.5	2427.5	9656	8504.5	5836.5	12122.5	6877.5	3565	14606	10945	3162.5	1900	11996.5	9552.5	8197	3609	4365	8337	14327.5	3417.5	2977
"putative_sRNA:m1124_1250"	129	97	119	296	368.5	403.5	542	259	183.5	560.5	332.5	107	34	354	374	363	140	156	243	482.5	101	83
"putative_UTR:p1525_1571"	33	10.5	45.5	186	191.5	124	238.5	137.5	83	308.5	240.5	54.5	19	160.5	169	174.5	72.33	71	223	420.5	72.5	57
"putative_sRNA:m1664_2306"	293	242	386	425	484.5	308.5	1047	586	370.5	1008.5	744.5	175	103	790	1007	906	384	560	623	967.5	278	277
"putative_UTR:p1950_2051"	102.5	43.5	81	283.5	253.5	230	401.5	224	131	533	395	156.5	42	201	194	187.5	66.33	102.5	345.5	510	75	46
"gene:Rv0002"	855	308	563	2074	2305.5	1561	3111	1697.5	1122.5	3977.5	2859.5	1318	215.5	1389.5	1356	1147.5	584.33	810.5	3005.5	4876.5	597.5	393
"gene:Rv0003"	297.5	121.5	242.5	759.33	1096.83	743.17	1167	646	452	1683.83	1296	568.67	96	503.5	547.83	398.5	215	237	1234	1765.83	206.5	160
"gene:Rv0004"	260.67	67.83	198	756.33	1075.58	751	1085.75	556.08	381.17	1407.5	988.33	485.5	77.33	446.92	635.08	408.83	233.17	160.5	882.42	1454.83	106.42	76.5
"putative_UTR:p4998_5104"	59.17	22	52.5	211.17	247.42	187	303.92	171.25	102.5	346.83	272.83	128.33	21.17	105.25	177.92	70.33	48.17	45.5	206.25	406.33	23.75	24.5
"putative_UTR:p5194_5239"	368.83	185.83	404.5	1009.5	1407.92	994.5	1344.08	601.25	446.83	1216.67	901.83	228.17	112.83	809.58	1109.08	1044.83	378.5	331.83	1058.08	1564.33	257.92	161.5
"gene:Rv0005"	6701	2973.17	6236.5	18811.83	25248.91	18948.83	23488.41	11352.42	7762.67	21610	17317.5	6570.5	2521	14808.42	24306.75	16424.5	7356.83	6320.5	21364.91	34522.66	3903.42	2979.33
"putative_UTR:p7268_7301"	167.17	53.83	121	432.66	570.16	422	538.66	253	170.67	553.83	464	160.17	52.33	272.17	495.66	300.5	125.17	114.83	512.66	771.5	76.5	68.33
"gene:Rv0006"	5056.17	1990.83	4181.17	16583.5	23389.83	17743.66	20980.49	10270.16	6953.5	21807.83	18007.66	6825	2002.5	11627.33	19717.16	11929.5	5532.67	5033.5	17658.16	31091.83	3028.83	2354.83
"putative_sRNA:m7452_8208"	411	286	603	1128	1598	1185	1279	684	399	1816	1527	552	197	1227	1349	1319	641	576	1689	2319	411	253
"putative_UTR:p9819_9913"	179	63.5	185.67	664.33	1044.16	780.66	1077.83	528.17	337.33	1061	779.16	244.33	85.67	509.67	849	512.5	251	264.17	589.5	1012.83	100.83	58.5
"gene:Rv0007"	1260.83	442	1124.33	4956.16	6772.5	5317.33	7221.33	3584.67	2110.83	7303.16	5282.16	2492.17	773.17	4054.5	6961.83	3859.83	1895	1855.5	4447	7458.16	864.5	569.5
"putative_UTR:p10829_10886"	95.83	36.5	73.67	370.33	392.83	344.67	587	276	147.5	517.17	358.5	154.83	58	279.83	390.33	208.83	89.5	107.33	371	757.83	50.67	35
"putative_UTR:p10974_11111"	260.33	98.5	149.17	649.33	861.83	657.67	877	519.5	275.5	1796.17	1297	470.83	57.5	422.33	349.83	263.33	110	193.33	1263	1975.33	181.17	130
