"Status"	"SRR1917694_sorted"	"SRR1917695_sorted"	"SRR1917696_sorted"	"SRR1917697_sorted"	"SRR1917698_sorted"	"SRR1917699_sorted"	"SRR1917700_sorted"	"SRR1917701_sorted"	"SRR1917702_sorted"	"SRR1917703_sorted"	"SRR1917704_sorted"	"SRR1917705_sorted"	"SRR1917706_sorted"	"SRR1917707_sorted"	"SRR1917708_sorted"	"SRR1917709_sorted"	"SRR1917710_sorted"	"SRR1917711_sorted"	"SRR1917712_sorted"	"SRR1917713_sorted"	"SRR1917714_sorted"	"SRR1917715_sorted"
"1"	"Assigned"	6925072	3240775	5922155	11799387	15627277	12000383	28788750	15547133	9188096	18417498	13803865	5592333	1881648	11172662	14862138	14381681	7029866	8953850	13580123	23613845	6233938	6465256
"2"	"Unassigned_Unmapped"	740450	429132	548068	381034	460460	421534	1202047	664263	364832	748055	477486	219616	175847	1201053	3169601	6344331	3080578	1953219	629811	1098264	601428	378743
"3"	"Unassigned_Read_Type"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"Unassigned_Singleton"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	"Unassigned_MappingQuality"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"Unassigned_Chimera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7"	"Unassigned_FragmentLength"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	"Unassigned_Duplicate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	"Unassigned_MultiMapping"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"10"	"Unassigned_Secondary"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11"	"Unassigned_NonSplit"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12"	"Unassigned_NoFeatures"	441285	190512	412719	649038	874127	649270	1553621	777300	545543	956828	707765	301372	103449	693076	811406	917264	466992	607423	838799	1247546	306830	263890
"13"	"Unassigned_Overlapping_Length"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14"	"Unassigned_Ambiguity"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
