"SRR5689224_sorted"	"SRR5689225_sorted"	"SRR5689226_sorted"	"SRR5689227_sorted"	"SRR5689228_sorted"	"SRR5689229_sorted"	"SRR5689230_sorted"	"SRR5689231_sorted"	"SRR5689232_sorted"	"SRR5689233_sorted"	"SRR5689234_sorted"	"SRR5689235_sorted"
"gene:Rv0001"	5292.33	3990.92	534	773.83	6220	1975.33	948	623.33	242	547.5	1666.83	2470.33
"putative_sRNA:m1124_1250"	377	317.83	290.5	299	448.5	78	112.5	85.25	162.5	189	67.17	188
"putative_UTR:p1525_1571"	173.08	112.42	18.5	17.17	107.83	30	39.5	57	5	8.5	28	51.17
"putative_sRNA:m1664_2306"	383	311.5	832.5	999.5	736.25	98.83	320.25	186.5	1850	1247	57	408.33
"putative_UTR:p1950_2051"	178.5	154.58	42.5	58	197.83	48.5	63.33	59.83	10.33	17	36.58	71.33
"gene:Rv0002"	2188.92	1978.58	307	410.5	1531.33	415.75	819.33	775.58	102.17	160	486.08	684.75
"gene:Rv0003"	1391.92	1210.67	192.5	286.5	635	149	336.5	380.75	90.5	104.33	201.17	447.92
"gene:Rv0004"	883.67	811.03	126.33	169.83	401.83	102.5	381.5	329	107	141	151	396.25
"putative_UTR:p4998_5104"	237.5	201.87	49.5	46.17	128.33	22.5	74.33	66.17	28.33	31.17	38.67	102.08
"putative_UTR:p5194_5239"	1368.92	1281.32	666.58	913.25	1301.53	506.92	548.67	477.83	523.5	574.75	601.83	966
"gene:Rv0005"	39078.67	35092.97	11638.16	16385.16	22931.94	7642.75	15463.58	13045.28	13920.11	13963.74	11914.58	23418.83
"putative_UTR:p7268_7301"	1349.92	1236.99	451.41	570.16	600.16	178.92	730.58	595.45	771.86	813.16	284.16	592.91
"gene:Rv0006"	35134.63	30440.78	9103.33	12445.33	11961.33	2631	19657.39	17878.31	16486.86	15259.07	5399.16	11078.58
"putative_sRNA:m7452_8208"	1487.58	1422.67	1278.5	1630.83	1239.17	468.83	464.17	296.17	1133.67	897.83	648.67	2186.83
"putative_UTR:p9819_9913"	1592.46	1409.08	422.75	624.08	466	107.08	1080.15	1013.61	876.08	835.08	212.83	356.67
"gene:Rv0007"	5251.13	4679.23	1460.75	2141.83	1829.16	421.25	3796.98	3479.61	2731.91	2430.33	758.83	1471.67
"putative_UTR:p10829_10886"	495.25	416.67	112.67	143.5	200	44.17	188.08	176.67	219.83	202.08	70	148.83
"putative_UTR:p10974_11111"	1049.83	962.58	235.67	254.5	1021.33	235.17	280.5	274.33	202.67	175.5	151.83	261.5
"gene:Rv0008c"	396.83	328.83	324.5	452	889.83	403.5	274.17	229.5	105	105	346	368.33
