Annotation Cluster 1	EnrichmentScore:1.5669654123450865
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mtu00190:Oxidative phosphorylation	12	4.166666666666666	5.284259477340391e-05	RV2196, RV0247C, RV1310, RV3043C, RV1311, RV2200C, RV1307, RV2193, RV1308, RV2194, RV2195, RV1309	66	48	1099	4.162878787878788	0.0037975383952357777	0.003857509418458485	0.3857509418458485
GOTERM_MF_FAT	GO:0015002~heme-copper terminal oxidase activity	4	1.3888888888888888	0.0008652106501962674	RV3043C, RV2199C, RV2200C, RV2193	143	4	2314	16.18181818181818	0.2696324755861199	0.03489682955791612	3.3839349874342908
GOTERM_MF_FAT	GO:0016676~oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	4	1.3888888888888888	0.0008652106501962674	RV3043C, RV2199C, RV2200C, RV2193	143	4	2314	16.18181818181818	0.2696324755861199	0.03489682955791612	3.3839349874342908
GOTERM_MF_FAT	GO:0004129~cytochrome-c oxidase activity	4	1.3888888888888888	0.0008652106501962674	RV3043C, RV2199C, RV2200C, RV2193	143	4	2314	16.18181818181818	0.2696324755861199	0.03489682955791612	3.3839349874342908
GOTERM_MF_FAT	GO:0016675~oxidoreductase activity, acting on a heme group of donors	4	1.3888888888888888	0.0020657257999768543	RV3043C, RV2199C, RV2200C, RV2193	143	5	2314	12.945454545454544	0.527932849090804	0.07498584653915981	7.271354815918528
GOTERM_CC_FAT	GO:0070469~respiratory chain	5	1.7361111111111112	0.01867691390734041	RV2196, RV3043C, RV2200C, RV2194, RV2195	110	15	1514	4.587878787878788	0.6248328282015316	0.19423990463634028	19.423990463634027
GOTERM_BP_FAT	GO:0022904~respiratory electron transport chain	5	1.7361111111111112	0.025475769523841136	RV2196, RV0247C, RV3043C, RV2200C, RV2193	138	17	1986	4.232736572890025	0.9999999940598268	0.9349607415249698	93.49607415249697
GOTERM_BP_FAT	GO:0022900~electron transport chain	5	1.7361111111111112	0.031045413044979063	RV2196, RV0247C, RV3043C, RV2200C, RV2193	138	18	1986	3.9975845410628015	0.999999999911547	0.9679024202649684	96.79024202649684
GOTERM_MF_FAT	GO:0009055~electron carrier activity	6	2.083333333333333	0.033298502930039414	RV0247C, RV3198A, RV3043C, RV2199C, RV2200C, RV2193	143	30	2314	3.2363636363636363	0.9999954171252264	0.5494252983456503	53.277604688063064
GOTERM_BP_FAT	GO:0045333~cellular respiration	5	1.7361111111111112	0.48802248057739517	RV2196, RV0247C, RV3043C, RV2200C, RV2193	138	52	1986	1.3837792642140467	1.0	1.0	100.0
COG_ONTOLOGY	Energy production and conversion	5	1.7361111111111112	0.5646914089068762	RV2196, RV1138C, RV3043C, RV2200C, RV2195	60	52	782	1.253205128205128	0.9999999403040639	1.0	100.0
GOTERM_BP_FAT	GO:0015980~energy derivation by oxidation of organic compounds	5	1.7361111111111112	0.6433657096750658	RV2196, RV0247C, RV3043C, RV2200C, RV2193	138	63	1986	1.1421670117322291	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0009060~aerobic respiration	3	1.0416666666666665	0.6928005944438829	RV0247C, RV3043C, RV2193	138	34	1986	1.2698209718670075	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0006091~generation of precursor metabolites and energy	5	1.7361111111111112	0.7916821767544449	RV2196, RV0247C, RV3043C, RV2200C, RV2193	138	77	1986	0.9345002823263694	1.0	1.0	100.0
GOTERM_BP_FAT	GO:0055114~oxidation-reduction process	5	1.7361111111111112	0.9254944510688936	RV2196, RV0247C, RV3043C, RV2200C, RV2193	138	100	1986	0.7195652173913043	1.0	1.0	100.0
