Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005576~extracellular region	21	28.767123287671232	0.00015504023025741302	RV2525C, RV3310, RV0363C, RV3267, RV0598C, RV1477, RV3320C, RV1252C, RV3810, RV1436, RV1932, RV0129C, RV3209, RV1435C, RV1157C, RV1158C, RV0996, RV0040C, RV3090, RV3413C, RV0063	37	398	1514	2.159038435420345	0.007260966640525224	0.007286890822098412	0.7286890822098412
GOTERM_MF_FAT	GO:0061783~peptidoglycan muralytic activity	4	5.47945205479452	0.0003208518461909797	RV2525C, RV1477, RV3811, RV3717	39	9	2314	26.37037037037037	0.051267263177938394	0.052619702775320666	5.2619702775320665
KEGG_PATHWAY	mtu01120:Microbial metabolism in diverse environments	10	13.698630136986301	0.0021633212840646227	RV0363C, RV3068C, RV0896, RV2983, RV0632C, RV1731, RV3316, RV1436, RV3318, RV3317	18	217	1099	2.813620071684588	0.09677739452818612	0.10383942163510189	10.38394216351019
GOTERM_MF_FAT	GO:0008745~N-acetylmuramoyl-L-alanine amidase activity	3	4.10958904109589	0.0025460353688893616	RV1477, RV3811, RV3717	39	5	2314	35.6	0.3416919214397648	0.20877490024892764	20.877490024892765
KEGG_PATHWAY	mtu00650:Butanoate metabolism	5	6.8493150684931505	0.008765924541192464	RV0632C, RV1731, RV3316, RV3318, RV3317	18	56	1099	5.451388888888889	0.33887665296697067	0.14026816133869852	14.026816133869852
KEGG_PATHWAY	mtu00020:Citrate cycle (TCA cycle)	4	5.47945205479452	0.008766760083668657	RV0896, RV3316, RV3318, RV3317	18	29	1099	8.421455938697317	0.3389028447003911	0.14026816133869852	14.026816133869852
GOTERM_BP_FAT	GO:0006099~tricarboxylic acid cycle	4	5.47945205479452	0.010327668809313763	RV0896, RV1731, RV3316, RV3318	38	25	1986	8.362105263157893	0.980241224763756	1.0	100.0
GOTERM_BP_FAT	GO:0006101~citrate metabolic process	4	5.47945205479452	0.010327668809313763	RV0896, RV1731, RV3316, RV3318	38	25	1986	8.362105263157893	0.980241224763756	1.0	100.0
GOTERM_BP_FAT	GO:0006091~generation of precursor metabolites and energy	6	8.21917808219178	0.012670385461547121	RV0363C, RV0896, RV1731, RV3316, RV1436, RV3318	38	77	1986	4.072453861927546	0.9919332634239516	1.0	100.0
KEGG_PATHWAY	mtu01200:Carbon metabolism	6	8.21917808219178	0.012691871240257155	RV0363C, RV0896, RV3316, RV1436, RV3318, RV3317	18	97	1099	3.776632302405498	0.4513725967886456	0.15230245488308586	15.230245488308586
