Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0010468~regulation of gene expression	16	14.545454545454545	2.411768372797878e-05	RV2034, RV3334, RV3358, RV2642, RV1049, RV1952, RV0767C, RV1956, RV0959A, RV1991A, RV1994C, RV1963C, RV0324, RV1167C, RV0352, RV0350	46	208	1986	3.321070234113712	0.008262261586311714	0.0082964832024247	0.8103541732600871
GOTERM_MF_FAT	GO:0003677~DNA binding	20	18.181818181818183	0.0001989831666369496	RV2515C, RV2034, RV3334, RV3358, RV2961, RV2642, RV1049, RV3744, RV0767C, RV1956, RV2659C, RV1991A, RV1994C, RV2021C, RV1586C, RV1963C, RV0324, RV1167C, RV3226C, RV0494	58	332	2314	2.4034067303697553	0.03672135464778814	0.020093262497593342	2.0093262497593343
GOTERM_BP_FAT	GO:0006355~regulation of transcription, DNA-templated	13	11.818181818181818	0.00023278811769708425	RV2034, RV3334, RV3358, RV2642, RV1049, RV1952, RV0767C, RV1956, RV0959A, RV1991A, RV1963C, RV0324, RV1167C	46	169	1986	3.321070234113712	0.07696528549091897	0.01896222677017244	1.8521244752261454
GOTERM_BP_FAT	GO:1903506~regulation of nucleic acid-templated transcription	13	11.818181818181818	0.00023278811769708425	RV2034, RV3334, RV3358, RV2642, RV1049, RV1952, RV0767C, RV1956, RV0959A, RV1991A, RV1963C, RV0324, RV1167C	46	169	1986	3.321070234113712	0.07696528549091897	0.01896222677017244	1.8521244752261454
GOTERM_BP_FAT	GO:2001141~regulation of RNA biosynthetic process	13	11.818181818181818	0.0002463780431738174	RV2034, RV3334, RV3358, RV2642, RV1049, RV1952, RV0767C, RV1956, RV0959A, RV1991A, RV1963C, RV0324, RV1167C	46	170	1986	3.3015345268542196	0.08127137068499779	0.01896222677017244	1.8521244752261454
GOTERM_BP_FAT	GO:0051252~regulation of RNA metabolic process	13	11.818181818181818	0.00027561376119436683	RV2034, RV3334, RV3358, RV2642, RV1049, RV1952, RV0767C, RV1956, RV0959A, RV1991A, RV1963C, RV0324, RV1167C	46	172	1986	3.2631445904954495	0.09046718542539345	0.01896222677017244	1.8521244752261454
GOTERM_MF_FAT	GO:0003700~transcription factor activity, sequence-specific DNA binding	11	10.0	0.00027654471177885806	RV1994C, RV2034, RV1963C, RV0324, RV2642, RV1674C, RV1167C, RV1049, RV3744, RV0767C, RV0494	58	111	2314	3.9537123330226773	0.050668850944940225	0.020093262497593342	2.0093262497593343
GOTERM_MF_FAT	GO:0001071~nucleic acid binding transcription factor activity	11	10.0	0.0003206371675147874	RV1994C, RV2034, RV1963C, RV0324, RV2642, RV1674C, RV1167C, RV1049, RV3744, RV0767C, RV0494	58	113	2314	3.883735123588648	0.05850802403536792	0.020093262497593342	2.0093262497593343
GOTERM_BP_FAT	GO:0019219~regulation of nucleobase-containing compound metabolic process	13	11.818181818181818	0.000424272443988387	RV2034, RV3334, RV3358, RV2642, RV1049, RV1952, RV0767C, RV1956, RV0959A, RV1991A, RV1963C, RV0324, RV1167C	46	180	1986	3.1181159420289855	0.13582561038641905	0.02299894163374182	2.2464082525980387
GOTERM_BP_FAT	GO:0097659~nucleic acid-templated transcription	13	11.818181818181818	0.0004706547070501409	RV2034, RV3334, RV3358, RV2642, RV1049, RV1952, RV0767C, RV1956, RV0959A, RV1991A, RV1963C, RV0324, RV1167C	46	182	1986	3.0838509316770186	0.14951060121643833	0.02299894163374182	2.2464082525980387
