Annotation Cluster 1	EnrichmentScore:1.1922977069531508
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0004518~nuclease activity	7	17.94871794871795	0.003788526195727483	RV2494, RV2757C, RV1242, RV2872, RV0665, RV2103C, RV2529	29	130	2314	4.296551724137931	0.32359227843111815	0.39021819815993075	39.02181981599308
GOTERM_MF_FAT	GO:0004540~ribonuclease activity	5	12.82051282051282	0.010517392328531983	RV2494, RV2757C, RV1242, RV2872, RV2103C	29	73	2314	5.465281058101087	0.6634566698152746	0.5416457049193971	54.16457049193971
GOTERM_MF_FAT	GO:0000287~magnesium ion binding	6	15.384615384615385	0.05085192386003338	RV2494, RV2757C, RV1242, RV2872, RV2103C, RV3628	29	171	2314	2.799758015728978	0.9953719387900547	1.0	100.0
GOTERM_BP_FAT	GO:0040007~growth	4	10.256410256410255	0.06240931572876567	RV2757C, RV1242, RV2872, RV2758C	24	80	1986	4.1375	0.9999967295795441	1.0	100.0
GOTERM_BP_FAT	GO:0040008~regulation of growth	4	10.256410256410255	0.064325801139227	RV2757C, RV1242, RV2872, RV2758C	24	81	1986	4.086419753086419	0.9999978100601552	1.0	100.0
GOTERM_BP_FAT	GO:0045926~negative regulation of growth	3	7.6923076923076925	0.07337545030293015	RV2757C, RV1242, RV2872	24	39	1986	6.365384615384616	0.9999996740543363	1.0	100.0
GOTERM_MF_FAT	GO:0046872~metal ion binding	10	25.64102564102564	0.24098702443517547	RV3818, RV2494, RV2757C, RV1242, RV3554, RV2872, RV0665, RV2103C, RV0296C, RV3628	29	574	2314	1.3901237534542834	0.9999999999995369	1.0	100.0
GOTERM_MF_FAT	GO:0043169~cation binding	10	25.64102564102564	0.24789656658984288	RV3818, RV2494, RV2757C, RV1242, RV3554, RV2872, RV0665, RV2103C, RV0296C, RV3628	29	578	2314	1.3805035198663644	0.9999999999998195	1.0	100.0
GOTERM_MF_FAT	GO:0043167~ion binding	14	35.8974358974359	0.5214171421248054	RV2404C, RV2494, RV2757C, RV1242, RV3554, RV2872, RV3274C, RV2103C, RV3628, RV0928, RV3818, RV0665, RV0296C, RV2294	29	1046	2314	1.067976527988396	1.0	1.0	100.0
Annotation Cluster 2	EnrichmentScore:0.9836328110586606
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	3	7.6923076923076925	0.05919544599104066	RV2756C, RV0567, RV2906C	29	33	2314	7.253918495297805	0.9981360282375067	1.0	100.0
GOTERM_MF_FAT	GO:0008168~methyltransferase activity	4	10.256410256410255	0.12300406535616681	RV1509, RV2756C, RV0567, RV2906C	29	102	2314	3.1291413116970923	0.9999986549118137	1.0	100.0
GOTERM_MF_FAT	GO:0016741~transferase activity, transferring one-carbon groups	4	10.256410256410255	0.1537778570238138	RV1509, RV2756C, RV0567, RV2906C	29	113	2314	2.8245346353371987	0.9999999660459423	1.0	100.0
Annotation Cluster 3	EnrichmentScore:0.49900120979438445
