Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0004540~ribonuclease activity	17	9.239130434782608	8.414800528692749e-08	RV2596, RV0456A, RV0277C, RV1114, RV2546, RV2548, RV2527, RV3408, RV2407, RV2816C, RV0749, RV1982C, RV1102C, RV1942C, RV1962C, RV3697C, RV1838C	108	73	2314	4.989599188229326	2.3308726807669267e-05	2.3308997464478914e-05	0.0023308997464478913
GOTERM_BP_FAT	GO:0040007~growth	16	8.695652173913043	1.7539077280380654e-06	RV2871, RV1113, RV0277C, RV1114, RV2547, RV2548, RV3779, RV3408, RV3407, RV0749, RV1943C, RV1102C, RV1962A, RV1942C, RV1962C, RV1959C	93	80	1986	4.270967741935484	0.0009589283027024997	0.0005667261153834837	0.05656900530153239
GOTERM_BP_FAT	GO:0040008~regulation of growth	16	8.695652173913043	2.0721247363198676e-06	RV2871, RV1113, RV0277C, RV1114, RV2547, RV2548, RV3779, RV3408, RV3407, RV0749, RV1943C, RV1102C, RV1962A, RV1942C, RV1962C, RV1959C	93	81	1986	4.2182397451214655	0.001132811289428215	0.0005667261153834837	0.05656900530153239
GOTERM_MF_FAT	GO:0004518~nuclease activity	17	9.239130434782608	0.00021253969501759933	RV2596, RV0456A, RV0277C, RV1114, RV2546, RV2548, RV2527, RV3408, RV2407, RV2816C, RV0749, RV1982C, RV1102C, RV1942C, RV1962C, RV3697C, RV1838C	108	130	2314	2.801851851851852	0.057179866256830914	0.029436747759937508	2.9436747759937507
GOTERM_BP_FAT	GO:0045926~negative regulation of growth	9	4.891304347826087	0.0002939544081982919	RV1102C, RV1942C, RV0277C, RV1962C, RV1114, RV2548, RV3408, RV0749, RV1959C	93	39	1986	4.92803970223325	0.14855187175908457	0.0535976870948219	5.349970229208913
GOTERM_BP_FAT	GO:0006811~ion transport	11	5.978260869565218	0.0023229627955382416	RV1621C, RV0930, RV1620C, RV0488, RV1902C, RV1304, RV0924C, RV1305, RV0929, RV3501C, RV2281	93	77	1986	3.0506912442396317	0.7197683754984727	0.2724902813099703	27.199212723079302
GOTERM_BP_FAT	GO:0045927~positive regulation of growth	8	4.3478260869565215	0.0025991044550948608	RV2871, RV1943C, RV1102C, RV1962A, RV1113, RV2547, RV3779, RV3407	93	42	1986	4.067588325652842	0.7591451793968649	0.2724902813099703	27.199212723079302
KEGG_PATHWAY	mtu00190:Oxidative phosphorylation	8	4.3478260869565215	0.002826479335161881	RV1456C, RV1622C, RV1623C, RV1304, RV1812C, RV1305, RV1306, RV0392C	47	48	1099	3.8971631205673756	0.11959360154196486	0.13001804941744652	13.001804941744652
GOTERM_BP_FAT	GO:0006820~anion transport	8	4.3478260869565215	0.0029889244750636594	RV1621C, RV0930, RV1620C, RV0488, RV1902C, RV0929, RV3501C, RV2281	93	43	1986	3.9729932483120782	0.8055129941431671	0.2724902813099703	27.199212723079302
GOTERM_BP_FAT	GO:0055085~transmembrane transport	12	6.521739130434782	0.003567706563004567	RV1621C, RV0757, RV0930, RV1620C, RV1236, RV3876, RV1237, RV1304, RV0924C, RV3665C, RV1305, RV2281	93	95	1986	2.697453310696095	0.8584390687763009	0.2787907842804997	27.828111191435625
GOTERM_MF_FAT	GO:0000287~magnesium ion binding	16	8.695652173913043	0.010454949477989368	RV3056, RV2596, RV0066C, RV0277C, RV1114, RV2546, RV2027C, RV2548, RV2527, RV3408, RV0749, RV1982C, RV0334, RV1962C, RV3697C, RV1838C	108	171	2314	2.0047649989170457	0.9455932054921762	0.9653403351343516	96.53403351343516
GOTERM_BP_FAT	GO:0034220~ion transmembrane transport	6	3.260869565217391	0.0108621571919317	RV0930, RV1620C, RV1304, RV0924C, RV1305, RV2281	93	30	1986	4.2709677419354835	0.9974562219376777	0.728383468810709	72.70518719755889
GOTERM_CC_FAT	GO:0033177~proton-transporting two-sector ATPase complex, proton-transporting domain	3	1.6304347826086956	0.011575567055805655	RV1304, RV1305, RV1306	70	4	1514	16.22142857142857	0.35753134427206745	0.21993577406030745	21.993577406030745
GOTERM_CC_FAT	GO:0045263~proton-transporting ATP synthase complex, coupling factor F(o)	3	1.6304347826086956	0.011575567055805655	RV1304, RV1305, RV1306	70	4	1514	16.22142857142857	0.35753134427206745	0.21993577406030745	21.993577406030745
GOTERM_BP_FAT	GO:0008643~carbohydrate transport	3	1.6304347826086956	0.011984371516081135	RV1236, RV1237, RV1238	93	4	1986	16.016129032258064	0.9986328806150747	0.728383468810709	72.70518719755889
