Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0044283~small molecule biosynthetic process	41	14.963503649635038	5.355059582733182e-05	RV1173, RV2427C, RV1294, RV2996C, RV1570, RV2065, RV2066, RV2522C, RV2950C, RV2940C, RV2207, RV1416, RV2208, RV0206C, RV2946C, RV2538C, RV2439C, RV3606C, RV0812, RV3608C, RV2062C, RV0555, RV3709C, RV0542C, RV3285, RV1483, RV2977C, RV2701C, RV2573, RV3002C, RV2995C, RV1568, RV2932, RV1569, RV2933, RV2934, RV1605, RV1609, RV3356C, RV3015C, RV3423C	155	285	1986	1.8432597623089984	0.036586153812926514	0.02285236713453	2.27210316912281
GOTERM_BP_FAT	GO:0042364~water-soluble vitamin biosynthetic process	14	5.109489051094891	7.913318215267101e-05	RV1570, RV2065, RV2066, RV2573, RV2977C, RV1568, RV1569, RV2207, RV1416, RV2208, RV3606C, RV0812, RV3608C, RV2062C	155	51	1986	3.517267552182163	0.05358950225752501	0.02285236713453	2.27210316912281
GOTERM_BP_FAT	GO:0009110~vitamin biosynthetic process	14	5.109489051094891	9.850158247642241e-05	RV1570, RV2065, RV2066, RV2573, RV2977C, RV1568, RV1569, RV2207, RV1416, RV2208, RV3606C, RV0812, RV3608C, RV2062C	155	52	1986	3.449627791563275	0.06626301225872488	0.02285236713453	2.27210316912281
GOTERM_BP_FAT	GO:0006767~water-soluble vitamin metabolic process	14	5.109489051094891	0.0003240898940570866	RV1570, RV2065, RV2066, RV2573, RV2977C, RV1568, RV1569, RV2207, RV1416, RV2208, RV3606C, RV0812, RV3608C, RV2062C	155	58	1986	3.0927697441601776	0.20196524199635368	0.04501758560577613	4.475886384942109
GOTERM_BP_FAT	GO:1901566~organonitrogen compound biosynthetic process	52	18.97810218978102	0.0003790944340651187	RV1173, RV2427C, RV1294, RV2996C, RV2065, RV1570, RV2677C, RV2066, RV3011C, RV1416, RV2904C, RV2439C, RV3606C, RV2062C, RV1015C, RV0510, RV2155C, RV1381, RV3682, RV2977C, RV2678C, RV1264, RV3002C, RV2981C, RV3442C, RV2911, RV3443C, RV3015C, RV3423C, RV2580C, RV2522C, RV3441C, RV0787A, RV2207, RV2208, RV2538C, RV0812, RV3608C, RV2153C, RV0651, RV3709C, RV0382C, RV2573, RV2882C, RV2995C, RV1568, RV1569, RV1605, RV1609, RV3356C, RV0641, RV0640	155	429	1986	1.5530791788856306	0.23194946770027358	0.04501758560577613	4.475886384942109
GOTERM_BP_FAT	GO:0006766~vitamin metabolic process	14	5.109489051094891	0.00038808263453255285	RV1570, RV2065, RV2066, RV2573, RV2977C, RV1568, RV1569, RV2207, RV1416, RV2208, RV3606C, RV0812, RV3608C, RV2062C	155	59	1986	3.0403499179879714	0.23674106340543366	0.04501758560577613	4.475886384942109
GOTERM_BP_FAT	GO:0046394~carboxylic acid biosynthetic process	31	11.313868613138686	0.001877708999780677	RV1173, RV2427C, RV1294, RV2996C, RV1570, RV2522C, RV2950C, RV2940C, RV0206C, RV2946C, RV2538C, RV2439C, RV3606C, RV0812, RV3608C, RV3709C, RV3285, RV1483, RV2573, RV3002C, RV2995C, RV1568, RV2932, RV1569, RV2933, RV2934, RV1605, RV1609, RV3356C, RV3015C, RV3423C	155	229	1986	1.7344978165938865	0.7296705766619804	0.16336068298091888	16.242182848102857
GOTERM_BP_FAT	GO:0016053~organic acid biosynthetic process	31	11.313868613138686	0.001877708999780677	RV1173, RV2427C, RV1294, RV2996C, RV1570, RV2522C, RV2950C, RV2940C, RV0206C, RV2946C, RV2538C, RV2439C, RV3606C, RV0812, RV3608C, RV3709C, RV3285, RV1483, RV2573, RV3002C, RV2995C, RV1568, RV2932, RV1569, RV2933, RV2934, RV1605, RV1609, RV3356C, RV3015C, RV3423C	155	229	1986	1.7344978165938865	0.7296705766619804	0.16336068298091888	16.242182848102857
COG_ONTOLOGY	DNA replication, recombination, and repair	10	3.64963503649635	0.0035466288282703057	RV3297, RV2886C, RV3387, RV1277, RV2885C, RV2943, RV2792C, RV2978C, RV3827C, RV2092C	57	46	782	2.982456140350877	0.06859274631761891	0.06738594773713581	6.738594773713581
GOTERM_BP_FAT	GO:0019752~carboxylic acid metabolic process	47	17.153284671532848	0.004568737698479359	RV1173, RV2427C, RV1294, RV2996C, RV1570, RV3382C, RV2861C, RV2522C, RV2950C, RV0234C, RV0400C, RV2940C, RV0206C, RV2946C, RV2538C, RV1070C, RV2859C, RV2439C, RV3606C, RV0812, RV3608C, RV0952, RV1837C, RV3389C, RV3709C, RV0694, RV3285, RV1483, RV2573, RV3002C, RV2995C, RV2215, RV1568, RV2932, RV1569, RV2933, RV2934, RV0905, RV1605, RV1071C, RV1609, RV1127C, RV3356C, RV2790C, RV3015C, RV3423C, RV2580C	155	418	1986	1.44068529093996	0.9587096957137322	0.3533157153490704	35.12851652608574
