gene_ID	Name	moduleColor	MM	Functional_Category	biological_process	molecular_function
gene:Rv1637c	Rv1637c	bisque4	0.764757917	conserved hypotheticals	NA	NA
gene:Rv3242c	Rv3242c	bisque4	0.70276804	conserved hypotheticals	NA	NA
gene:Rv2534c	efp	bisque4	0.587759605	information pathways	NA	translation regulator activity
gene:Rv0078A	Rv0078A	bisque4	0.784680128	conserved hypotheticals	NA	NA
gene:Rv1064c	lpqV	bisque4	0.839993196	cell wall and cell processes	NA	NA
gene:Rv3710	leuA	bisque4	0.773757851	intermediary metabolism and respiration	cellular amino acid metabolic process	transferase activity
gene:Rv0478	deoC	bisque4	0.834824782	intermediary metabolism and respiration	carbohydrate metabolic process, carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process	lyase activity
gene:Rv0638	secE1	bisque4	0.59648083	cell wall and cell processes	NA	NA
gene:Rv0813c	Rv0813c	bisque4	0.798332913	conserved hypotheticals	NA	isomerase activity
gene:Rv2265	Rv2265	bisque4	0.555017083	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv1081c	Rv1081c	bisque4	0.894516541	cell wall and cell processes	NA	NA
gene:Rv2788	sirR	bisque4	0.798674116	regulatory proteins	regulation of transcription, DNA-templated	DNA binding, regulation of transcription, DNA-templated
gene:Rv0413	mutT3	bisque4	0.858641437	information pathways	DNA replication, DNA repair	hydrolase activity
gene:Rv2753c	dapA	bisque4	0.778821958	intermediary metabolism and respiration	cellular amino acid metabolic process	lyase activity
gene:Rv2704	Rv2704	bisque4	0.864222006	conserved hypotheticals	NA	NA
gene:Rv1193	fadD36	bisque4	0.775777426	lipid metabolism	NA	ligase activity
gene:Rv2116	lppK	bisque4	0.812341258	cell wall and cell processes	NA	NA
gene:Rv3279c	birA	bisque4	0.678322732	intermediary metabolism and respiration	protein modification process	catalytic activity, acting on a protein, ligase activity
gene:Rv3924c	rpmH	bisque4	0.630819184	information pathways	NA	ribosome, structural molecule activity
gene:Rv2138	lppL	bisque4	0.651075258	cell wall and cell processes	NA	NA
gene:Rv2703	sigA	bisque4	0.898259139	information pathways	transcription, DNA-templated, regulation of transcription, DNA-templated	DNA binding, regulation of transcription, DNA-templated
gene:Rv1141c	echA11	bisque4	0.380912378	lipid metabolism	NA	NA
gene:Rv2871	vapB43	bisque4	0.692616715	virulence, detoxification, adaptation	regulation of transcription, DNA-templated	NA
gene:Rv2407	Rv2407	black	0.666303422	conserved hypotheticals	NA	NA
gene:Rv0585c	Rv0585c	black	0.704775543	cell wall and cell processes	NA	NA
gene:Rv2443	dctA	black	0.758248302	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv0154c	fadE2	black	0.400979956	lipid metabolism	NA	oxidoreductase activity
gene:Rv2595	vapB40	black	0.573612552	virulence, detoxification, adaptation	NA	DNA binding
gene:Rv1732c	Rv1732c	black	0.641520312	conserved hypotheticals	detoxification	antioxidant activity, oxidoreductase activity
gene:Rv2765	Rv2765	black	0.745592671	intermediary metabolism and respiration	NA	hydrolase activity
gene:Rv0740	Rv0740	black	0.622669087	conserved hypotheticals	NA	NA
gene:Rv1731	gabD2	black	0.270492998	intermediary metabolism and respiration	generation of precursor metabolites and energy	oxidoreductase activity
gene:Rv2307D	Rv2307D	black	0.758390329	conserved hypotheticals	NA	NA
gene:Rv0311	Rv0311	black	0.68274528	conserved hypotheticals	NA	NA
gene:Rv2470	glbO	black	0.671647623	intermediary metabolism and respiration	detoxification	oxidoreductase activity, antioxidant activity, molecular carrier activity
gene:Rv2285	Rv2285	black	0.618119476	lipid metabolism	lipid metabolic process, carbohydrate metabolic process	transferase activity
gene:Rv1372	Rv1372	black	0.804752248	conserved hypotheticals	NA	NA
gene:Rv1879	Rv1879	black	0.55421444500000006	conserved hypotheticals	NA	hydrolase activity
gene:Rv3519	Rv3519	black	0.589042258	conserved hypotheticals	NA	lyase activity
gene:Rv1431	Rv1431	black	0.823318434	cell wall and cell processes	NA	NA
gene:Rv3698	Rv3698	black	0.431306966	conserved hypotheticals	NA	NA
gene:Rv3839	Rv3839	black	0.615413473	conserved hypotheticals	NA	NA
gene:Rv0419	lpqM	black	0.561262409	cell wall and cell processes	NA	NA
gene:Rv1785c	cyp143	black	0.519242204	intermediary metabolism and respiration	lipid metabolic process	oxidoreductase activity
gene:Rv0940c	Rv0940c	black	0.84619405	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv3238c	Rv3238c	black	0.441693944	cell wall and cell processes	NA	NA
gene:Rv3269	Rv3269	black	0.853397217	virulence, detoxification, adaptation	NA	NA
gene:Rv3160c	Rv3160c	black	0.628863264	regulatory proteins	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv0323c	Rv0323c	black	0.886671263	conserved hypotheticals	carbohydrate derivative metabolic process, sulfur compound metabolic process	hydrolase activity
gene:Rv3914	trxC	black	0.899888914	intermediary metabolism and respiration	NA	NA
gene:Rv0916c	PE7	black	0.570775866	PE/PPE	NA	NA
gene:Rv1982A	vapB36	black	0.760946168	virulence, detoxification, adaptation	NA	NA
gene:Rv2043c	pncA	black	0.883011403	intermediary metabolism and respiration	vitamin metabolic process, nucleobase-containing small molecule metabolic process	hydrolase activity
gene:Rv2089c	pepE	black	0.783612912	intermediary metabolism and respiration	NA	hydrolase activity
gene:Rv1772	Rv1772	black	0.716981601	conserved hypotheticals	NA	RNA binding
