Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006518~peptide metabolic process	13	11.304347826086957	0.0014601927230267853	RV0773C, RV2992C, RV2477C, RV2467, RV0429C, RV1689, RV0719, RV0717, RV2903C, RV0716, RV0715, RV2909C, RV3336C	73	126	1986	2.806914546640574	0.5838693085870234	0.32156933298355456	31.99614863186368
GOTERM_BP_FAT	GO:0043603~cellular amide metabolic process	15	13.043478260869565	0.0015831806673294868	RV0773C, RV2992C, RV2477C, RV2467, RV0444C, RV0429C, RV1689, RV3329, RV0719, RV0717, RV2903C, RV0716, RV0715, RV2909C, RV3336C	73	163	1986	2.5035717287166985	0.6135145794056727	0.32156933298355456	31.99614863186368
GOTERM_BP_FAT	GO:1901135~carbohydrate derivative metabolic process	20	17.391304347826086	0.0016078466649177728	RV0050, RV2611C, RV1121, RV2883C, RV3396C, RV2445C, RV2610C, RV0014C, RV1366, RV3137, RV1700, RV3307, RV3713, RV2957, RV0957, RV0788, RV0733, RV0489, RV1565C, RV0462	73	261	1986	2.0847110691229727	0.6192012971817691	0.32156933298355456	31.99614863186368
GOTERM_BP_FAT	GO:1901566~organonitrogen compound biosynthetic process	27	23.47826086956522	0.002898621298386405	RV3772, RV2883C, RV2445C, RV2992C, RV3396C, RV2477C, RV0014C, RV3137, RV3713, RV0719, RV0717, RV0716, RV0957, RV0715, RV0733, RV2210C, RV0391, RV0050, RV2334, RV0429C, RV3329, RV1689, RV2228C, RV0788, RV0524, RV2909C, RV3336C	73	429	1986	1.712232972506945	0.8247774260654199	0.36919414903186726	36.73481782867079
GOTERM_BP_FAT	GO:0019693~ribose phosphate metabolic process	11	9.565217391304348	0.0035059338016643665	RV0957, RV1121, RV2883C, RV0788, RV3396C, RV0733, RV2445C, RV0489, RV1366, RV1700, RV0462	73	104	1986	2.877502634351949	0.8784289476301252	0.36919414903186726	36.73481782867079
GOTERM_MF_FAT	GO:0030170~pyridoxal phosphate binding	7	6.086956521739131	0.0036178107674776343	RV0391, RV3772, RV0524, RV2334, RV2210C, RV3329, RV1328	78	46	2314	4.5144927536231885	0.6335710845128837	0.5010667912956523	50.10667912956524
GOTERM_MF_FAT	GO:0070279~vitamin B6 binding	7	6.086956521739131	0.0036178107674776343	RV0391, RV3772, RV0524, RV2334, RV2210C, RV3329, RV1328	78	46	2314	4.5144927536231885	0.6335710845128837	0.5010667912956523	50.10667912956524
GOTERM_BP_FAT	GO:0019637~organophosphate metabolic process	18	15.65217391304348	0.0036919414903186726	RV2613C, RV2611C, RV3383C, RV1121, RV2612C, RV2883C, RV3396C, RV2445C, RV2610C, RV1366, RV3137, RV1700, RV0957, RV0788, RV0733, RV0489, RV0462, RV3282	73	238	1986	2.0575572694831354	0.8913109380859612	0.36919414903186726	36.73481782867079
GOTERM_BP_FAT	GO:0055086~nucleobase-containing small molecule metabolic process	14	12.173913043478262	0.005128933981981151	RV2613C, RV1121, RV2883C, RV3396C, RV2445C, RV1366, RV1700, RV3307, RV0957, RV0788, RV0733, RV0489, RV0462, RV3282	73	165	1986	2.308343711083437	0.9542827351998974	0.4396229127412415	43.74247981775354
GOTERM_BP_FAT	GO:0006753~nucleoside phosphate metabolic process	13	11.304347826086957	0.006061305586841257	RV2613C, RV1121, RV2883C, RV3396C, RV2445C, RV1366, RV1700, RV0957, RV0788, RV0733, RV0489, RV0462, RV3282	73	149	1986	2.373632435414177	0.973952928120574	0.4528489601162333	45.05847153156522
GOTERM_BP_FAT	GO:1901137~carbohydrate derivative biosynthetic process	14	12.173913043478262	0.007314800093690988	RV0050, RV2611C, RV2883C, RV3396C, RV2445C, RV2610C, RV0014C, RV3137, RV3713, RV2957, RV0957, RV0788, RV0733, RV1565C	73	172	1986	2.2143994902835296	0.987784023757865	0.4528489601162333	45.05847153156522
GOTERM_BP_FAT	GO:0006796~phosphate-containing compound metabolic process	19	16.52173913043478	0.008028112678811632	RV2613C, RV2611C, RV3383C, RV1121, RV2612C, RV2883C, RV3396C, RV2445C, RV2610C, RV0014C, RV1366, RV3137, RV1700, RV0957, RV0788, RV0733, RV0489, RV0462, RV3282	73	278	1986	1.8593673006800038	0.9920636903842366	0.4528489601162333	45.05847153156522
GOTERM_BP_FAT	GO:0006793~phosphorus metabolic process	20	17.391304347826086	0.008675912105375376	RV2613C, RV2611C, RV3383C, RV1121, RV2612C, RV2883C, RV3396C, RV2445C, RV2610C, RV0014C, RV1366, RV3137, RV1700, RV2605C, RV0957, RV0788, RV0733, RV0489, RV0462, RV3282	73	302	1986	1.8016873809307812	0.9946371523339085	0.4528489601162333	45.05847153156522
GOTERM_BP_FAT	GO:0006412~translation	10	8.695652173913043	0.011879545741591741	RV0715, RV2992C, RV2477C, RV2909C, RV0429C, RV1689, RV3336C, RV0719, RV0717, RV0716	73	105	1986	2.5909980430528377	0.9992309871203181	0.4528489601162333	45.05847153156522
GOTERM_BP_FAT	GO:0015695~organic cation transport	3	2.608695652173913	0.012075972269766222	RV1457C, RV2938, RV2937	73	5	1986	16.323287671232876	0.9993174587003554	0.4528489601162333	45.05847153156522
GOTERM_BP_FAT	GO:1901656~glycoside transport	3	2.608695652173913	0.012075972269766222	RV1457C, RV2938, RV2937	73	5	1986	16.323287671232876	0.9993174587003554	0.4528489601162333	45.05847153156522
GOTERM_BP_FAT	GO:0043215~daunorubicin transport	3	2.608695652173913	0.012075972269766222	RV1457C, RV2938, RV2937	73	5	1986	16.323287671232876	0.9993174587003554	0.4528489601162333	45.05847153156522
GOTERM_BP_FAT	GO:1900753~doxorubicin transport	3	2.608695652173913	0.012075972269766222	RV1457C, RV2938, RV2937	73	5	1986	16.323287671232876	0.9993174587003554	0.4528489601162333	45.05847153156522
GOTERM_BP_FAT	GO:0072521~purine-containing compound metabolic process	9	7.82608695652174	0.014305170682080617	RV0957, RV0788, RV3396C, RV0733, RV2445C, RV0489, RV1366, RV3307, RV0462	73	90	1986	2.7205479452054795	0.9998240103923333	0.4907511722775965	48.82974164162085
GOTERM_BP_FAT	GO:0009117~nucleotide metabolic process	12	10.434782608695652	0.014722535168327895	RV0957, RV2613C, RV1121, RV2883C, RV0788, RV3396C, RV0733, RV2445C, RV0489, RV1366, RV0462, RV3282	73	147	1986	2.220855465473861	0.999863500878015	0.4907511722775965	48.82974164162085
GOTERM_BP_FAT	GO:0009259~ribonucleotide metabolic process	9	7.82608695652174	0.016206360638962566	RV0957, RV2883C, RV0788, RV3396C, RV0733, RV2445C, RV0489, RV1366, RV0462	73	92	1986	2.661405598570578	0.9999447405953383	0.5117798096514494	50.92209106031922
GOTERM_MF_FAT	GO:0019205~nucleobase-containing compound kinase activity	3	2.608695652173913	0.020594176344402002	RV2883C, RV0733, RV2445C	78	7	2314	12.714285714285715	0.9968619278204042	1.0	100.0
GOTERM_BP_FAT	GO:0009150~purine ribonucleotide metabolic process	8	6.956521739130435	0.022043841510524312	RV0957, RV0788, RV3396C, RV0733, RV2445C, RV0489, RV1366, RV0462	73	79	1986	2.754985260967574	0.999998445353864	0.6613152453157294	65.80086690891508
KEGG_PATHWAY	mtu01232:Nucleotide metabolism	6	5.217391304347826	0.024868552720584657	RV2883C, RV3396C, RV0733, RV2445C, RV3307, RV3282	52	37	1099	3.4272349272349274	0.8368647965736343	1.0	100.0
GOTERM_BP_FAT	GO:0043043~peptide biosynthetic process	10	8.695652173913043	0.02539069402840518	RV0715, RV2992C, RV2477C, RV2909C, RV0429C, RV1689, RV3336C, RV0719, RV0717, RV0716	73	119	1986	2.2861747438701507	0.9999998012384693	0.7254484008115766	72.18211588075187
GOTERM_BP_FAT	GO:0043604~amide biosynthetic process	11	9.565217391304348	0.026792667262137946	RV0715, RV2992C, RV2477C, RV2909C, RV0429C, RV3329, RV1689, RV3336C, RV0719, RV0717, RV0716	73	140	1986	2.1375733855185906	0.9999999162039579	0.7307091071492168	72.70555616134706
GOTERM_BP_FAT	GO:0009132~nucleoside diphosphate metabolic process	4	3.4782608695652173	0.02917494754725787	RV2883C, RV0733, RV0489, RV0462	73	19	1986	5.727469358327325	0.9999999807431633	0.745586177524501	74.18582466368784
GOTERM_BP_FAT	GO:0006163~purine nucleotide metabolic process	8	6.956521739130435	0.029823447100980036	RV0957, RV0788, RV3396C, RV0733, RV2445C, RV0489, RV1366, RV0462	73	84	1986	2.590998043052837	0.9999999871037137	0.745586177524501	74.18582466368784
GOTERM_MF_FAT	GO:0016757~transferase activity, transferring glycosyl groups	7	6.086956521739131	0.030455096529489734	RV0050, RV3794, RV3795, RV2610C, RV3307, RV1328, RV2957	78	72	2314	2.8842592592592595	0.999809753798078	1.0	100.0
GOTERM_MF_FAT	GO:0016875~ligase activity, forming carbon-oxygen bonds	4	3.4782608695652173	0.030611413555563283	RV2275, RV2992C, RV1689, RV3336C	78	21	2314	5.65079365079365	0.9998180639060331	1.0	100.0
GOTERM_BP_FAT	GO:1901264~carbohydrate derivative transport	3	2.608695652173913	0.031506709016314555	RV1457C, RV2938, RV2937	73	8	1986	10.202054794520548	0.9999999954504342	0.7491588689562684	74.5413074611487
GOTERM_BP_FAT	GO:0042278~purine nucleoside metabolic process	4	3.4782608695652173	0.03344910420437244	RV3396C, RV2445C, RV1366, RV3307	73	20	1986	5.441095890410959	0.9999999986359301	0.7491588689562684	74.5413074611487
GOTERM_MF_FAT	GO:0016776~phosphotransferase activity, phosphate group as acceptor	3	2.608695652173913	0.03381417763487177	RV2883C, RV0733, RV2445C	78	9	2314	9.88888888888889	0.9999272550346036	1.0	100.0
KEGG_PATHWAY	mtu00230:Purine metabolism	7	6.086956521739131	0.03447848448029793	RV0957, RV2613C, RV0788, RV3396C, RV0733, RV2445C, RV3307	52	54	1099	2.7396723646723644	0.9200422011895052	1.0	100.0
GOTERM_BP_FAT	GO:0009167~purine ribonucleoside monophosphate metabolic process	6	5.217391304347826	0.03496074721795919	RV0957, RV0788, RV3396C, RV0733, RV0489, RV0462	73	51	1986	3.2006446414182106	0.9999999994666809	0.7491588689562684	74.5413074611487
GOTERM_BP_FAT	GO:0009126~purine nucleoside monophosphate metabolic process	6	5.217391304347826	0.03496074721795919	RV0957, RV0788, RV3396C, RV0733, RV0489, RV0462	73	51	1986	3.2006446414182106	0.9999999994666809	0.7491588689562684	74.5413074611487
GOTERM_MF_FAT	GO:0003723~RNA binding	9	7.82608695652174	0.03793981840434662	RV0715, RV2992C, RV2477C, RV2752C, RV1689, RV2902C, RV0719, RV0717, RV0716	78	117	2314	2.2820512820512824	0.9999777658505927	1.0	100.0
GOTERM_BP_FAT	GO:0015893~drug transport	3	2.608695652173913	0.039571153228524385	RV1457C, RV2938, RV2937	73	9	1986	9.06849315068493	0.9999999999698618	0.7914230645704877	78.74659492476353
GOTERM_BP_FAT	GO:0042493~response to drug	3	2.608695652173913	0.039571153228524385	RV1457C, RV2938, RV2937	73	9	1986	9.06849315068493	0.9999999999698618	0.7914230645704877	78.74659492476353
GOTERM_MF_FAT	GO:0070011~peptidase activity, acting on L-amino acid peptides	7	6.086956521739131	0.042807941297527796	RV0418, RV0050, RV0773C, RV0359, RV0950C, RV2467, RV2903C	78	78	2314	2.6623931623931623	0.9999945455990649	1.0	100.0
GOTERM_BP_FAT	GO:1901657~glycosyl compound metabolic process	6	5.217391304347826	0.04329749589506653	RV2883C, RV3396C, RV2445C, RV1366, RV3137, RV3307	73	54	1986	3.0228310502283104	0.9999999999970749	0.8380160495819329	83.38259693340233
GOTERM_BP_FAT	GO:0015696~ammonium transport	3	2.608695652173913	0.04832242131233457	RV1457C, RV2938, RV2937	73	10	1986	8.161643835616438	0.9999999999998759	0.9060453996062733	90.15151726082419
GOTERM_MF_FAT	GO:0019843~rRNA binding	5	4.3478260869565215	0.052452827542686396	RV0715, RV2477C, RV0719, RV0717, RV0716	78	43	2314	3.449612403100775	0.9999996700617422	1.0	100.0
GOTERM_MF_FAT	GO:0016769~transferase activity, transferring nitrogenous groups	4	3.4782608695652173	0.05317697519296831	RV3772, RV0524, RV2210C, RV3329	78	26	2314	4.564102564102564	0.9999997330311933	1.0	100.0
GOTERM_MF_FAT	GO:0008483~transaminase activity	4	3.4782608695652173	0.05317697519296831	RV3772, RV0524, RV2210C, RV3329	78	26	2314	4.564102564102564	0.9999997330311933	1.0	100.0
GOTERM_MF_FAT	GO:0016853~isomerase activity	6	5.217391304347826	0.05922566616996345	RV0009, RV0525, RV0524, RV2993C, RV0489, RV3646C	78	64	2314	2.78125	0.9999999547652124	1.0	100.0
GOTERM_MF_FAT	GO:0008233~peptidase activity	7	6.086956521739131	0.0607554839681792	RV0418, RV0050, RV0773C, RV0359, RV0950C, RV2467, RV2903C	78	85	2314	2.4431372549019605	0.9999999711801947	1.0	100.0
GOTERM_MF_FAT	GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	6	5.217391304347826	0.0625494234850418	RV0957, RV3375, RV0788, RV2752C, RV0429C, RV3713	78	65	2314	2.7384615384615385	0.9999999830292359	1.0	100.0
GOTERM_BP_FAT	GO:0009116~nucleoside metabolic process	5	4.3478260869565215	0.06296807844082707	RV2883C, RV3396C, RV2445C, RV1366, RV3307	73	42	1986	3.238747553816047	1.0	1.0	99.6661101836394
GOTERM_BP_FAT	GO:0009260~ribonucleotide biosynthetic process	6	5.217391304347826	0.0633127158912224	RV0957, RV2883C, RV0788, RV3396C, RV0733, RV2445C	73	60	1986	2.720547945205479	1.0	1.0	99.6661101836394
GOTERM_MF_FAT	GO:0004550~nucleoside diphosphate kinase activity	2	1.7391304347826086	0.06545806069268235	RV0733, RV2445C	78	2	2314	29.666666666666664	0.9999999928242637	1.0	100.0
GOTERM_MF_FAT	GO:0004523~RNA-DNA hybrid ribonuclease activity	2	1.7391304347826086	0.06545806069268235	RV2902C, RV2228C	78	2	2314	29.666666666666664	0.9999999928242637	1.0	100.0
GOTERM_MF_FAT	GO:0019842~vitamin binding	7	6.086956521739131	0.06660229396198185	RV0391, RV3772, RV0524, RV2334, RV2210C, RV3329, RV1328	78	87	2314	2.3869731800766285	0.9999999948892576	1.0	100.0
