Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0048038~quinone binding	10	4.672897196261682	7.160217030634878e-08	RV3154, RV3153, RV3156, RV3155, RV3158, RV3157, RV3149, RV3150, RV3152, RV3151	142	16	2314	10.184859154929578	2.2124826658420638e-05	2.212507062466177e-05	0.002212507062466177
GOTERM_CC_FAT	GO:0022626~cytosolic ribosome	13	6.074766355140187	8.276384559159243e-06	RV1630, RV0709, RV0708, RV0718, RV0707, RV0706, RV0705, RV0704, RV0703, RV0701, RV0721, RV0720, RV3456C	97	44	1514	4.611527647610122	0.00038891603654789275	0.0002855487782147866	0.0200491695342297
GOTERM_MF_FAT	GO:0016655~oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	9	4.205607476635514	1.0538268845922112e-05	RV3154, RV3153, RV3156, RV3155, RV3158, RV3157, RV3150, RV3152, RV3151	142	20	2314	7.333098591549295	0.003251046099384647	0.0016102851736542417	0.16102851736542417
GOTERM_CC_FAT	GO:0044391~ribosomal subunit	14	6.5420560747663545	1.215101183892709e-05	RV1630, RV0709, RV0708, RV0718, RV0707, RV0706, RV0705, RV0704, RV0703, RV0701, RV0700, RV0721, RV0720, RV3456C	97	53	1514	4.12293328146275	0.0005709379790138636	0.0002855487782147866	0.0200491695342297
GOTERM_MF_FAT	GO:0003735~structural constituent of ribosome	14	6.5420560747663545	2.2051721926197092e-05	RV1630, RV0709, RV0708, RV0718, RV0707, RV0706, RV0705, RV0704, RV0703, RV0701, RV0700, RV0721, RV0720, RV3456C	142	57	2314	4.002470966147763	0.00679089415980183	0.0016102851736542417	0.16102851736542417
GOTERM_CC_FAT	GO:1990904~ribonucleoprotein complex	15	7.009345794392523	2.2717551546923933e-05	RV1165, RV1630, RV0709, RV0708, RV0718, RV0707, RV0706, RV0705, RV0704, RV0703, RV0701, RV0700, RV0721, RV0720, RV3456C	97	64	1514	3.658182989690722	0.0010671672225591733	0.0003559083075684749	0.024989306701616323
GOTERM_BP_FAT	GO:0006091~generation of precursor metabolites and energy	16	7.476635514018691	2.5869328409071424e-05	RV2241, RV3153, RV3156, RV3155, RV3158, RV3157, RV0889C, RV1098C, RV0946C, RV1437, RV1438, RV1564C, RV3150, RV3152, RV3151, RV3858C	119	77	1986	3.467859871221216	0.017056193630735406	0.017203103392032498	1.689267145112364
GOTERM_MF_FAT	GO:0005198~structural molecule activity	14	6.5420560747663545	2.6949405002550792e-05	RV1630, RV0709, RV0708, RV0718, RV0707, RV0706, RV0705, RV0704, RV0703, RV0701, RV0700, RV0721, RV0720, RV3456C	142	58	2314	3.9334628460417678	0.008292900956127447	0.0016102851736542417	0.16102851736542417
GOTERM_MF_FAT	GO:0003954~NADH dehydrogenase activity	8	3.7383177570093453	3.1267673274839645e-05	RV3154, RV3153, RV3156, RV3155, RV3158, RV3157, RV3150, RV3151	142	17	2314	7.668599834299917	0.00961533626774036	0.0016102851736542417	0.16102851736542417
GOTERM_MF_FAT	GO:0050136~NADH dehydrogenase (quinone) activity	8	3.7383177570093453	3.1267673274839645e-05	RV3154, RV3153, RV3156, RV3155, RV3158, RV3157, RV3150, RV3151	142	17	2314	7.668599834299917	0.00961533626774036	0.0016102851736542417	0.16102851736542417
GOTERM_MF_FAT	GO:0008137~NADH dehydrogenase (ubiquinone) activity	7	3.2710280373831773	5.541701807730666e-05	RV3154, RV3156, RV3155, RV3158, RV3157, RV3150, RV3151	142	13	2314	8.774647887323944	0.016978545048741633	0.00244626551226968	0.24462655122696797
GOTERM_CC_FAT	GO:0005840~ribosome	14	6.5420560747663545	6.185972828383652e-05	RV1630, RV0709, RV0708, RV0718, RV0707, RV0706, RV0705, RV0704, RV0703, RV0701, RV0700, RV0721, RV0720, RV3456C	97	61	1514	3.5822207199594387	0.0029032744823619394	0.0007268518073350791	0.05103427583416513
GOTERM_CC_FAT	GO:0030529~intracellular ribonucleoprotein complex	14	6.5420560747663545	8.86220648330916e-05	RV1630, RV0709, RV0708, RV0718, RV0707, RV0706, RV0705, RV0704, RV0703, RV0701, RV0700, RV0721, RV0720, RV3456C	97	63	1514	3.4684994272623135	0.004156758288349605	0.0007488564008692919	0.052579279209971554
GOTERM_CC_FAT	GO:0044445~cytosolic part	13	6.074766355140187	9.559868947267556e-05	RV1630, RV0709, RV0708, RV0718, RV0707, RV0706, RV0705, RV0704, RV0703, RV0701, RV0721, RV0720, RV3456C	97	55	1514	3.689222118088097	0.004483273179867964	0.0007488564008692919	0.052579279209971554
GOTERM_BP_FAT	GO:0009205~purine ribonucleoside triphosphate metabolic process	10	4.672897196261682	0.00016410918359990477	RV2241, RV3156, RV3155, RV3158, RV3232C, RV3157, RV0946C, RV1437, RV1438, RV3151	119	36	1986	4.635854341736694	0.10339651728008037	0.040002259018449705	3.928041374292881
GOTERM_MF_FAT	GO:0019843~rRNA binding	11	5.14018691588785	0.0001732113272293743	RV0704, RV0703, RV0701, RV1165, RV0721, RV0720, RV0708, RV0718, RV0707, RV0706, RV0705	142	43	2314	4.168686537831641	0.052119591431133205	0.0066902875142345825	0.6690287514234583
GOTERM_BP_FAT	GO:0046034~ATP metabolic process	9	4.205607476635514	0.00018344522224779261	RV2241, RV3156, RV3155, RV3158, RV3157, RV0946C, RV1437, RV1438, RV3151	119	29	1986	5.179368299043755	0.11485363503119317	0.040002259018449705	3.928041374292881
GOTERM_CC_FAT	GO:0045271~respiratory chain complex I	5	2.336448598130841	0.0002067988481153466	RV3153, RV3157, RV3149, RV3150, RV3151	97	6	1514	13.006872852233677	0.009673459149367014	0.0010799495401579212	0.07582624430896041
GOTERM_CC_FAT	GO:0030964~NADH dehydrogenase complex	5	2.336448598130841	0.0002067988481153466	RV3153, RV3157, RV3149, RV3150, RV3151	97	6	1514	13.006872852233677	0.009673459149367014	0.0010799495401579212	0.07582624430896041
GOTERM_CC_FAT	GO:0045272~plasma membrane respiratory chain complex I	5	2.336448598130841	0.0002067988481153466	RV3153, RV3157, RV3149, RV3150, RV3151	97	6	1514	13.006872852233677	0.009673459149367014	0.0010799495401579212	0.07582624430896041
GOTERM_BP_FAT	GO:0009199~ribonucleoside triphosphate metabolic process	10	4.672897196261682	0.00031730183980213027	RV2241, RV3156, RV3155, RV3158, RV3232C, RV3157, RV0946C, RV1437, RV1438, RV3151	119	39	1986	4.279250161603104	0.19025768114918473	0.040002259018449705	3.928041374292881
GOTERM_BP_FAT	GO:0009144~purine nucleoside triphosphate metabolic process	10	4.672897196261682	0.00031730183980213027	RV2241, RV3156, RV3155, RV3158, RV3232C, RV3157, RV0946C, RV1437, RV1438, RV3151	119	39	1986	4.279250161603104	0.19025768114918473	0.040002259018449705	3.928041374292881
GOTERM_BP_FAT	GO:0042773~ATP synthesis coupled electron transport	5	2.336448598130841	0.00036092263776044847	RV3156, RV3155, RV3158, RV3157, RV3151	119	7	1986	11.92076830732293	0.2134168792428658	0.040002259018449705	3.928041374292881
