Annotation Cluster 1	EnrichmentScore:1.077963457452047
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006412~translation	4	15.384615384615385	0.01736655576125224	RV3100C, RV2420C, RV3598C, RV0041	12	105	1986	6.304761904761905	0.8712312903532942	1.0	100.0
GOTERM_BP_FAT	GO:0043043~peptide biosynthetic process	4	15.384615384615385	0.02429224299872517	RV3100C, RV2420C, RV3598C, RV0041	12	119	1986	5.563025210084033	0.9437125400535704	1.0	100.0
GOTERM_BP_FAT	GO:0006518~peptide metabolic process	4	15.384615384615385	0.028257769385538287	RV3100C, RV2420C, RV3598C, RV0041	12	126	1986	5.253968253968254	0.9650476799446901	1.0	100.0
GOTERM_BP_FAT	GO:0043604~amide biosynthetic process	4	15.384615384615385	0.03720409291214733	RV3100C, RV2420C, RV3598C, RV0041	12	140	1986	4.728571428571428	0.9881558052223719	1.0	100.0
GOTERM_BP_FAT	GO:0043603~cellular amide metabolic process	4	15.384615384615385	0.05482901178873565	RV3100C, RV2420C, RV3598C, RV0041	12	163	1986	4.061349693251533	0.9986363127983232	1.0	100.0
GOTERM_BP_FAT	GO:0034645~cellular macromolecule biosynthetic process	5	19.230769230769234	0.17981860770300762	RV3100C, RV2420C, RV3598C, RV0054, RV0041	12	414	1986	1.998792270531401	0.9999999999153826	1.0	100.0
GOTERM_CC_FAT	GO:0005829~cytosol	5	19.230769230769234	0.3172704185244183	RV3100C, RV2787, RV3598C, RV0041, RV3190C	8	627	1514	1.509170653907496	0.9779967311754553	1.0	100.0
GOTERM_BP_FAT	GO:0010467~gene expression	4	15.384615384615385	0.3287553955992105	RV3100C, RV2420C, RV3598C, RV0041	12	365	1986	1.8136986301369862	1.0	1.0	100.0
GOTERM_BP_FAT	GO:1901566~organonitrogen compound biosynthetic process	4	15.384615384615385	0.43578417404190484	RV3100C, RV2420C, RV3598C, RV0041	12	429	1986	1.543123543123543	1.0	1.0	100.0
Annotation Cluster 2	EnrichmentScore:0.4091650938593925
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0034645~cellular macromolecule biosynthetic process	5	19.230769230769234	0.17981860770300762	RV3100C, RV2420C, RV3598C, RV0054, RV0041	12	414	1986	1.998792270531401	0.9999999999153826	1.0	100.0
GOTERM_MF_FAT	GO:0005524~ATP binding	4	15.384615384615385	0.27124032558281774	RV2184C, RV2787, RV3598C, RV0041	13	352	2314	2.022727272727273	0.9999999853003502	1.0	100.0
GOTERM_MF_FAT	GO:0032559~adenyl ribonucleotide binding	4	15.384615384615385	0.27875048478174264	RV2184C, RV2787, RV3598C, RV0041	13	357	2314	1.9943977591036415	0.9999999918552932	1.0	100.0
GOTERM_MF_FAT	GO:0030554~adenyl nucleotide binding	4	15.384615384615385	0.28025717625483626	RV2184C, RV2787, RV3598C, RV0041	13	358	2314	1.9888268156424582	0.9999999927704948	1.0	100.0
GOTERM_MF_FAT	GO:0035639~purine ribonucleoside triphosphate binding	4	15.384615384615385	0.3122033601855445	RV2184C, RV2787, RV3598C, RV0041	13	379	2314	1.8786279683377312	0.9999999994564709	1.0	100.0
GOTERM_CC_FAT	GO:0005829~cytosol	5	19.230769230769234	0.3172704185244183	RV3100C, RV2787, RV3598C, RV0041, RV3190C	8	627	1514	1.509170653907496	0.9779967311754553	1.0	100.0
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	4	15.384615384615385	0.3198809101729876	RV2184C, RV2787, RV3598C, RV0041	13	384	2314	1.854166666666667	0.999999999713356	1.0	100.0
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	4	15.384615384615385	0.32295799729024904	RV2184C, RV2787, RV3598C, RV0041	13	386	2314	1.844559585492228	0.9999999997786447	1.0	100.0
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	4	15.384615384615385	0.3445758498926924	RV2184C, RV2787, RV3598C, RV0041	13	400	2314	1.7800000000000002	0.999999999965184	1.0	100.0
GOTERM_MF_FAT	GO:0097367~carbohydrate derivative binding	4	15.384615384615385	0.37094247613968634	RV2184C, RV2787, RV3598C, RV0041	13	417	2314	1.7074340527577938	0.9999999999966477	1.0	100.0
GOTERM_MF_FAT	GO:0043168~anion binding	5	19.230769230769234	0.40721798138297916	RV2184C, RV1503C, RV2787, RV3598C, RV0041	13	620	2314	1.4354838709677418	0.9999999999998865	1.0	100.0
GOTERM_MF_FAT	GO:0036094~small molecule binding	5	19.230769230769234	0.4684035782974671	RV2184C, RV1503C, RV2787, RV3598C, RV0041	13	665	2314	1.3383458646616542	0.9999999999999998	1.0	100.0
GOTERM_MF_FAT	GO:0097159~organic cyclic compound binding	7	26.923076923076923	0.5057973811401535	RV2184C, RV1503C, RV3100C, RV2787, RV3598C, RV0054, RV0041	13	1068	2314	1.1666666666666665	1.0	1.0	100.0
GOTERM_MF_FAT	GO:1901363~heterocyclic compound binding	7	26.923076923076923	0.5057973811401535	RV2184C, RV1503C, RV3100C, RV2787, RV3598C, RV0054, RV0041	13	1068	2314	1.1666666666666665	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0000166~nucleotide binding	4	15.384615384615385	0.5846341136371096	RV2184C, RV2787, RV3598C, RV0041	13	560	2314	1.2714285714285714	1.0	1.0	100.0
GOTERM_MF_FAT	GO:1901265~nucleoside phosphate binding	4	15.384615384615385	0.5846341136371096	RV2184C, RV2787, RV3598C, RV0041	13	560	2314	1.2714285714285714	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0043167~ion binding	6	23.076923076923077	0.7010866831788132	RV2184C, RV1503C, RV3215, RV2787, RV3598C, RV0041	13	1046	2314	1.0210325047801148	1.0	1.0	100.0
GOTERM_MF_FAT	GO:0003676~nucleic acid binding	3	11.538461538461538	0.7405148948161215	RV3100C, RV3598C, RV0054	13	475	2314	1.1242105263157895	1.0	1.0	100.0
Annotation Cluster 3	EnrichmentScore:0.39086989837258773
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005829~cytosol	5	19.230769230769234	0.3172704185244183	RV3100C, RV2787, RV3598C, RV0041, RV3190C	8	627	1514	1.509170653907496	0.9779967311754553	1.0	100.0
GOTERM_CC_FAT	GO:0005618~cell wall	5	19.230769230769234	0.4580778912911346	RV3101C, RV3720, RV2787, RV0041, RV3190C	8	728	1514	1.299793956043956	0.9978154162835906	1.0	100.0
GOTERM_CC_FAT	GO:0030312~external encapsulating structure	5	19.230769230769234	0.46240379734604387	RV3101C, RV3720, RV2787, RV0041, RV3190C	8	731	1514	1.2944596443228453	0.9979836685511572	1.0	100.0
Annotation Cluster 4	EnrichmentScore:0.1419269292382978
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
