Annotation Cluster 1	EnrichmentScore:5.771964170248512
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0019184~nonribosomal peptide biosynthetic process	10	12.195121951219512	3.5094619685374663e-12	RV1347C, RV2384, RV2379C, RV2378C, RV1344, RV2377C, RV1346, RV2386C, RV2383C, RV2380C	51	14	1986	27.81512605042017	9.580702897693527e-10	9.580831174107283e-10	8.177046386692296e-08
GOTERM_BP_FAT	GO:0044550~secondary metabolite biosynthetic process	10	12.195121951219512	7.903320751649612e-11	RV1347C, RV2384, RV2379C, RV2378C, RV1344, RV2377C, RV1346, RV2386C, RV2383C, RV2380C	51	18	1986	21.633986928104573	2.15760700417178e-08	1.078803282600172e-08	9.207368675671797e-07
GOTERM_BP_FAT	GO:0019290~siderophore biosynthetic process	8	9.75609756097561	4.729762813854786e-10	RV1347C, RV2384, RV2378C, RV1344, RV2377C, RV1346, RV2386C, RV2383C	51	10	1986	31.152941176470588	1.2912252833618965e-07	3.2280631204558915e-08	2.7550868390704133e-06
GOTERM_BP_FAT	GO:0009237~siderophore metabolic process	8	9.75609756097561	4.729762813854786e-10	RV1347C, RV2384, RV2378C, RV1344, RV2377C, RV1346, RV2386C, RV2383C	51	10	1986	31.152941176470588	1.2912252833618965e-07	3.2280631204558915e-08	2.7550868390704133e-06
GOTERM_BP_FAT	GO:0019748~secondary metabolic process	10	12.195121951219512	7.4971449160089e-10	RV1347C, RV2384, RV2379C, RV2378C, RV1344, RV2377C, RV1346, RV2386C, RV2383C, RV2380C	51	22	1986	17.700534759358288	2.0467204109309023e-07	4.0934411241408595e-08	3.4936695308601475e-06
KEGG_PATHWAY	mtu01053:Biosynthesis of siderophore group nonribosomal peptides	8	9.75609756097561	1.3946990210432114e-09	RV2384, RV2379C, RV2378C, RV2386C, RV2383C, RV2382C, RV2381C, RV2380C	40	9	1099	24.422222222222224	5.718265838616787e-08	5.857735888381488e-08	5.718265986277166e-06
GOTERM_BP_FAT	GO:0009712~catechol-containing compound metabolic process	6	7.317073170731707	4.373674942889019e-07	RV1347C, RV2378C, RV1344, RV1346, RV2386C, RV2383C	51	8	1986	29.205882352941178	0.00011939422400619737	1.1940132594087022e-05	0.0010190662616931414
GOTERM_BP_FAT	GO:0019540~siderophore biosynthetic process from catechol	6	7.317073170731707	4.373674942889019e-07	RV1347C, RV2378C, RV1344, RV1346, RV2386C, RV2383C	51	8	1986	29.205882352941178	0.00011939422400619737	1.1940132594087022e-05	0.0010190662616931414
GOTERM_BP_FAT	GO:0051188~cofactor biosynthetic process	14	17.073170731707318	1.7756031012273844e-06	RV2384, RV1461, RV1594, RV1462, RV2378C, RV1465, RV1344, RV2377C, RV1346, RV1347C, RV0417, RV0415, RV2386C, RV2383C	51	112	1986	4.86764705882353	0.0004846226094954442	4.0394970552922996e-05	0.0034476293548831713
GOTERM_BP_FAT	GO:0018958~phenol-containing compound metabolic process	6	7.317073170731707	2.9281825780998638e-05	RV1347C, RV2378C, RV1344, RV1346, RV2386C, RV2383C	51	16	1986	14.602941176470589	0.007962187990912306	0.00038066373515298227	0.032488882890346106
GOTERM_BP_FAT	GO:0051186~cofactor metabolic process	14	17.073170731707318	0.0001783927032115799	RV2384, RV1461, RV1594, RV1462, RV2378C, RV1465, RV1344, RV2377C, RV1346, RV1347C, RV0417, RV0415, RV2386C, RV2383C	51	170	1986	3.206920415224914	0.047538461632792406	0.0021174438250765788	0.1807195645578179
GOTERM_BP_FAT	GO:0043603~cellular amide metabolic process	12	14.634146341463413	0.001800897585010696	RV1347C, RV2384, RV2379C, RV2378C, RV1344, RV2377C, RV1346, RV2386C, RV2383C, RV1658, RV2380C, RV1848	51	163	1986	2.8668350775893177	0.38865160278915856	0.015859517442190968	1.3535778622822328
GOTERM_BP_FAT	GO:0043604~amide biosynthetic process	11	13.414634146341465	0.001958947508103806	RV1347C, RV2384, RV2379C, RV2378C, RV1344, RV2377C, RV1346, RV2386C, RV2383C, RV1658, RV2380C	51	140	1986	3.0596638655462183	0.41451643723854936	0.016712270928510596	1.4263586543380837
GOTERM_BP_FAT	GO:0043043~peptide biosynthetic process	10	12.195121951219512	0.0022819072245301945	RV1347C, RV2384, RV2379C, RV2378C, RV1344, RV2377C, RV1346, RV2386C, RV2383C, RV2380C	51	119	1986	3.2723677706376666	0.46402755330528833	0.018877596130204337	1.6111647979258645
GOTERM_BP_FAT	GO:0006518~peptide metabolic process	10	12.195121951219512	0.003393480154186904	RV1347C, RV2384, RV2379C, RV2378C, RV1344, RV2377C, RV1346, RV2386C, RV2383C, RV2380C	51	126	1986	3.0905695611577966	0.604654629882069	0.025733891169250688	2.1963357664598573
GOTERM_BP_FAT	GO:1901615~organic hydroxy compound metabolic process	8	9.75609756097561	0.010550421011997003	RV1347C, RV3842C, RV0884C, RV2378C, RV1344, RV1346, RV2386C, RV2383C	51	99	1986	3.146761734997029	0.9447323018691913	0.06698290549477166	5.71685603673326
COG_ONTOLOGY	Secondary metabolites biosynthesis, transport, and catabolism	4	4.878048780487805	0.2268635846611142	RV2384, RV2379C, RV2378C, RV2380C	23	59	782	2.305084745762712	0.9410046987618276	1.0	100.0
Annotation Cluster 2	EnrichmentScore:3.7278684416645116
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006520~cellular amino acid metabolic process	19	23.170731707317074	2.198026400946617e-07	RV2501C, RV1594, RV2502C, RV2379C, RV1464, RV0884C, RV1652, RV1653, RV1654, RV1655, RV1600, RV1601, RV1656, RV1657, RV1658, RV2121C, RV2122C, RV2386C, RV2380C	51	189	1986	3.914721444133209	6.000432700736802e-05	8.621009774737512e-06	0.0007357858159391356
GOTERM_BP_FAT	GO:1901605~alpha-amino acid metabolic process	17	20.73170731707317	2.2105153268557723e-07	RV2501C, RV1594, RV2502C, RV1464, RV0884C, RV1652, RV1653, RV1654, RV1655, RV1600, RV1601, RV1656, RV1657, RV1658, RV2121C, RV2122C, RV2386C	51	148	1986	4.472972972972973	6.034525423082027e-05	8.621009774737512e-06	0.0007357858159391356
